unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
EUR_KGOE,B1GQ,AL	2.9 	3.1 	2.9 	3.1 	3.0 	3.1 	3.5 	3.9 	4.0 	4.0 	4.2 	4.1 	4.5 	4.0 	4.1 	4.5 	4.5 p
EUR_KGOE,B1GQ,AT	8.8 	8.4 	8.5 	8.1 	8.2 	8.1 	8.4 	8.8 	8.9 	9.1 	8.7 	9.2 	9.2 	9.1 	9.5 	9.3 	9.4 
EUR_KGOE,B1GQ,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	2.2 	2.1 
EUR_KGOE,B1GQ,BE	5.2 	5.3 	5.6 	5.4 	5.6 	5.8 	6.0 	6.3 	6.1 	6.3 	6.0 	6.5 	6.8 	6.6 	7.1 	7.1 	6.8 
EUR_KGOE,B1GQ,BG	1.3 	1.3 	1.4 	1.5 	1.6 	1.6 	1.7 	1.8 	2.0 	2.2 	2.2 	2.0 	2.1 	2.3 	2.2 	2.2 	2.4 
EUR_KGOE,B1GQ,CY	5.8 	6.0 	6.1 	5.8 	6.5 	6.7 	6.8 	6.8 	6.7 	6.8 	7.0 	7.2 	7.5 	8.1 	7.8 	7.9 	7.7 p
EUR_KGOE,B1GQ,CZ	2.8 	2.8 	2.8 	2.8 	2.8 	3.1 	3.2 	3.4 	3.5 	3.6 	3.4 	3.6 	3.6 	3.6 	3.8 	4.0 	4.2 
EUR_KGOE,B1GQ,DE	6.9 	6.8 	7.0 	7.0 	7.0 	7.1 	7.2 	7.8 	7.8 	7.8 	7.8 	8.5 	8.5 	8.3 	8.8 	8.9 	9.0 
EUR_KGOE,B1GQ,DK	11.4 	11.2 	11.4 	11.0 	11.7 	12.3 	11.9 	12.3 	12.7 	12.6 	12.1 	13.2 	13.7 	14.0 	15.0 	15.3 	15.1 
EUR_KGOE,B1GQ,EA19	7.0 	7.0 	7.0 	6.9 	7.0 	7.1 	7.3 	7.6 	7.7 	7.8 	7.7 	8.1 	8.1 	8.2 	8.6 	8.6 	8.8 
EUR_KGOE,B1GQ,EE	2.1 	2.2 	2.4 	2.3 	2.4 	2.7 	3.0 	2.9 	2.8 	2.7 	2.4 	2.6 	2.7 	2.5 	2.7 	2.8 	2.9 
EUR_KGOE,B1GQ,EL	6.7 	6.8 	6.9 	7.2 	7.4 	7.3 	7.7 	8.0 	7.8 	7.8 	7.9 	7.4 p	6.9 p	7.6 p	7.6 p	7.6 p	7.6 p
EUR_KGOE,B1GQ,ES	7.0 	7.1 	7.1 	7.1 	7.0 	7.1 	7.4 	7.6 	7.9 	8.3 	8.3 	8.3 	8.1 	8.6 	8.9 	8.8 	9.1 p
EUR_KGOE,B1GQ,EU28	6.5 	6.5 	6.6 	6.5 	6.6 	6.7 	6.9 	7.2 	7.3 	7.4 	7.3 	7.7 	7.7 	7.8 	8.3 	8.3 	8.5 
EUR_KGOE,B1GQ,FI	4.9 	4.9 	4.7 	4.6 	4.7 	5.2 	5.0 	5.3 	5.5 	5.4 	5.0 	5.4 	5.5 	5.5 	5.4 	5.6 	5.5 
EUR_KGOE,B1GQ,FR	6.8 	6.7 	6.8 	6.8 	6.8 	6.9 	7.2 	7.5 	7.4 	7.6 	7.5 	7.9 	7.9 	7.9 	8.3 	8.3 	8.5 p
EUR_KGOE,B1GQ,HR	4.2 	4.2 	4.3 	4.2 	4.4 	4.5 	4.7 	4.8 	5.0 	4.8 	4.8 	4.8 	5.0 	5.1 	5.3 	5.3 	5.4 
EUR_KGOE,B1GQ,HU	3.2 	3.3 	3.4 	3.5 	3.7 	3.6 	3.7 	3.8 	3.9 	3.8 	3.7 	3.9 	4.0 	4.2 	4.4 	4.3 	4.3 
EUR_KGOE,B1GQ,IE	8.8 	8.8 	9.3 	9.9 	10.2 	10.7 	11.0 	11.4 	11.0 	11.0 	11.0 	12.5 	12.7 	12.9 	14.2 	16.9 	17.0 
EUR_KGOE,B1GQ,IS	2.4 	2.6 	2.5 	2.6 	2.8 	2.9 	2.5 	2.3 	2.0 	1.8 	1.9 	1.8 	1.8 	1.8 	1.9 	2.0 	2.3 
EUR_KGOE,B1GQ,IT	8.9 	9.1 	9.0 	8.6 	8.7 	8.6 	8.8 	9.0 	9.0 	9.1 	9.0 	9.4 	9.5 	9.7 	10.2 	10.0 	10.2 
EUR_KGOE,B1GQ,LT	2.6 	2.4 	2.4 	2.5 	2.7 	3.0 	3.3 	3.4 	3.5 	3.3 	4.1 	4.2 	4.3 	4.8 	4.9 	4.9 	4.9 
EUR_KGOE,B1GQ,LU	8.4 	8.2 	8.2 	7.9 	7.3 	7.4 	7.9 	8.8 	8.6 	8.8 	8.7 	9.0 	9.2 	9.8 	10.5 	11.0 	11.3 
EUR_KGOE,B1GQ,LV	3.2 	3.2 	3.4 	3.5 	3.7 	4.0 	4.3 	4.6 	4.6 	4.1 	3.8 	4.3 	4.3 	4.5 	4.6 	4.8 	4.9 
EUR_KGOE,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	2.7 	2.6 	3.2 	2.8 	2.8 	2.9 	3.3 	3.4 	3.3 	3.6 
EUR_KGOE,B1GQ,MK	2.0 	2.0 	2.1 	1.9 	2.1 	2.0 	2.1 	2.2 	2.3 	2.5 	2.5 	2.4 	2.4 	2.7 	2.9 	3.0 	3.1 p
EUR_KGOE,B1GQ,MT	6.7 	6.2 	6.8 	6.3 	6.2 	6.4 	6.5 	6.6 	6.7 	7.1 	7.0 	7.1 	7.0 	8.2 	8.8 	11.2 	12.3 
EUR_KGOE,B1GQ,NL	7.2 	7.2 	7.1 	6.9 	6.9 	7.1 	7.4 	7.7 	7.9 	7.8 	7.4 	8.0 	7.9 	8.0 	8.5 	8.6 	8.6 
EUR_KGOE,B1GQ,NO	10.5 	10.4 	11.3 	10.6 	11.2 	11.4 	11.5 	11.6 	10.0 	10.2 	10.8 	12.2 	12.0 	11.6 	11.9 	12.1 	12.8 
EUR_KGOE,B1GQ,PL	2.8 	2.8 	2.9 	2.9 	3.0 	3.1 	3.1 	3.4 	3.5 	3.7 	3.6 	3.8 	4.0 	4.0 	4.3 	4.4 	4.3 
EUR_KGOE,B1GQ,PT	6.6 	6.7 	6.5 	6.6 	6.5 	6.4 	6.8 	6.9 	7.2 	7.0 	7.4 	7.5 	7.6 	7.5 	7.7 	7.5 	7.5 
EUR_KGOE,B1GQ,RO	2.3 	2.4 	2.4 	2.4 	2.7 	2.8 	2.9 	3.1 	3.4 	3.6 	3.5 	3.5 	3.7 	4.2 	4.3 	4.5 	4.7 
EUR_KGOE,B1GQ,RS	1.4 	1.4 	1.4 	1.4 	1.4 	1.7 	1.6 	1.8 	1.8 	1.9 	1.9 	1.9 	2.1 	2.1 	2.3 	2.1 	2.0 
EUR_KGOE,B1GQ,SE	6.1 	5.9 	6.1 	6.4 	6.4 	6.7 	7.2 	7.5 	7.5 	7.7 	7.3 	7.6 	7.6 	7.8 	8.1 	9.0 	8.6 
EUR_KGOE,B1GQ,SI	4.3 	4.2 	4.3 	4.4 	4.5 	4.5 	4.8 	5.1 	5.0 	5.0 	4.9 	5.0 	5.0 	5.1 	5.4 	5.6 	5.6 
EUR_KGOE,B1GQ,SK	2.3 	2.3 	2.4 	2.5 	2.7 	2.8 	3.1 	3.6 	3.7 	3.8 	3.8 	4.0 	4.2 	4.2 	4.6 	4.7 	4.8 
EUR_KGOE,B1GQ,TR	5.1 	5.2 	5.2 	5.2 	5.6 	5.8 	5.6 	5.5 	5.6 	5.4 	5.5 	5.7 	5.7 	6.3 	6.4 	6.2 	6.0 
EUR_KGOE,B1GQ,UK	6.8 	7.0 	7.3 	7.3 	7.6 	7.7 	8.1 	8.6 	8.6 	8.8 	8.7 	9.5 	9.4 	9.7 	10.6 	10.7 	11.0 
EUR_KGOE,B1GQ,XK	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	1.7 	1.7 	1.8 	2.0 	2.1 	2.2 	2.0 	2.0 
PPS_KGOE,B1GQ,AL	5.8 	6.2 	6.0 	6.4 	6.3 	6.8 	7.6 	8.8 	9.1 	9.1 	10.0 	10.0 	11.0 	9.5 	10.2 	11.2 	10.8 p
PPS_KGOE,B1GQ,AT	7.1 	6.8 	7.0 	6.8 	7.0 	7.2 	7.5 	8.0 	8.0 	8.1 	7.9 	8.5 	8.9 	8.8 	9.4 	9.7 	9.7 
PPS_KGOE,B1GQ,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.9 	5.0 	4.7 
PPS_KGOE,B1GQ,BE	4.2 	4.4 	4.8 	4.6 	4.8 	5.0 	5.3 	5.7 	5.4 	5.5 	5.5 	6.0 	6.5 	6.3 	6.9 	7.1 	6.8 
PPS_KGOE,B1GQ,BG	2.5 	2.5 	2.8 	2.9 	3.1 	3.4 	3.5 	4.0 	4.3 	4.6 	4.8 	4.6 	4.9 	5.3 	5.3 	5.3 	5.6 
PPS_KGOE,B1GQ,CY	5.4 	5.7 	5.8 	5.5 	6.4 	6.9 	7.1 	7.5 	7.5 	7.4 	7.7 	7.9 	8.3 	8.9 	8.6 	8.9 	8.6 p
PPS_KGOE,B1GQ,CZ	3.5 	3.7 	3.7 	3.7 	3.9 	4.2 	4.3 	4.8 	5.0 	5.1 	4.9 	5.2 	5.3 	5.4 	5.9 	6.3 	6.5 
PPS_KGOE,B1GQ,DE	5.7 	5.8 	6.0 	6.1 	6.4 	6.6 	6.6 	7.4 	7.3 	7.3 	7.4 	8.2 	8.3 	8.3 	9.0 	9.4 	9.4 
PPS_KGOE,B1GQ,DK	6.8 	6.8 	7.1 	6.8 	7.5 	8.1 	8.0 	8.5 	9.1 	9.0 	9.1 	10.0 	10.5 	10.8 	11.8 	12.4 	11.9 
PPS_KGOE,B1GQ,EA19	5.9 	6.0 	6.2 	6.1 	6.3 	6.5 	6.9 	7.4 	7.4 	7.4 	7.4 	7.9 	8.1 	8.2 	8.8 	9.1 	9.1 
PPS_KGOE,B1GQ,EE	2.3 	2.4 	2.7 	2.7 	2.9 	3.4 	3.9 	3.9 	4.0 	3.9 	3.6 	4.0 	4.3 	4.0 	4.3 	4.6 	4.8 
PPS_KGOE,B1GQ,EL	6.5 	6.8 	7.2 	7.3 	7.6 	7.6 	8.2 	8.5 	8.5 	8.4 	8.3 	7.9 p	7.7 p	8.7 p	8.8 p	9.0 p	8.9 p
PPS_KGOE,B1GQ,ES	6.2 	6.4 	6.6 	6.6 	6.7 	7.1 	7.8 	8.3 	8.6 	8.8 	8.7 	8.8 	8.8 	9.4 	9.9 	10.1 	10.2 p
PPS_KGOE,B1GQ,EU28	5.6 	5.7 	5.9 	5.9 	6.1 	6.3 	6.7 	7.2 	7.2 	7.2 	7.3 	7.8 	8.0 	8.1 	8.7 	9.1 	9.1 
PPS_KGOE,B1GQ,FI	3.7 	3.8 	3.6 	3.5 	3.7 	4.1 	4.0 	4.4 	4.7 	4.5 	4.3 	4.6 	4.8 	4.8 	4.8 	5.2 	5.1 
PPS_KGOE,B1GQ,FR	5.4 	5.5 	5.7 	5.5 	5.6 	5.9 	6.3 	6.7 	6.6 	6.6 	6.7 	7.1 	7.2 	7.4 	7.9 	8.1 	8.2 p
PPS_KGOE,B1GQ,HR	5.0 	5.0 	5.2 	5.1 	5.5 	5.7 	6.4 	6.8 	7.2 	6.9 	6.9 	7.2 	7.7 	7.9 	8.4 	8.5 	8.5 
PPS_KGOE,B1GQ,HU	4.2 	4.5 	4.9 	5.0 	5.3 	5.2 	5.5 	5.8 	6.1 	6.1 	6.2 	6.6 	7.0 	7.4 	7.8 	7.7 	7.5 
PPS_KGOE,B1GQ,IE	7.0 	7.2 	7.8 	8.3 	8.8 	9.4 	10.0 	10.7 	10.0 	9.6 	10.0 	11.2 	11.7 	11.9 	13.0 	17.2 	16.7 
PPS_KGOE,B1GQ,IS	2.2 	2.4 	2.4 	2.4 	2.7 	2.8 	2.3 	2.2 	1.9 	1.7 	1.7 	1.7 	1.7 	1.7 	1.8 	2.1 	2.3 
PPS_KGOE,B1GQ,IT	7.7 	7.9 	7.9 	7.6 	7.7 	7.8 	8.3 	8.7 	8.8 	8.9 	8.9 	9.4 	9.8 	10.0 	10.7 	10.8 	11.1 
PPS_KGOE,B1GQ,LT	3.7 	3.5 	3.6 	3.9 	4.0 	4.7 	5.2 	5.5 	5.7 	5.2 	7.0 	7.4 	7.8 	8.7 	9.1 	9.1 	9.0 
