indic_env,unit,geo,hazard\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
CONS,MIO_T,EU28,ENV	85.6 	93.0 	92.2 	95.3 	94.8 	76.7 	88.2 	85.5 	80.2 	80.5 	78.7 	74.9 	71.2 	68.6 
CONS,MIO_T,EU28,HAZ_NHAZ	334.2 	346.1 	350.2 	360.7 	336.8 	286.7 	327.8 	315.7 	308.5 	309.0 	312.6 	309.6 	303.9 	307.9 
CONS,MIO_T,EU28,HLTH	250.4 	259.9 	260.9 	267.7 	255.0 	214.2 	245.2 	235.4 	226.6 	225.9 	227.3 	222.4 	217.8 	219.7 
