unit,na_item,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EUR,D1_SAL_HW,AT	21.5 	22.4 	23.1 	23.8 	24.8 	25.1 	25.6 	26.5 	27.3 	27.9 	28.9 	29.3 	29.7 
EUR,D1_SAL_HW,BE	29.7 	30.8 	31.8 	33.1 	34.0 	34.4 	35.3 	36.4 	37.3 	37.8 	37.9 	38.0 	38.6 
EUR,D1_SAL_HW,BG	1.9 	2.0 	2.3 	2.6 	2.9 	3.2 	3.4 	3.7 p	4.0 p	4.2 p	4.5 p	4.7 p	5.2 p
EUR,D1_SAL_HW,CH	30.6 	30.9 	30.5 	32.3 	: c	38.9 	44.0 	45.6 	45.7 	46.1 	51.8 	50.6 	: 
EUR,D1_SAL_HW,CY	13.8 	14.1 	13.9 	13.8 	14.6 	14.8 	15.1 	15.5 	14.8 	14.4 	14.2 	14.0 	14.1 p
EUR,D1_SAL_HW,CZ	6.0 	6.8 	7.4 	8.5 	8.0 	8.5 	9.0 	9.0 	8.7 	8.4 	8.8 	9.1 	9.9 
EUR,D1_SAL_HW,DE	24.8 	24.7 	24.8 	25.5 	26.5 	26.8 	27.5 	28.5 	29.2 	29.8 	30.5 	31.3 	32.1 
EUR,D1_SAL_HW,DK	29.4 	30.3 	31.8 	33.0 	34.2 	35.2 	35.3 	36.3 	36.7 	37.6 	38.5 	38.8 	39.5 
EUR,D1_SAL_HW,EA	21.7 	22.1 	22.6 	23.2 	23.8 	24.2 	24.6 	25.3 	25.8 	26.0 	26.1 	26.4 	26.9 
EUR,D1_SAL_HW,EA19	20.9 	21.3 	21.8 	22.6 	23.4 	23.8 	24.3 	24.9 	25.5 	25.8 	26.1 	26.4 	26.8 
EUR,D1_SAL_HW,EE	4.4 	5.1 	6.3 	7.1 	7.4 	7.4 	7.3 	8.0 	8.5 	9.1 	9.4 	10.0 	10.6 
EUR,D1_SAL_HW,EL	11.2 	11.6 	12.1 	12.6 	13.1 	13.4 	12.9 p	12.5 p	11.6 p	11.6 p	11.3 p	11.2 p	11.2 p
EUR,D1_SAL_HW,ES	15.6 	16.2 	17.1 	18.2 	18.9 	19.1 	19.2 	19.1 	19.3 	19.3 	19.4 	19.4 p	19.6 p
EUR,D1_SAL_HW,EU28	18.4 	19.0 	19.5 	19.7 	19.7 	20.5 	20.9 	21.6 	21.9 	22.3 	23.0 	22.8 	23.1 
EUR,D1_SAL_HW,FI	22.7 	23.5 	24.2 	25.3 	26.2 	26.6 	27.5 	28.5 	28.9 	29.3 	29.7 	30.0 	29.6 
EUR,D1_SAL_HW,FR	26.4 	27.5 	27.8 	28.3 	29.1 	29.7 	30.3 	31.0 	31.9 	32.4 	32.7 	32.8 p	33.4 p
EUR,D1_SAL_HW,HR	7.2 p	7.4 p	7.8 p	8.3 d	8.2 d	8.3 d	8.5 d	8.5 d	8.5 d	8.1 d	8.4 d	8.6 d	8.7 d
EUR,D1_SAL_HW,HU	5.8 	5.8 	6.4 	6.8 	6.1 	7.0 b	7.2 	7.1 	7.1 	6.8 	6.7 	6.9 	7.5 
EUR,D1_SAL_HW,IE	22.1 	23.1 	24.6 	25.8 	25.9 	27.5 	27.3 b	27.4 	27.2 	27.2 	27.7 	28.3 	28.5 
EUR,D1_SAL_HW,IS	: 	: 	: 	20.4 p	17.9 p	20.4 p	22.1 p	23.5 p	24.6 p	26.8 p	30.6 p	36.0 p	42.4 p
EUR,D1_SAL_HW,IT	19.3 	19.6 	20.1 	20.6 	21.2 	21.7 	21.9 	22.1 	22.5 	22.5 	22.7 	22.7 	22.7 
