unit,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT	-5250.0 	-5166.0 	-4764.0 	-3812.0 	-4804.0 	-1951.0 	-2265.0 	4309.0 	3471.0 	4862.0 	5749.0 	7918.0 	10824.0 	13028.0 	7355.0 	8623.0 	4727.0 	4276.0 	5805.0 	7896.0 	4144.0 	8452.0 	6962.0 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE	: 	: 	: 	: 	: 	: 	: 	: 	9029.8 	9376.2 	5768.4 	6065.5 	5472.5 	-5393.0 	-4405.0 	5578.0 	-4483.0 	2113.0 	-1656.0 	-4396.0 	-4149.0 	-2153.0 	3570.0 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-16296.5 	-15451.9 	-5139.1 	-709.7 	1251.7 	368.2 	1965.3 	2914.5 	2751.8 	4527.6 	7623.0 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2907.0 	-1369.0 	-2117.0 	-729.0 	-1127.0 	-641.0 	-614.0 	-212.0 	-900.0 	-1540.0 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ	-36153.0 	-111850.0 	-112718.0 	-40426.0 	-50671.0 	-105072.0 	-124809.0 	-136497.0 	-160700.0 	-128594.0 	-44465.0 	-75213.0 	-155188.0 	-49231.0 	-37927.0 	-104180.0 	-72089.0 	-10303.0 	60654.0 	40203.0 	113179.0 	127729.0 	100614.0 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE	-25845.0 	-15301.0 	-10429.0 	-14743.0 	-30157.0 	-31938.0 	-11169.0 	37644.0 	37268.0 	101085.0 	103396.0 	134632.0 	168041.0 	142425.0 	139376.0 	146109.0 	165496.0 	193177.0 	189528.0 	221904.0 	271935.0 	272279.0 	257472.0 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68707.0 	55981.0 	25424.0 	52980.0 	59402.0 	119319.0 	127398.0 	119488.0 	149134.0 	172671.0 	160778.0 	166440.0 	174271.0 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EE	-116.2 	-308.2 	-499.2 	-430.8 	-229.4 	-305.7 	-479.8 	-825.2 	-1073.7 	-1095.1 	-897.8 	-1733.2 	-2234.4 	-1232.0 	845.0 	778.0 	900.5 	257.2 	589.8 	377.0 	805.1 	650.5 	980.7 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-15625.0 	-21984.0 	-31009.0 	-32477.0 	-27307.0 	-23658.0 	-18043.0 	-4996.0 	-642.0 	-406.0 	1584.0 	-1157.0 	-867.0 
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,ES	-127.0 	1044.0 	472.0 	-3913.0 	-13396.0 	-23756.0 	-25935.0 	-20954.0 	-22890.0 	-40369.0 	-62405.0 	-85005.0 	-100020.0 	-98586.0 	-42859.0 	-37494.0 	-29985.0 	2773.0 	22167.0 	16266.0 	19624.0 	27788.0 	24196.0 
