unit,sex,age,incgrp,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,T,TOTAL,B_MD60,BE	42.1 	38.9 	44.0 	37.1 	37.9 	42.7 	44.0 	39.0 	42.6 	37.6 	37.6 	34.4 
PC,T,TOTAL,B_MD60,BG	49.4 	56.7 	32.9 	23.8 	20.2 	25.8 	46.0 	38.5 	40.4 	44.6 	55.3 b	50.1 
PC,T,TOTAL,B_MD60,CH	: 	: 	: 	51.6 	52.4 	52.2 	50.4 	43.9 	47.2 b	43.9 	44.7 	: 
PC,T,TOTAL,B_MD60,CY	11.8 	7.3 	6.0 b	9.7 	10.9 	10.5 	12.9 	11.5 	14.4 	13.1 	12.6 	10.3 
PC,T,TOTAL,B_MD60,CZ	38.3 	38.8 	47.5 	43.0 	49.4 	42.3 	46.3 	51.6 	44.1 	48.0 	45.4 	44.2 
PC,T,TOTAL,B_MD60,DE	: 	: 	: 	: 	42.2 	46.3 	51.7 	49.2 	54.4 	51.9 	50.3 	48.5 
PC,T,TOTAL,B_MD60,DK	66.4 	58.0 	60.7 	70.5 	71.1 	71.0 b	69.4 	75.2 	68.1 	66.8 	74.2 	75.4 
PC,T,TOTAL,B_MD60,EA18	31.7 e	28.6 e	29.0 e	29.6 e	34.0 	36.5 	39.3 	39.1 	40.5 	39.4 	38.9 	37.5 e
PC,T,TOTAL,B_MD60,EA19	31.6 e	28.5 e	28.8 e	29.4 e	34.1 	36.5 	39.2 	39.0 	40.4 	39.3 	38.8 	37.4 e
PC,T,TOTAL,B_MD60,EE	28.8 	19.0 	13.1 	14.7 	26.2 	29.5 	32.4 	29.3 	30.8 b	25.8 	19.3 	18.4 
PC,T,TOTAL,B_MD60,EL	68.5 	65.4 	65.6 	67.1 	67.7 	78.8 	90.5 	93.1 	93.3 	94.0 	91.9 	89.7 
PC,T,TOTAL,B_MD60,ES	25.1 	26.8 	32.1 b	35.2 	35.2 	35.8 	40.0 	38.3 	39.6 	38.1 	36.4 	36.5 
PC,T,TOTAL,B_MD60,EU27	36.6 e	34.4 e	34.2 e	34.5 e	37.1 	38.0 	38.2 	37.8 	40.2 	39.3 	39.2 	37.8 e
PC,T,TOTAL,B_MD60,EU28	: 	: 	: 	: 	37.2 	38.0 	38.1 	37.7 	40.1 	39.2 	39.1 	37.8 e
PC,T,TOTAL,B_MD60,FI	15.9 	18.3 	18.8 	17.1 	16.4 	15.3 	17.2 	20.4 	21.2 	20.4 	19.5 	18.2 
PC,T,TOTAL,B_MD60,FR	21.8 	18.3 	15.6 	14.9 	22.1 	22.2 	22.2 	23.1 	20.9 	21.5 	22.3 	20.1 
PC,T,TOTAL,B_MD60,HR	: 	: 	: 	: 	48.4 	31.2 	28.5 	34.8 	30.0 	31.1 	29.4 	: 
PC,T,TOTAL,B_MD60,HU	39.8 	39.0 	42.5 	36.0 	36.7 	40.6 	38.8 	40.7 	38.4 	31.5 	32.9 	49.4 
PC,T,TOTAL,B_MD60,IE	8.0 	12.3 	12.2 	17.3 	23.1 	27.3 	28.0 	21.0 	27.1 	18.2 	18.7 	: 
PC,T,TOTAL,B_MD60,IS	42.5 	38.1 	31.0 	34.9 	43.1 	53.5 	50.5 	44.3 	41.0 	45.2 	32.4 p	: 
PC,T,TOTAL,B_MD60,IT	37.1 	26.2 	27.4 	27.6 	29.7 	31.9 	30.1 	32.2 	31.9 	32.9 	35.8 	32.9 
PC,T,TOTAL,B_MD60,LT	25.2 	20.1 	20.1 	20.3 	38.5 	38.0 	33.1 	28.8 	27.4 	32.2 	29.6 	26.8 
PC,T,TOTAL,B_MD60,LU	27.1 	23.0 	20.7 	19.2 	24.4 	23.6 	23.9 	25.9 	30.9 	27.9 	37.2 b	37.4 
PC,T,TOTAL,B_MD60,LV	33.4 	31.7 	27.1 	28.5 	31.9 	37.9 	35.9 	38.2 	32.5 	25.9 	25.2 	25.6 
PC,T,TOTAL,B_MD60,MK	: 	: 	: 	: 	: 	57.4 	62.2 	57.4 	55.4 	46.3 	50.2 	: 
PC,T,TOTAL,B_MD60,MT	9.5 	10.2 	12.4 	10.6 	13.3 	11.6 	11.9 	11.5 	5.8 	4.6 	5.9 	5.6 
PC,T,TOTAL,B_MD60,NL	55.9 	60.0 	46.2 	43.3 	43.4 	42.8 	46.6 	48.3 	51.1 	51.4 	42.9 b	40.9 
PC,T,TOTAL,B_MD60,NO	47.4 	49.8 	47.7 	41.9 	42.7 	49.3 	44.0 	42.5 	41.5 	43.2 	43.6 	43.1 
PC,T,TOTAL,B_MD60,PL	35.2 	33.1 	32.1 	28.3 	30.5 	35.7 	36.1 	33.5 	32.0 	30.7 	29.6 	30.4 
PC,T,TOTAL,B_MD60,PT	12.9 	22.0 	21.4 	21.5 	15.9 	26.4 	28.8 	30.9 	33.7 	33.5 	29.1 	26.0 
PC,T,TOTAL,B_MD60,RO	: 	44.6 	42.0 	37.3 	40.0 	23.2 	45.0 	41.5 	40.1 	42.6 	38.8 	36.3 
PC,T,TOTAL,B_MD60,RS	: 	: 	: 	: 	: 	: 	: 	68.6 	79.1 	74.0 	71.6 	: 
PC,T,TOTAL,B_MD60,SE	53.1 	47.9 	51.5 b	50.7 	41.9 	45.8 	42.1 	41.0 	42.3 	39.9 	38.7 	38.8 
PC,T,TOTAL,B_MD60,SI	16.3 	22.2 	21.1 	21.7 	20.6 	22.5 	26.0 	26.3 	29.4 	27.7 	28.3 	26.7 
PC,T,TOTAL,B_MD60,SK	57.7 	50.9 	26.3 	40.5 	35.2 	38.4 	36.3 	36.2 	36.4 	34.5 	35.6 	38.9 
PC,T,TOTAL,B_MD60,TR	26.4 	16.9 	16.5 	19.2 	19.0 	19.4 	16.9 	20.4 	19.8 	20.5 	: 	: 
PC,T,TOTAL,B_MD60,UK	47.4 	45.5 	46.7 	53.5 	54.9 	52.8 	26.0 b	27.0 	41.7 b	40.0 	42.4 	: 
PC,T,TOTAL,TOTAL,AT	5.0 	5.4 	8.5 bu	8.0 u	7.5 u	7.8 u	7.0 	7.2 	6.6 	6.4 	7.2 	7.1 
