currency,partner,sector10,sectpart,s_adj,stk_flow,bop_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,PL	918.6 	-2762.0 	-595.8 	698.0 	-2022.7 	3271.8 	508.7 	-928.9 	-567.4 	-203.2 	279.5 	1642.5 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,PT	2479.0 	278.0 	-281.0 	-533.0 	2710.0 	1090.0 	-410.0 	-847.0 	2797.0 	1592.0 	30.0 	-1363.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,RO	397.8 	-628.6 	1115.9 	50.7 	1346.6 	-966.7 	-167.0 	-1600.0 	-1192.0 	-425.0 	-679.7 	-2011.5 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,RS	-243.0 	-396.0 	-178.0 	-199.0 	-127.0 	-275.0 	-486.0 	-331.0 	-266.0 	-608.0 	-586.0 	-200.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,SE	2296.2 	-2508.7 	-5872.6 	-9731.4 	-1382.6 	1382.5 	-13344.4 	14029.0 	-2710.5 	11126.5 	-6807.2 	-913.5 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,SI	437.3 	144.4 	342.2 	229.2 	430.1 	152.0 	453.2 	590.0 	607.6 	103.4 	517.0 	752.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,SK	22.6 	-663.2 	256.9 	1359.1 	-617.5 	-2673.8 	-339.6 	-171.1 	-1434.4 	-276.2 	-1012.5 	-304.9 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,TR	1911.0 	-12590.9 	-12034.9 	-26563.9 	-3836.0 	2753.5 	-18803.5 	-28606.8 	-14272.2 	-14109.4 	-20321.1 	-10738.9 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,UK	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,XK	-25.7 	-116.5 	-31.7 	-39.5 	18.6 	-147.9 	9.0 	-23.7 	-11.4 	8.8 	-24.8 	-89.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,AL	-248.1 	-120.0 	-126.4 	-250.9 	-302.4 	-256.7 	-206.5 	-225.6 	-340.2 	-221.3 	-291.8 	-223.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,AT	3198.0 	1556.0 	2088.0 	-5245.0 	4154.0 	884.0 	1013.0 	-632.0 	-2127.0 	1791.0 	-212.0 	-293.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,BE	5366.0 	3339.0 	-34429.0 	1354.0 	-4162.0 	10104.0 	-9987.0 	16924.0 	11467.0 	8187.0 	6005.0 	3190.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,BG	-879.3 	-67.8 	-351.3 	-496.8 	-205.1 	437.8 	-230.2 	-189.9 	-101.7 	-557.1 	53.1 	-103.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,CH	40866.9 	-14167.9 	8628.4 	-4209.7 	13776.6 	3679.6 	-1513.5 	-54753.8 	6307.2 	-1030.6 	39057.0 	22174.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,CY	219.0 	4844.0 	-903.0 	734.0 	1350.0 	-2984.0 	-1879.0 	2114.0 	-5089.0 	315.0 	286.0 	-1347.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,CZ	747.5 	1020.1 	-65.8 	-3533.7 	-2330.6 	-970.3 	-2320.5 	-987.5 	-462.5 	-1339.2 	-377.5 	-1805.7 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,DE	8425.0 	29953.0 	9411.0 	-19250.0 	8058.0 	32951.0 	15224.0 	12498.0 	-805.0 	15332.0 	22015.0 	32133.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,DK	1358.5 	-270.6 	4118.4 	750.6 	2494.6 	1834.9 	6955.5 	1182.1 	-6976.0 	3625.0 	-1007.6 	-1869.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,EA19	-31552.0 	12636.0 	59825.0 	-4305.0 	108879.0 	12896.0 	-6681.0 	94661.0 	8277.0 	-11693.0 	123408.0 	63175.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,EE	-147.6 	81.3 	-210.0 	34.6 	-17.0 	-311.4 	-50.7 	-128.2 	-411.3 	-269.3 	70.1 	-762.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,EL	226.0 	-50.0 	110.0 	-2390.0 	-637.0 	-1086.0 	-508.0 	-1372.0 	-308.0 	-501.0 	-491.0 	-1499.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,ES	1111.0 	6526.0 	6042.0 	5439.0 	-4734.0 	7684.0 	-3056.0 	3944.0 	7283.0 	8730.0 	-1117.0 	-12643.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,EU28	-14443.2 	14936.4 	12404.7 	-3007.6 	145745.1 	-185831.5 	44338.1 	88259.9 	64608.7 	-93356.5 	97946.4 	-22681.3 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,FI	1278.0 	-3906.0 	13028.0 	-3078.0 	285.0 	2155.0 	-2984.0 	4009.0 	867.0 	-3728.0 	-642.0 	3940.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,FR	-16109.0 	-7051.0 	-7642.0 	15946.0 	-2070.0 	19140.0 	-15072.0 	8647.0 	9887.0 	3922.0 	27543.0 	3573.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,HR	66.6 	-23.5 	-492.3 	-280.8 	-767.2 	-390.4 	-230.5 	-165.8 	-345.3 	-439.2 	-400.6 	-261.2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,HU	-1242.6 	-2095.7 	-365.9 	707.0 	-1689.0 	-1231.8 	-355.7 	825.2 	-755.1 	-1287.0 	-347.2 	-515.6 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,IE	9983.0 	-90174.0 	12279.0 	-294.0 	-10521.0 	-9894.0 	-4670.0 	4186.0 	4069.0 	-37167.0 	26338.0 	10209.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,IS	-10.6 	-109.4 	-291.2 	418.4 	-518.9 	-292.9 	-35.2 	251.9 	-198.5 	-88.6 	244.9 	74.7 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,IT	-94.0 	-4123.0 	-136.0 	733.0 	-392.0 	-4300.0 	3377.0 	-4883.0 	763.0 	3950.0 	781.0 	3179.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,LT	-101.5 	-184.1 	594.8 	-146.9 	-210.8 	-375.1 	-216.5 	-133.0 	-119.3 	-80.5 	-158.8 	191.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,LU	-17541.0 	19017.0 	-26335.0 	5116.0 	-11268.0 	12364.0 	-57080.0 	15203.0 	30365.0 	-13755.0 	-15281.0 	22256.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,LV	-201.0 	-89.0 	83.0 	156.0 	-156.0 	-106.0 	-43.0 	-73.0 	-379.0 	-30.0 	-74.0 	0.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,ME	-341.0 	-95.0 	-70.0 	-85.0 	-127.0 	-90.0 	-101.0 	-119.0 	-91.0 	-173.0 	-51.0 	-102.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,MK	7.7 	-71.1 	-129.3 	-41.4 	-20.1 	-126.1 	-96.5 	22.3 	63.0 	-168.8 	-237.2 	-87.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,MT	-2303.2 	-2762.7 	-2030.9 	-2147.5 	-1764.8 	-2356.4 	-2091.1 	-2251.3 	-2365.9 	-2429.4 	-2254.7 	-2441.9 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,NL	9009.0 	35372.0 	49624.0 	8186.0 	37935.0 	6507.0 	4710.0 	15410.0 	-8494.0 	3218.0 	28801.0 	-3202.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,NO	4977.9 	1407.0 	-1343.7 	7992.2 	-2125.1 	18358.8 	-4195.5 	2789.5 	-5677.1 	8806.5 	2453.2 	4617.3 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,PL	-2151.1 	-4118.1 	-4802.8 	-1916.2 	-1565.1 	4462.7 	-2591.8 	2082.4 	-2415.4 	-2679.2 	-3262.1 	-1878.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,PT	1439.0 	-1397.0 	-1283.0 	-1504.0 	515.0 	-978.0 	-2537.0 	-2370.0 	-1085.0 	-2308.0 	-760.0 	-1756.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,RO	-828.6 	: c	-850.3 	-1224.8 	-1211.1 	-1227.2 	-1130.5 	-557.6 	-2085.0 	-800.4 	-1516.8 	-391.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,RS	-675.0 	-513.0 	-480.0 	-404.0 	-492.0 	-485.0 	-558.0 	-626.0 	-660.0 	-571.0 	-735.0 	-591.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA__D__F,SE	335.9 	-591.5 	1226.5 	386.1 	-7583.5 	495.7 	-936.1 	6611.3 	4741.4 	-340.8 	4510.2 	-1749.2 
