age,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
Y_LT3,AT	4.0 	4.0 	8.0 	6.0 	10.0 	9.0 	14.0 	13.0 	17.0 	16.0 	22.2 	20.5 
Y_LT3,BE	41.0 	40.0 	44.0 	43.0 	33.0 	35.0 	38.0 	47.0 	46.0 	48.8 	50.1 	43.8 
Y_LT3,BG	: 	16.0 	8.0 	11.0 	8.0 	7.0 	7.0 	8.0 	11.0 	11.2 	9.0 	12.5 
Y_LT3,CH	: 	: 	2.0 	3.0 	25.0 	26.0 	24.0 	29.0 	32.0 	29.8 	: 	0.0 
Y_LT3,CY	19.0 	25.0 	19.0 	29.0 	20.0 	25.0 	24.0 	26.0 	24.0 	25.5 	20.8 	24.9 
Y_LT3,CZ	2.0 	2.0 	2.0 	2.0 	3.0 	3.0 	5.0 	3.0 	2.0 	4.4 	2.9 	4.7 
Y_LT3,DE	16.0 	17.0 	17.0 	19.0 	19.0 	20.0 	24.0 	24.0 	27.0 	27.5 	25.9 	32.6 
Y_LT3,DK	73.0 	73.0 	70.0 	73.0 	73.0 	77.0 	74.0 	67.0 	65.0 	69.6 	77.3 	70.0 
Y_LT3,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.4 	33.9 	: 
Y_LT3,EA18	27.0 	27.0 	26.0 	31.0 	30.0 	31.0 	33.0 	31.0 	31.0 	32.4 	34.1 	38.3 
Y_LT3,EA19	27.0 	27.0 	26.0 	30.0 	30.0 	31.0 	33.0 	31.0 	31.0 	32.3 	33.9 	38.2 
Y_LT3,EE	11.0 	19.0 	15.0 	16.0 	25.0 	21.0 	19.0 	18.0 	20.0 	19.5 	21.5 	30.2 
Y_LT3,EL	8.0 	10.0 	9.0 	12.0 	11.0 	8.0 	19.0 	20.0 	14.0 	12.8 	11.4 	8.9 
Y_LT3,ES	38.0 	37.0 	39.0 	38.0 	33.0 	37.0 	39.0 	36.0 	36.0 	37.0 	39.7 	39.3 
Y_LT3,EU	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.4 	30.3 	: 
Y_LT3,EU27	: 	: 	25.0 	28.0 	27.0 	28.0 	29.0 	28.0 	28.0 	28.5 	30.5 	33.1 
Y_LT3,EU28	: 	: 	: 	: 	: 	28.0 	29.0 	27.0 	28.0 	28.4 	30.3 	32.9 
Y_LT3,FI	26.0 	26.0 	26.0 	26.0 	27.0 	28.0 	26.0 	29.0 	29.0 	33.2 	32.6 	32.6 
Y_LT3,FR	32.0 	31.0 	27.0 	40.0 	41.0 	42.0 	44.0 	40.0 	39.0 	39.5 	41.8 	48.9 
Y_LT3,HR	: 	: 	: 	: 	: 	11.0 	14.0 	11.0 	11.0 	17.1 	11.8 	15.6 
Y_LT3,HU	7.0 	8.0 	8.0 	7.0 	7.0 	9.0 	8.0 	8.0 	10.0 	14.3 	15.3 	15.6 
Y_LT3,IE	20.0 	18.0 	23.0 	24.0 	20.0 	29.0 	21.0 	31.0 	28.0 	27.4 	30.6 	28.6 
Y_LT3,IS	41.0 	33.0 	41.0 	40.0 	41.0 	40.0 	39.0 	41.0 	44.0 	42.8 	43.8 	64.7 
Y_LT3,IT	25.0 	25.0 	24.0 	27.0 	25.0 	22.0 	26.0 	20.0 	21.0 	22.9 	27.3 	34.4 
Y_LT3,LT	11.0 	5.0 	20.0 	9.0 	11.0 	14.0 	9.0 	8.0 	10.0 	22.9 	9.7 	15.2 
Y_LT3,LU	22.0 	31.0 	25.0 	26.0 	34.0 	36.0 	43.0 	48.0 	46.0 	49.0 	51.9 	50.9 
Y_LT3,LV	16.0 	17.0 	16.0 	13.0 	15.0 	18.0 	16.0 	24.0 	23.0 	21.6 	22.8 	28.3 
Y_LT3,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.9 	6.1 	9.0 
Y_LT3,MT	5.0 	7.0 	9.0 	14.0 	8.0 	9.0 	12.0 	17.0 	21.0 	18.2 	17.9 	31.4 
Y_LT3,NL	40.0 	45.0 	42.0 	47.0 	49.0 	50.0 	52.0 	46.0 	46.0 	44.6 	46.3 	53.0 
Y_LT3,NO	34.0 	34.0 	32.0 	37.0 	41.0 	48.0 	42.0 	43.0 	46.0 	54.6 	52.2 	52.1 
Y_LT3,PL	2.0 	3.0 	3.0 	3.0 	3.0 	2.0 	3.0 	6.0 	5.0 	5.6 	5.4 	7.8 
Y_LT3,PT	30.0 	33.0 	27.0 	33.0 	36.0 	37.0 	35.0 	34.0 	37.0 	44.9 	47.2 	49.9 
Y_LT3,RO	: 	: 	6.0 	9.0 	5.0 	8.0 	2.0 	15.0 	6.0 	2.6 	9.4 	17.4 
Y_LT3,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.1 	14.0 	18.1 
Y_LT3,SE	52.0 	44.0 	47.0 	49.0 	63.0 	51.0 	51.0 	53.0 	55.0 	56.7 	64.0 	51.0 
Y_LT3,SI	24.0 	28.0 	30.0 	30.0 	31.0 	36.0 	37.0 	38.0 	39.0 	37.3 	37.4 	39.5 
Y_LT3,SK	3.0 	5.0 	2.0 	2.0 	3.0 	3.0 	4.0 	5.0 	3.0 	6.5 	1.1 	0.5 
Y_LT3,TR	: 	0.0 	0.0 	0.0 	0.0 	: 	: 	: 	: 	: 	: 	: 
Y_LT3,UK	29.0 	33.0 	38.0 	35.0 	35.0 	34.0 	34.0 	27.0 	30.0 	28.9 	30.4 	28.5 
