currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT	: 	: 	: 	: 	-3693.0 	-1429.0 	5290.0 	4220.0 	18122.0 	21551.0 	13458.0 	30414.0 	54054.0 	75109.0 	77085.0 	60519.0 	68494.0 	67760.0 	75077.0 	67153.0 	50180.0 	35608.0 	28311.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-69164.8 	-69377.1 	-83504.7 	-51354.0 	21994.0 	41317.0 	35148.0 	68280.0 	96570.0 	55368.0 	66649.0 	82253.0 	36704.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BG	: 	: 	: 	: 	: 	-2207.7 	-651.9 	-2647.8 	-4393.6 	-5754.5 	-8617.2 	-10052.9 	-20412.2 	-31996.4 	-31501.5 	-33551.6 	-30389.7 	-31860.1 	-27316.5 	-25782.8 	-21753.6 	-17675.9 	-15558.7 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-34542.0 	-47106.0 	-53085.0 	-41843.0 	-35559.0 	-22338.0 	-19831.0 	-23597.0 	-18374.0 	-17085.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,CZ	-22943.0 	-80826.0 	-11237.0 	41260.0 	95257.0 	84945.0 	163582.0 	-72501.0 	-240826.0 	-172900.0 	-118410.0 	-144268.0 	-229362.0 	-278835.0 	-236333.0 	-148555.0 	-125293.0 	-60911.0 	-71048.0 	-104305.0 	-152950.0 	-251152.0 	-953475.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,DE	: 	: 	: 	: 	38292.0 	-34985.0 	-3499.0 	56126.0 	174954.0 	258925.0 	314987.0 	413941.0 	606476.0 	630160.0 	587279.0 	528382.0 	625912.0 	681669.0 	690263.0 	734958.0 	714337.0 	702764.0 	690810.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-229958.0 	-307387.0 	-347018.0 	-415447.0 	-485743.0 	-553197.0 	-498865.0 	-484844.0 	-345061.0 	-224736.0 	-60372.0 	68568.0 	189450.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1707.3 	-2950.2 	-6146.1 	-8512.1 	-9425.0 	-9599.0 	-7411.0 	-3198.0 	-2432.7 	-2137.6 	-1761.8 	-1470.6 	-3191.8 	-3980.8 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	-19652.0 	-15597.0 	-25755.0 	-37804.0 	-52174.0 	-60134.0 	-61945.0 	-141861.0 	-180233.0 	-286847.0 	-290295.0 	-299722.0 	-308089.0 	-315743.0 	-296023.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,ES	: 	: 	: 	: 	-70754.0 	-104581.0 	-142977.0 	-149995.0 	-193490.0 	-175506.0 	-216124.0 	-166396.0 	-221232.0 	-324803.0 	-354052.0 	-382643.0 	-479929.0 	-504921.0 	-397604.0 	-385233.0 	-406966.0 	-451107.0 	-475584.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,FI	: 	: 	: 	: 	-14006.7 	-25094.9 	-26237.6 	-20944.6 	-42510.3 	9486.0 	7030.4 	5273.8 	6066.0 	-2254.6 	-18947.1 	-26623.9 	-27687.3 	-33765.3 	-34099.1 	-35643.9 	-15739.0 	: c	-45697.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,FR	: 	: 	: 	: 	32759.0 	-22547.0 	-9700.0 	-29117.0 	-65303.0 	-119367.0 	-165134.0 	-322202.0 	-459585.0 	-574260.0 	-416759.0 	-347012.0 	-144845.0 	-162849.0 	-85188.0 	-98301.0 	-165684.0 	-211836.0 	-262853.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,HR	: 	: 	: 	: 	: 	-30198.7 	-19546.0 	-45216.0 	-68261.0 	-82218.0 	-108905.0 	-132109.0 	-140162.0 	-182401.0 	-204484.0 	-210753.0 	-220087.0 	-195380.0 	-191718.0 	-178595.0 	-168450.0 	-143262.0 	-130862.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,HU	: 	: 	: 	: 	-1718111.0 	-2689936.0 	-1847063.7 	-1395531.2 	-2320368.7 	-3049795.4 	-4141608.5 	-4261277.6 	-5642103.9 	-12154330.0 	-14729884.0 	-15483285.0 	-16279286.0 	-11978661.1 	-9223592.5 	-9003017.6 	-6188407.3 	-3760606.9 	-3145191.1 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	-16549.9 	-37809.0 	-27641.0 	1757.0 	-23282.8 	-19604.4 	-124186.0 	-94968.0 	-11270.0 	37916.0 	54543.0 	-98375.0 	-129253.0 	-67.0 	-29152.0 	3800.0 
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,IT	: 	: 	: 	: 	-65430.0 	-82150.0 	-67622.0 	-35592.0 	-25818.0 	-3536.0 	-23986.0 	-20406.0 	-70252.0 	-92334.0 	-87691.0 	-244358.0 	-325857.0 	-318247.0 	-305834.0 	-243639.0 	-306743.0 	-384632.0 	-419344.0 
