unit,sector,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_EUR,S13,GD,MT	2654.0 	2989.2 	2927.3 	3267.4 	3449.6 	3606.4 	3472.9 	3584.6 	3837.0 	4152.7 	4452.1 	4796.6 	4855.1 	5226.6 	5390.0 	5585.5 	5734.9 	5670.6 
MIO_EUR,S13,GD,NL	235427.0 	238329.0 	244564.0 	256381.0 	266230.0 	274420.0 	264268.0 	266215.0 	354022.0 	354795.0 	378789.0 	401269.0 	432428.0 	446944.0 	455706.0 	446058.0 	438418.0 	419778.0 
MIO_EUR,S13,GD,PL	70735.4 	83306.4 	84224.1 	83817.2 	102896.8 	119167.1 	131104.4 	145930.2 	143344.2 	165264.5 	193168.3 	190154.3 	214840.5 	222120.4 	202973.2 	216516.8 	228831.6 	240768.0 
MIO_EUR,S13,GD,PT	64640.5 	72554.2 	80133.6 	85726.1 	94454.1 	106919.5 	115002.2 	120088.5 	128191.4 	146691.3 	173062.5 	196231.4 	212556.0 	219714.8 	226040.5 	231512.6 	240962.6 	242804.5 
MIO_EUR,S13,GD,RO	7532.8 	10917.2 	10757.1 	10309.5 	11768.7 	12397.6 	12585.6 	14123.8 	16610.2 	27435.6 	36933.5 	44187.4 	49445.7 	53429.3 	58489.2 	59494.1 	62911.0 	64647.1 
MIO_EUR,S13,GD,SE	136966.8 	139337.7 	141280.9 	146703.0 	152093.1 	152253.7 	150781.6 	137069.5 	117751.1 	132770.2 	151726.6 	155395.3 	163555.4 	173293.0 	190740.3 	202004.9 	194479.0 	189917.2 
MIO_EUR,S13,GD,SI	5483.6 	6035.5 	6707.8 	6941.5 	7425.4 	7687.3 	8204.4 	8025.1 	8274.5 	12527.1 	13907.4 	17203.6 	19404.0 	25504.9 	30219.9 	32087.4 	31753.4 	31859.1 
MIO_EUR,S13,GD,SK	10753.4 	11665.7 	11604.2 	12600.3 	14567.6 	13680.1 	15249.4 	17026.0 	19493.7 	23236.8 	27842.3 	30846.9 	37925.7 	40600.0 	40725.0 	41295.0 	42053.2 	43229.8 
MIO_EUR,S13,GD,UK	645942.9 	637004.1 	625646.4 	632116.9 	718656.8 	806349.1 	888713.3 	877421.4 	824108.1 	1103250.7 	1387555.0 	1590780.5 	1745862.0 	1798955.3 	2060326.0 	2269880.7 	2022228.9 	2013084.6 
PC_GDP,S13,GD,AT	66.1 	66.7 	66.7 	65.9 	65.2 	68.6 	67.3 	65.0 	68.7 	79.9 	82.7 	82.4 	81.9 	81.3 	84.0 	84.8 	83.0 	78.3 
PC_GDP,S13,GD,BE	108.8 	107.6 	104.7 	101.1 	96.5 	94.7 	91.1 	87.0 	92.5 	99.5 	99.7 	102.6 	104.3 	105.5 	107.6 	106.5 	106.1 	103.4 
PC_GDP,S13,GD,BG	71.2 	65.0 	51.4 	43.7 	36.0 	26.8 	21.0 	16.3 	13.0 	13.7 	15.3 	15.2 	16.7 	17.1 	27.1 	26.2 	29.6 	25.6 
PC_GDP,S13,GD,CY	55.7 	57.3 	60.5 	63.8 	64.8 	63.4 	59.3 	54.0 	45.6 	54.3 	56.8 	66.2 	80.1 	103.1 	108.0 	108.0 	105.5 	96.1 
