indic_bt,nace_r2,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
TOVV,G47_NFOOD_X_G473,I2015_SCA,AL	115.3 s	111.5 s	105.0 s	111.7 s	112.5 s	111.2 s	110.8 s	110.2 s	113.8 s	: 	: 	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,AT	100.2 p	103.0 p	100.1 p	102.4 p	100.5 p	101.8 p	103.7 p	101.7 p	101.7 p	101.4 p	101.4 p	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,BE	97.1 p	101.7 p	101.9 p	98.5 p	99.8 p	99.7 p	98.5 p	101.7 p	102.5 p	95.9 p	98.9 p	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,BG	118.0 	118.5 	119.0 	118.6 	118.5 	118.8 	120.1 	120.5 	120.3 	120.3 	120.9 p	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,CH	97.4 p	99.6 p	98.6 p	98.3 p	97.7 p	97.6 p	99.2 p	97.5 p	98.0 p	97.3 p	97.1 p	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,CY	118.7 	121.1 	119.7 	122.6 	122.7 	124.5 	122.3 	122.7 	123.9 	122.8 	: c	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,CZ	116.7 p	120.5 p	120.5 p	122.0 p	121.6 p	121.1 p	123.3 p	122.7 p	123.2 p	124.3 p	124.2 p	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,DE	106.4 p	109.4 p	107.0 p	107.6 p	106.3 p	105.2 p	111.5 p	107.6 p	107.5 p	108.5 p	108.0 p	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,DK	103.8 	109.4 	106.0 	105.7 	105.4 	107.3 	107.2 	109.3 	110.1 	105.9 	110.6 	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,EA19	105.1 	108.4 	106.5 	106.5 	106.1 	106.2 	108.3 	107.4 	107.5 	107.4 	107.4 	: 
TOVV,G47_NFOOD_X_G473,I2015_SCA,EE	117.4 s	118.0 s	121.1 s	119.2 s	118.1 s	117.2 s	117.7 s	120.7 s	119.5 s	122.1 s	122.6 s	: 
