intrt,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
MCBY,AT	0.61 	0.51 	0.50 	0.67 	0.84 	0.81 	0.76 	0.76 	0.71 	0.60 	0.60 	0.67 
MCBY,BE	0.69 	0.58 	0.53 	0.70 	0.97 	0.87 	0.81 	0.83 	0.79 	0.68 	0.71 	0.77 
MCBY,BG	1.40 	1.33 	1.02 	0.90 	0.98 	1.05 	1.02 	1.05 	0.99 	0.92 	0.81 	0.78 
MCBY,CY	1.84 	1.54 	1.58 	1.68 	1.93 	1.83 	2.12 	2.52 	2.61 	2.08 	2.22 	2.01 
MCBY,CZ	1.45 	1.68 	1.50 	1.77 	1.82 	1.81 	1.74 	1.89 	2.14 	2.11 	2.14 	2.14 
MCBY,DE	0.37 	0.31 	0.30 	0.47 	0.66 	0.53 	0.48 	0.45 	0.33 	0.28 	0.29 	0.37 
MCBY,DK	0.53 	0.44 	0.41 	0.57 	0.77 	0.64 	0.55 	0.52 	0.41 	0.32 	0.33 	0.37 
MCBY,EA	1.08 	0.95 	0.91 	1.05 	1.19 	1.07 	0.99 	1.08 	1.12 	1.04 	1.15 	1.17 
MCBY,EE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
MCBY,EL	5.59 	5.22 	4.44 	3.79 	4.14 	4.27 	4.04 	4.29 	4.39 	3.88 	4.18 	4.17 
MCBY,ES	1.61 	1.49 	1.44 	1.47 	1.51 	1.33 	1.21 	1.39 	1.37 	1.33 	1.40 	1.46 
MCBY,EU28	1.33 	1.23 	1.18 	1.30 	1.46 	1.34 	1.26 	1.35 	1.37 	1.31 	1.38 	1.44 
MCBY,FI	0.60 	0.52 	0.51 	0.68 	0.84 	0.72 	0.69 	0.70 	0.63 	0.53 	0.56 	0.66 
MCBY,FR	0.81 	0.72 	0.67 	0.86 	0.98 	0.84 	0.78 	0.78 	0.75 	0.67 	0.70 	0.77 
MCBY,HR	2.66 	2.65 	2.47 	2.35 	2.27 	2.19 	2.12 	2.16 	2.20 	2.26 	2.18 	2.14 
MCBY,HU	2.57 	2.23 	2.07 	2.06 	2.55 	2.60 	2.47 	2.92 	3.37 	3.39 	3.41 	3.57 
MCBY,IE	0.66 	0.58 	0.54 	0.91 	1.13 	1.01 	0.94 	0.98 	0.92 	0.83 	0.86 	0.93 
MCBY,IT	2.07 	1.79 	1.80 	1.98 	2.08 	1.97 	1.77 	2.18 	2.74 	2.64 	3.16 	2.96 
MCBY,LT	0.31 	0.31 	0.31 	0.31 	0.31 	0.31 	0.31 	0.31 	0.31 	0.31 	0.31 	0.31 
MCBY,LU	0.57 	0.50 	0.49 	0.63 	0.78 	0.68 	0.62 	0.61 	0.54 	0.47 	0.47 	0.51 
MCBY,LV	0.71 	0.69 	0.59 	0.60 	0.75 	0.83 	0.80 	0.86 	0.93 	1.06 	0.95 	0.94 
MCBY,MT	1.24 	1.13 	1.07 	1.29 	1.38 	1.23 	1.24 	1.32 	1.37 	1.34 	1.46 	1.52 
MCBY,NL	0.54 	0.47 	0.45 	0.61 	0.76 	0.63 	0.69 	0.67 	0.57 	0.47 	0.47 	0.55 
MCBY,PL	3.38 	3.39 	3.27 	3.32 	3.39 	3.27 	3.06 	3.23 	3.21 	3.17 	3.14 	3.24 
MCBY,PT	2.32 	1.98 	1.83 	1.85 	2.03 	1.79 	1.66 	1.84 	1.87 	1.76 	1.82 	1.88 
MCBY,RO	4.17 	4.43 	4.40 	4.24 	4.49 	4.53 	4.46 	4.69 	4.95 	5.05 	4.80 	4.75 
MCBY,SE	0.83 	0.76 	0.72 	0.85 	0.91 	0.77 	0.71 	0.66 	0.55 	0.51 	0.52 	0.60 
MCBY,SI	0.97 	0.81 	0.69 	0.88 	1.14 	1.11 	0.89 	0.96 	0.99 	0.79 	0.77 	0.75 
MCBY,SK	0.83 	0.76 	0.67 	0.69 	0.77 	0.80 	0.75 	0.75 	1.01 	0.94 	0.92 	0.98 
MCBY,UK	1.35 	1.28 	1.22 	1.33 	1.57 	1.45 	1.44 	1.42 	1.32 	1.27 	1.31 	1.52 
