wst_oper,unit,geo\time	2010 	2012 	2014 
DSP_L,PC,AT	12 	9 	12 
DSP_L,PC,BE	9 	6 	3 
DSP_L,PC,BG	69 	85 	82 
DSP_L,PC,CY	58 d	51 d	59 d
DSP_L,PC,CZ	29 	24 	22 
DSP_L,PC,DE	8 s	10 s	11 s
DSP_L,PC,DK	6 d	5 d	4 d
DSP_L,PC,EE	74 	71 	77 
DSP_L,PC,EL	75 	79 	81 
DSP_L,PC,ES	51 	46 	47 
DSP_L,PC,EU28	28 	27 	25 
DSP_L,PC,FI	17 	11 	17 
DSP_L,PC,FR	26 	25 	23 
DSP_L,PC,HR	51 d	59 d	47 d
DSP_L,PC,HU	54 	55 	46 
DSP_L,PC,IE	50 	41 	24 d
DSP_L,PC,IT	28 d	25 d	21 d
DSP_L,PC,LT	44 	45 	38 
DSP_L,PC,LU	3 	4 	6 
DSP_L,PC,LV	52 d	37 d	26 d
DSP_L,PC,MT	74 d	68 d	70 d
DSP_L,PC,NL	2 d	3 d	2 
DSP_L,PC,PL	28 	29 	26 
DSP_L,PC,PT	39 d	34 d	31 d
DSP_L,PC,RO	56 d	55 d	54 d
DSP_L,PC,SE	10 	9 	9 
DSP_L,PC,SI	32 	13 	10 
DSP_L,PC,SK	55 d	53 d	52 d
DSP_L,PC,UK	33 	31 	28 
