currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,NL	: 	: 	: 	: 	: 	: 	: 	: 	69352.0 	71519.0 	74556.0 	88636.0 	159297.0 	235536.0 	182513.0 	219763.0 	319561.0 	365586.0 	244574.0 	432077.0 	374525.0 	382323.0 	310089.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	907.0 	1625.0 	1602.0 	3125.0 	7006.0 	2795.0 	10962.0 	19705.0 	18937.0 	16926.0 	27627.0 	18449.0 	14474.0 	16769.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,PT	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	163.0 	-444.0 	-1131.0 	: c	5618.0 	3673.0 	3608.0 	4310.0 	3761.0 	1690.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	-39.0 	1.0 	2.0 	5.0 	46.0 	24.0 	27.0 	167.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,SE	: 	: 	: 	125580.0 	127785.0 	197346.0 	167069.0 	216772.0 	215230.0 	224702.0 	209552.0 	174116.0 	222432.0 	538927.0 	360571.0 	353626.0 	493089.0 	487886.0 	339871.0 	612363.0 	517907.0 	488887.0 	719609.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,SI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	14.0 	27.0 	132.0 	83.0 	90.0 	122.0 	188.0 	151.4 	88.9 	240.8 	1265.7 	1165.9 	322.0 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	221.1 	312.3 	710.1 	473.0 	781.9 	316.3 	485.3 	532.1 	423.5 	228.3 	316.6 	533.4 	468.4 	215.7 
MIO_NAC,FA__F__F7,S1,S1,A_LE,WRL_REST,UK	: 	: 	: c	: c	1.0 	3.0 	5.0 	6.0 	6.0 	709386.0 	820085.0 	853724.0 	1378152.0 	4040199.0 	2176392.0 	2962857.0 	3638174.0 	3093794.0 	2485245.0 	2910934.0 	2410117.0 	2649936.0 	2027835.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,AT	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3530.0 	7548.0 	10895.0 	7218.0 	8207.0 	9490.0 	8944.0 	7727.0 	8290.0 	7199.0 	7143.0 	4064.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2866.0 	7423.0 	15423.0 	16012.0 	12365.0 	5903.0 	7280.0 	9171.0 	12258.0 	20885.0 	19154.0 	18264.0 	9782.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	266.3 	227.3 	164.2 	19.8 	146.0 	149.9 	192.4 	213.1 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1724.0 	1618.0 	1312.0 	1543.0 	1443.0 	1415.0 	: c	4503.0 	1799.0 	1161.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,CZ	: 	: 	: 	: 	: 	5308.0 	11495.0 	22672.0 	19448.0 	31806.0 	31868.0 	36482.0 	54223.0 	166602.0 	120058.0 	108828.0 	139980.0 	105958.0 	85230.0 	95956.0 	81206.0 	77080.0 	66719.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,DE	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	786426.0 	929136.0 	948158.0 	618066.0 	814213.0 	681291.0 	641477.0 	490266.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	502801.0 	435250.0 	484216.0 	347072.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.2 	8.5 	25.2 	32.1 	49.1 	48.6 	91.5 	79.5 	119.6 	88.8 	111.5 	105.1 	93.7 	67.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	7430.0 	8679.0 	6324.0 	8014.0 	9722.0 	11463.0 	7798.0 	5511.0 	7208.0 	8470.0 	9981.0 	10919.0 	7827.0 	8236.0 	7054.0 
MIO_NAC,FA__F__F7,S1,S1,L_LE,WRL_REST,ES	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	42569.0 	63487.0 	114027.0 	78498.0 	92459.0 	134415.0 	152285.0 	100017.0 	124218.0 	113194.0 	109463.0 	93248.0 
