na_item,sector,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
P51G,S13,MIO_EUR,AT	7693.0 	8456.4 	9517.9 	9706.2 	9613.4 	9388.0 	9357.9 	9851.4 	9850.2 	10261.0 	10633.3 	11398.6 
P51G,S13,MIO_EUR,BE	6417.5 	7030.1 	7416.7 	8130.6 	8394.0 	9274.7 	9643.5 	9250.3 	9367.0 	9459.2 	9312.8 	9771.4 
P51G,S13,MIO_EUR,BG	1139.8 	1697.9 	2073.8 	1848.7 	1754.8 	1409.5 	1430.9 	1699.5 	2226.6 	3006.4 	1257.1 	1161.1 
P51G,S13,MIO_EUR,CY	550.0 	543.8 	599.1 	784.3 	807.5 	783.5 	565.1 	414.1 	362.1 	389.9 	468.8 	534.3 
P51G,S13,MIO_EUR,CZ	6439.7 	6572.1 	8507.3 	8969.0 	8007.6 	7362.8 	6734.9 	5865.6 	6463.6 	8662.8 	5741.0 	6499.8 
P51G,S13,MIO_EUR,DE	47779.0 	48632.0 	52759.0 	57948.0 	59467.0 	61514.0 	61746.0 	60374.0 	60596.0 	64161.0 	68174.0 	73255.0 
P51G,S13,MIO_EUR,DK	6620.8 	7093.4 	7246.4 	7241.3 	8001.8 	8235.2 	9646.8 	9478.4 	10255.1 	9866.3 	10646.2 	9977.7 
P51G,S13,MIO_EUR,EA18	283989.4 	301849.7 	319458.8 	337575.2 	323583.5 	305010.0 	286571.3 	280036.8 	274659.0 	282622.5 	276946.3 	289423.5 
P51G,S13,MIO_EUR,EA19	285018.7 	303422.1 	321218.0 	338764.4 	324974.4 	306489.2 	287897.6 	281346.3 	275941.9 	283997.8 	278117.1 	290767.0 
P51G,S13,MIO_EUR,EE	727.6 	976.6 	1024.6 	882.2 	712.5 	819.3 	1133.7 	1055.0 	1011.3 	1083.5 	982.1 	1280.5 
P51G,S13,MIO_EUR,EL	12482.0 	11286.0 	13510.0 	13559.0 	8330.0 	5089.0 	4825.0 	6221.0 	6570.0 	6812.0 	6106.0 	7846.0 
