indic_bt,nace_r2,unit,geo\time	2017M09 	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 
PROD,MIG_DCOG,I2015_SCA,AT	106.7 	107.9 	108.3 	109.6 	104.1 	108.9 	104.8 	109.3 	111.3 	112.0 	114.1 p	: 
PROD,MIG_DCOG,I2015_SCA,BE	99.2 	99.7 	99.9 	103.7 	101.6 	93.2 	95.8 	89.8 	102.0 	96.5 	96.2 	: 
PROD,MIG_DCOG,I2015_SCA,BG	104.6 	101.6 	101.9 	112.0 	108.9 	110.1 	111.0 	111.5 	115.3 	115.0 	109.6 	112.8 p
PROD,MIG_DCOG,I2015_SCA,CY	131.9 	126.9 	130.3 	130.3 	136.0 	138.4 	143.0 	137.4 	151.3 	145.9 	147.4 	: c
PROD,MIG_DCOG,I2015_SCA,CZ	110.5 e	110.6 e	111.5 e	112.1 e	113.0 e	113.0 e	113.5 e	114.2 e	114.4 e	115.2 e	115.2 e	116.5 e
PROD,MIG_DCOG,I2015_SCA,DE	107.9 	106.9 	107.8 	107.3 	108.6 	106.1 	108.2 	103.9 	108.2 	108.2 	104.1 	105.8 
PROD,MIG_DCOG,I2015_SCA,DK	107.0 	106.9 	110.2 	108.6 	106.9 	105.0 	107.0 	96.0 	103.1 	100.4 	106.1 	104.5 
PROD,MIG_DCOG,I2015_SCA,EA19	108.6 	106.7 	108.5 	110.1 	108.3 s	106.5 s	108.0 s	105.7 s	107.8 s	107.7 s	105.6 s	107.2 s
PROD,MIG_DCOG,I2015_SCA,EE	97.4 	96.9 	96.1 	96.2 	104.5 	93.0 	93.1 	92.4 	97.9 	98.9 	97.9 	95.2 
PROD,MIG_DCOG,I2015_SCA,EL	97.7 p	100.0 p	97.9 p	114.0 p	105.2 p	105.7 p	102.5 p	105.6 p	102.0 p	98.5 p	96.1 p	92.3 p
PROD,MIG_DCOG,I2015_SCA,ES	108.3 p	107.6 p	105.5 p	109.7 p	106.8 p	107.8 p	106.6 p	104.0 p	105.9 p	104.6 p	105.9 p	105.4 p
PROD,MIG_DCOG,I2015_SCA,EU28	108.7 	107.3 	108.8 	110.5 	109.4 s	108.0 s	109.5 s	107.6 s	109.9 s	109.5 s	108.3 s	109.2 s
PROD,MIG_DCOG,I2015_SCA,FI	101.7 	98.9 	105.5 	105.1 	103.3 	103.2 	104.6 	100.3 	104.1 	102.9 	108.4 	100.8 
PROD,MIG_DCOG,I2015_SCA,FR	105.6 	98.9 	105.2 	109.5 	106.2 	100.3 	100.8 	101.5 	99.5 	100.8 	100.7 	103.8 
PROD,MIG_DCOG,I2015_SCA,HR	105.1 	108.9 	105.6 	106.7 	110.2 	102.1 	114.4 	101.7 	98.4 	99.3 	100.2 	98.1 
PROD,MIG_DCOG,I2015_SCA,HU	112.7 	111.2 	111.9 	103.6 	113.6 	114.5 	110.6 	115.0 	119.0 	116.4 	117.3 	113.8 
PROD,MIG_DCOG,I2015_SCA,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
PROD,MIG_DCOG,I2015_SCA,IT	112.0 	108.7 	111.3 	114.1 	107.8 	106.7 	111.1 	108.5 	107.2 	107.9 	102.8 	108.8 
PROD,MIG_DCOG,I2015_SCA,LT	114.9 	114.1 	117.6 	120.3 	115.2 	112.6 	111.6 	115.3 	114.6 	111.2 	113.0 	113.0 
PROD,MIG_DCOG,I2015_SCA,LU	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
PROD,MIG_DCOG,I2015_SCA,LV	112.6 	112.3 	116.1 	113.3 	120.2 	116.5 	119.2 	117.9 	119.2 	115.2 	113.1 	119.2 
