s_adj,bop_item,sector10,sectpart,stk_flow,partner,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,LU	: 	: 	: 	: 	: 	: 	: 	16137.0 	19208.0 	4998.0 	5904.0 	7212.0 	-6752.0 	6220.0 	-10693.0 	-8200.0 	12477.0 	22472.0 	25081.0 	24296.0 	16039.0 	24997.0 	26015.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,LV	: 	: 	: 	: 	: 	-2028.0 	-2759.0 	-3355.0 	-3973.0 	-5521.0 	-7637.0 	-11073.0 	-15654.0 	-18083.0 	-15507.0 	-14747.0 	-15036.0 	-14834.0 	-15156.0 	-15607.0 	-15453.0 	-14634.0 	-15210.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	1835.9 	1846.2 	1497.0 	1234.6 	256.7 	774.8 	800.2 	428.4 	1404.6 	2060.3 	3659.9 	4836.7 	4606.4 	6969.7 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	-19768.0 	-1098.0 	-27400.0 	-11292.0 	-92075.0 	-51505.0 	8865.0 	70506.0 	130891.0 	174288.0 	202572.0 	322619.0 	345744.0 	444316.0 	439816.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	-381178.0 	-413725.0 	-480786.0 	-584533.0 	-714757.0 	-786779.0 	-940600.0 	-977907.0 	-1064732.0 	-1142247.0 	-1188192.0 	-1117822.0 	-1145969.0 	-1213112.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,PT	: 	-12451.0 	-15289.0 	-27058.0 	-40692.0 	-53356.0 	-66588.0 	-83337.0 	-91173.0 	-101707.0 	-110972.0 	-131894.0 	-155813.0 	-170164.0 	-189309.0 	-187735.0 	-177446.0 	-196233.0 	-197970.0 	-205329.0 	-203520.0 	-196761.0 	-204069.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-85463.0 	-125055.0 	-196051.0 	-275337.0 	-316329.0 	-338476.0 	-369585.0 	-401364.0 	-398917.0 	-383117.0 	-389169.0 	-375018.0 	-409448.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,SE	: 	: 	: 	-745132.0 	-731938.0 	-790553.0 	-575255.0 	-536705.0 	-465914.0 	-607085.0 	-504742.0 	-304253.0 	39226.0 	-268691.0 	-237940.0 	-195903.0 	-310017.0 	-580404.0 	-605549.0 	-90607.0 	-49078.0 	220842.0 	83099.0 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,SI	330.9 	-448.4 	-392.5 	-872.8 	-2005.3 	-2581.2 	-485.0 	27.0 	-1481.0 	-2130.0 	-3160.0 	-5289.0 	-8950.0 	-14935.0 	-15767.0 	-17097.0 	-16675.0 	-18059.5 	-17087.1 	-17219.0 	-15399.2 	-14858.0 	-13869.3 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	-17934.0 	-23940.2 	-29525.1 	-31717.9 	-38346.1 	-42555.0 	-41863.0 	-45512.3 	-44671.1 	-46212.1 	-48385.8 	-50984.0 	-54112.4 	-55630.9 
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,UK	: 	: 	: c	: c	-62190.0 	26068.0 	-20643.0 	44746.0 	35956.0 	-44140.0 	-32619.0 	-115278.0 	-120697.0 	153392.0 	-241799.0 	-121337.0 	-186523.0 	-482037.0 	-317483.0 	-407147.0 	-381025.0 	-47452.0 	-175051.0 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,AT	: 	: 	: 	: 	-16.7 	-16.2 	-20.9 	-20.5 	-12.8 	-13.0 	-15.5 	-12.9 	-9.7 	-10.0 	-5.0 	-5.2 	-1.9 	-3.2 	1.3 	3.4 	2.2 	3.7 	3.7 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.4 	34.4 	33.6 	51.8 	57.5 	65.2 	60.9 	51.8 	51.9 	45.1 	45.9 	57.3 	52.6 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,BG	: 	: 	: 	: 	-38.1 	-32.9 	-26.7 	-24.9 	-25.9 	-29.4 	-43.1 	-56.5 	-77.0 	-93.9 	-97.3 	-91.9 	-82.8 	-77.9 	-73.3 	-72.4 	-63.0 	-49.2 	-42.8 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-45.4 	-56.5 	-79.1 	-100.3 	-111.2 	-129.9 	-129.1 	-138.7 	-147.0 	-145.0 	-123.0 	-121.5 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,CZ	3.7 	-3.8 	-5.5 	-5.5 	-4.9 	-8.1 	-9.5 	-14.8 	-18.8 	-24.0 	-23.1 	-28.1 	-36.4 	-38.1 	-43.9 	-46.0 	-45.2 	-45.9 	-41.4 	-36.6 	-32.9 	-26.9 	-26.5 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,DE	: 	: 	: 	: 	3.1 	1.6 	6.5 	0.0 	0.8 	4.5 	13.3 	19.7 	18.7 	18.1 	25.0 	25.6 	23.2 	28.5 	34.5 	40.6 	46.4 	50.7 	54.0 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.8 	-0.3 	-5.8 	-5.1 	0.9 	12.8 	27.8 	36.1 	37.2 	43.3 	34.5 	55.3 	56.3 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,EE	: 	-13.4 	-35.0 	-36.8 	-51.5 	-48.1 	-48.3 	-53.6 	-65.9 	-86.3 	-84.6 	-73.3 	-71.3 	-75.4 	-80.1 	-71.2 	-54.8 	-51.1 	-50.1 	-47.0 	-40.2 	-38.9 	-31.4 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,EL	: 	: 	: 	: 	: 	: 	: 	: 	-59.6 	-66.9 	-75.6 	-82.6 	-93.7 	-75.8 	-87.5 	-99.0 	-88.8 	-115.9 	-130.4 	-131.9 	-136.1 	-139.7 	-142.5 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,ES	-21.0 	-23.3 	-27.8 	-36.2 	-34.7 	-34.8 	-38.2 	-44.7 	-48.2 	-55.7 	-58.9 	-67.9 	-79.6 	-80.2 	-93.5 	-88.6 	-91.9 	-89.9 	-95.2 	-98.0 	-89.5 	-85.3 	-83.8 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,FI	: 	: 	: 	: 	-181.2 	-156.0 	-92.1 	-48.6 	-62.6 	-9.3 	-14.0 	-14.2 	-27.9 	-4.6 	3.2 	16.5 	15.1 	11.7 	3.9 	-3.2 	1.6 	3.3 	2.4 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,FR	: 	: 	: 	: 	0.9 	2.2 	8.0 	6.7 	-3.1 	-3.4 	-2.0 	-4.8 	-8.9 	-13.8 	-14.8 	-9.3 	-8.7 	-12.8 	-16.6 	-15.6 	-12.9 	-14.9 	-20.1 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,HR	: 	: 	: 	: 	: 	-24.7 	-17.2 	-26.3 	-35.8 	-47.3 	-56.1 	-73.7 	-89.1 	-73.8 	-86.8 	-94.0 	-91.5 	-90.7 	-88.3 	-85.3 	-76.4 	-69.9 	-62.4 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,HU	-60.8 	-58.5 	-64.8 	-64.3 	-73.1 	-70.6 	-64.4 	-63.4 	-75.8 	-83.1 	-91.6 	-94.7 	-88.1 	-101.7 	-115.0 	-108.3 	-105.7 	-93.6 	-83.1 	-80.3 	-67.5 	-58.5 	-52.9 
NSA,FA,S1,S1,N_LE,WRL_REST,PC_GDP,IE	: 	: 	: 	: 	: 	: 	: 	-21.0 	-23.5 	-22.3 	-46.2 	-25.8 	-31.4 	-95.7 	-116.5 	-114.5 	-139.8 	-137.7 	-133.3 	-164.3 	-198.7 	-170.7 	-149.3 
