age,sex,hhtyp,indic_il,workint,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,SE	26.0 	27.8 	38.5 b	46.3 	48.1 	48.9 	50.3 	54.8 	53.5 	56.9 	57.6 	64.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,SI	44.3 	42.6 	49.6 	41.2 	45.1 	45.2 	45.5 	44.0 	49.9 	52.3 	56.4 	58.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,SK	33.7 	31.8 	32.2 	31.6 	41.4 	49.4 	50.5 	48.5 	61.3 	56.1 	50.5 	55.1 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,TR	16.2 	16.0 	16.0 	14.1 	12.3 	13.6 	13.5 	12.5 	12.4 	14.2 	: 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,UK	57.7 	48.8 	51.9 	55.2 	55.2 	39.6 	45.9 b	42.4 	51.2 	43.0 	44.9 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,AT	33.0 	17.8 	39.9 b	31.1 	26.4 	27.0 	31.7 	28.0 	28.8 	26.2 	28.2 	28.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,BE	12.2 	10.9 	15.2 	20.7 	15.3 	17.9 	22.0 	12.6 	17.9 	16.1 	15.2 	28.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,BG	26.8 	35.2 	37.5 	38.8 	34.8 	41.3 	32.8 	34.6 	40.0 	34.0 	45.5 b	46.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,CH	: 	34.6 	33.2 	25.8 	26.8 	27.2 	36.5 	22.6 	27.5 b	30.4 	30.7 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI02-045,CY	33.2 	19.5 	33.6 b	34.0 	29.7 	15.9 	21.9 	24.5 	18.4 	37.9 	31.7 	28.1 
