age,sex,hhtyp,indic_il,workint,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,PL	10.4 	10.9 	10.0 	13.2 	11.6 	17.9 	15.1 	11.7 	13.8 	11.5 	11.2 	16.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,PT	16.1 	15.5 	13.6 	18.4 	18.7 	16.4 	15.0 	12.2 	14.9 	20.1 	15.9 	22.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,RO	: 	11.3 	11.6 	11.4 	12.5 	10.8 	12.5 	15.7 	17.8 	18.4 	19.2 	20.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,RS	: 	: 	: 	: 	: 	: 	: 	15.3 	13.3 	14.0 	8.7 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,SE	10.4 	14.4 	14.2 b	11.3 	13.7 	17.0 	16.2 	18.8 	14.5 	14.4 	10.4 	5.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,SI	8.5 	8.6 	10.3 	9.6 	9.0 	7.7 	10.6 	14.5 	8.8 	11.5 	14.1 	10.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,SK	8.6 	4.7 	6.0 	12.7 	9.2 	7.9 	8.9 	4.6 	15.9 	7.6 	12.9 	16.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,TR	3.0 	3.4 	6.6 	4.0 	3.6 	3.1 	3.8 	3.3 	3.3 	3.8 	: 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI045-055,UK	15.9 	17.7 	16.0 	14.5 	17.5 	14.9 	15.4 b	16.5 	19.0 	16.9 	16.6 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,AT	8.1 	4.6 	9.5 b	11.7 	7.0 	9.1 	11.7 	8.8 	8.8 	7.3 	8.7 	8.1 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,BE	2.8 	2.1 	4.0 	4.4 	4.9 	4.1 	2.2 	3.3 	3.5 	2.3 	2.4 	2.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,BG	1.6 	1.9 	5.5 	5.0 	3.8 	6.7 	4.6 	4.3 	8.2 	9.7 	11.9 b	10.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,CH	: 	6.2 	7.9 	4.9 	5.9 	6.3 	4.6 	4.5 	3.9 b	8.1 	4.3 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,CY	7.1 	7.1 	3.1 b	6.8 	6.3 	5.8 	7.6 	6.5 	5.5 	11.3 	4.9 	4.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,CZ	2.0 	2.4 	1.7 	2.0 	1.6 	2.2 	2.9 	4.1 	3.2 	3.0 	3.8 	5.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,DE	4.1 	11.3 	9.3 	8.4 	7.0 	10.3 	9.7 	11.5 	12.1 	12.0 	12.3 	12.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,DK	6.5 	6.2 	7.3 	8.5 	10.3 	10.5 b	11.3 	6.3 	7.6 	7.8 	9.9 	10.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,EA18	5.2 	7.2 	8.0 	7.1 	6.5 	8.5 	7.9 	8.2 	9.1 	8.8 	8.9 	9.5 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,EA19	5.2 	7.2 	8.0 	7.1 	6.5 	8.5 	7.9 	8.2 	9.0 	8.8 	8.9 	9.5 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,EE	6.8 	6.3 	6.2 	6.7 	6.6 	9.0 	9.0 	8.0 	11.0 b	13.6 	10.2 	10.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,EL	9.4 	11.8 	11.1 	7.0 	7.5 	7.3 	7.1 	9.0 	7.7 	6.7 	9.8 	8.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,ES	5.3 	5.7 	9.3 b	7.3 	6.7 	9.5 	6.8 	5.5 	8.5 	10.0 	7.5 	9.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,EU27	5.7 e	7.8 	7.9 	6.8 	7.1 	8.9 	8.2 	8.0 	9.1 	9.0 	8.8 	9.4 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,EU28	: 	: 	: 	: 	7.0 	8.8 	8.1 	8.0 	9.1 	9.0 	8.8 	9.4 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,FI	6.6 	5.0 	8.2 	3.6 	4.1 	5.4 	4.7 	6.0 	3.9 	4.7 	3.6 	3.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,FR	6.9 	8.7 	10.7 b	7.6 	8.0 	11.8 	9.4 	9.6 	9.8 	5.9 	9.9 	7.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,HR	: 	: 	: 	: 	1.2 	1.7 	0.8 	1.6 	0.9 	2.7 	2.6 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,HU	3.9 	2.5 	4.8 	5.1 	3.8 	4.5 	5.4 	9.8 	6.9 	16.2 	9.7 	12.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,IE	2.4 	1.6 	1.5 	4.2 	2.1 	5.7 	1.9 	2.1 	2.9 	1.4 	2.1 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,IS	10.4 	13.7 	13.2 	15.3 	13.8 	6.5 	4.6 	9.5 	5.8 	10.7 	9.2 p	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,IT	4.1 	4.6 	4.2 	6.6 	5.5 	6.3 	7.9 	8.3 	8.9 	10.3 	7.8 	8.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,LT	6.4 	8.7 	8.0 	8.6 	12.2 	6.6 	7.7 	8.4 	5.3 	11.2 	12.1 	11.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,LU	10.6 	9.5 	7.6 	5.9 	5.1 	9.4 	10.4 	12.9 	7.6 	6.8 	12.6 b	12.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,LV	12.8 	9.8 	11.4 	15.1 	8.3 	10.8 	9.0 	4.6 	6.4 	8.7 	9.5 	10.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,MK	: 	: 	: 	: 	: 	: 	4.9 	3.0 	1.0 	0.9 	3.0 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,MT	0.4 	0.6 	2.3 	1.9 	3.6 	1.6 	1.3 	1.4 	1.0 	1.9 	2.9 	1.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,NL	3.1 	1.8 	5.2 	3.4 	4.9 	4.8 	5.3 	4.7 	6.2 	5.5 	4.2 b	7.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,NO	15.2 	10.5 	12.0 	9.5 	10.3 	11.8 	8.0 	9.0 	9.6 	11.4 	10.9 	26.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,PL	7.0 	6.7 	7.2 	5.8 	7.6 	8.9 	8.9 	5.2 	7.2 	5.8 	5.6 	6.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,PT	8.8 	5.7 	5.4 	6.0 	7.2 	5.8 	5.7 	7.6 	8.6 	9.2 	9.0 	10.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,RO	: 	10.8 	13.5 	9.8 	9.6 	15.5 	17.2 	11.2 	13.4 	10.6 	16.1 	16.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,RS	: 	: 	: 	: 	: 	: 	: 	9.3 	10.9 	8.3 	6.8 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,SE	13.5 	11.7 	7.9 b	9.6 	9.9 	8.7 	11.9 	13.2 	11.7 	11.5 	10.4 	10.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,SI	4.1 	3.6 	2.2 	4.6 	3.2 	5.3 	5.1 	5.8 	4.6 	5.2 	5.9 	6.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,SK	2.1 	4.0 	4.0 	3.8 	1.4 	1.3 	2.3 	1.0 	3.1 	2.8 	2.7 	3.1 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,TR	8.5 	4.1 	7.7 	8.6 	6.2 	5.8 	6.1 	2.9 	4.3 	4.1 	: 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI055-085,UK	6.2 	11.9 	8.4 	5.4 	10.7 	11.2 	7.9 b	8.4 	11.1 	11.7 	9.0 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,AT	3.5 	4.0 	4.7 b	4.5 	5.0 	4.5 	5.3 	4.8 	4.5 	4.3 	5.5 	4.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,BE	2.3 	1.8 	1.6 	2.1 	1.8 	2.1 	2.2 	2.3 	2.6 	2.5 	2.4 	2.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,BG	0.5 	0.5 	1.6 	1.0 	2.0 	1.4 	1.7 	2.0 	2.2 	2.1 	4.9 b	2.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,CH	: 	2.9 	2.7 	1.9 	2.2 	2.5 	3.3 	2.5 	2.9 b	3.4 	2.9 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,CY	8.3 	6.6 	6.6 b	7.4 	8.7 	8.5 	9.0 	9.6 	10.8 	8.7 	9.3 	8.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,CZ	1.0 	1.2 	1.7 	1.2 	1.3 	1.6 	1.9 	1.6 	1.2 	2.0 	2.0 	1.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,DE	4.1 	5.3 	4.2 	3.8 	4.2 	4.7 	5.4 	6.0 	7.5 	6.0 	5.9 	5.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,DK	4.3 	3.5 	5.0 	6.2 	5.9 	6.1 b	4.5 	4.9 	2.7 	3.8 	3.1 	3.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,EA18	3.7 	4.0 	3.7 	4.1 	3.9 	4.3 	4.6 	4.8 	5.7 	5.3 	5.7 	5.3 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,EA19	3.7 	4.0 	3.7 	4.1 	4.0 	4.4 	4.6 	4.7 	5.7 	5.3 	5.7 	5.3 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,EE	5.3 	4.5 	4.1 	3.6 	2.5 	3.9 	4.1 	4.3 	9.0 b	6.0 	7.2 	7.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,EL	7.6 	6.0 	7.2 	7.7 	7.7 	5.3 	5.0 	3.6 	4.4 	5.8 	6.1 	4.4 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,ES	3.6 	3.8 	4.1 b	4.9 	4.6 	5.9 	4.2 	4.9 	7.0 	6.7 	8.0 	7.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,EU27	3.9 e	4.1 	3.9 	4.1 	4.0 	4.3 	4.6 	4.6 	5.2 	5.1 	5.6 	5.4 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,EU28	: 	: 	: 	: 	4.0 	4.3 	4.6 	4.6 	5.2 	5.1 	5.6 	5.4 e
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,FI	2.8 	2.9 	2.7 	2.3 	1.9 	2.6 	2.2 	2.4 	2.2 	1.9 	2.3 	1.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,FR	3.6 	3.4 	2.5 b	3.6 	3.2 	3.5 	4.4 	3.2 	4.2 	5.1 	4.1 	3.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,HR	: 	: 	: 	: 	2.0 	1.8 	1.6 	1.6 	0.7 	1.1 	1.1 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,HU	1.9 	1.8 	1.7 	1.5 	1.3 	2.5 	2.0 	2.4 	2.5 	5.2 	6.4 	7.1 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,IE	2.0 	1.6 	2.1 	3.2 	4.5 	3.1 	2.4 	1.6 	2.1 	1.2 	2.3 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,IS	3.9 	3.6 	4.0 	7.7 	5.3 	6.6 	4.3 	4.2 	3.4 	3.2 	5.0 p	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,IT	3.7 	4.0 	4.4 	5.8 	4.1 	5.0 	5.3 	6.5 	6.2 	6.0 	8.1 	8.5 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,LT	5.5 	3.5 	3.1 	4.4 	6.0 	6.5 	2.6 	3.2 	2.2 	4.8 	3.8 	4.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,LU	4.3 	4.2 	4.5 	5.3 	6.0 	5.2 	4.9 	5.6 	5.2 	7.7 	8.5 b	9.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,LV	5.3 	5.1 	5.7 	6.0 	4.5 	3.7 	3.6 	4.3 	4.0 	5.0 	5.0 	5.2 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,MK	: 	: 	: 	: 	: 	: 	6.2 	1.3 	1.9 	2.6 	2.5 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,MT	0.3 	0.6 	0.5 	1.0 	1.0 	1.2 	0.5 	0.5 	0.4 	1.6 	1.8 	1.6 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,NL	2.1 	1.9 	1.5 	2.2 	3.1 	2.8 	1.9 	1.0 	2.4 	1.3 	2.9 b	2.1 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,NO	5.8 	4.3 	4.1 	4.5 	3.7 	5.8 	5.2 	6.0 	4.3 	4.7 	5.5 	5.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,PL	4.6 	4.8 	4.4 	5.0 	5.7 	4.5 	4.1 	4.2 	5.1 	4.8 	4.9 	5.3 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,PT	3.8 	3.3 	3.4 	2.5 	2.8 	2.9 	4.0 	4.4 	3.2 	3.9 	4.1 	4.8 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,RO	: 	13.5 	11.5 	14.1 	12.5 	12.4 	10.2 	12.1 	11.6 	11.3 	11.0 	9.7 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,RS	: 	: 	: 	: 	: 	: 	: 	9.6 	10.9 	8.4 	8.4 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,SE	6.2 	6.4 	6.5 b	5.8 	5.3 	5.4 	5.5 	5.8 	6.0 	7.7 	5.7 	4.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,SI	3.3 	2.2 	3.1 	2.6 	4.3 	4.2 	5.6 	4.9 	4.5 	5.1 	4.2 	4.9 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,SK	2.3 	1.1 	2.6 	1.9 	2.2 	1.9 	1.6 	1.9 	1.6 	2.6 	2.9 	3.0 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,TR	8.6 	11.3 	11.2 	12.7 	12.6 	8.5 	5.3 	6.9 	4.6 	4.2 	: 	: 
Y_LT60,T,HH_NDCH,LI_R_MD60,WI085-1,UK	2.9 	3.3 	3.3 	2.2 	2.5 	3.0 	4.7 b	3.5 	3.4 	3.5 	4.8 	: 
