na_item,sector,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
B9,S13,MEUR_NSA,AT	-523.8 	363.3 	-2903.9 	-100.2 	650.6 	-3269.0 	-678.2 	-1064.3 	1638.6 	-2485.2 	141.5 	: 
B9,S13,MEUR_NSA,BE	-5809.1 	4453.8 	-9998.0 	1034.4 	-7134.3 	5606.0 	-8019.9 	2658.9 	-5726.3 	6563.6 	-8078.8 	: 
B9,S13,MEUR_NSA,BG	-169.5 	-779.2 	460.2 	472.6 	122.1 	-948.1 	299.5 p	418.5 p	678.3 p	-925.3 p	382.1 p	: 
B9,S13,MEUR_NSA,CH	1164.9 	1107.4 	710.1 	530.5 	413.6 	356.4 	1491.8 	1901.6 	1877.4 	1541.4 	1659.2 	: 
B9,S13,MEUR_NSA,CY	158.2 	-389.7 	158.9 	-167.7 	208.6 	-140.9 	166.3 	-90.3 	398.1 	-130.5 	297.3 	: 
B9,S13,MEUR_NSA,CZ	337.5 	-1150.2 	-105.1 	1116.5 	957.0 	-687.2 	119.5 	1586.5 	1283.8 	70.4 	340.2 	: 
B9,S13,MEUR_NSA,DE	5289.0 	4543.0 	3122.0 	17501.0 	-1385.0 	12626.0 	8889.0 	13275.0 	6413.0 	9622.0 	18342.0 	: 
B9,S13,MEUR_NSA,DK	-771.6 	-69.4 	-1385.2 	420.5 	-877.3 	711.3 	409.3 	1273.2 	451.6 	1045.8 	-852.4 	: 
B9,S13,MEUR_NSA,EA18	-43163.3 	-38654.3 	-84242.7 	-24808.9 	-42685.2 	-16886.4 	-59965.7 	-22325.3 	-19475.7 	-6426.6 	-38695.3 	10450.0 
B9,S13,MEUR_NSA,EA19	-43020.3 	-38851.1 	-84447.3 	-24432.0 	-42560.0 	-17081.6 	-59972.8 	-21947.8 	-19274.7 	-6791.8 	-38743.3 	10965.6 
B9,S13,MEUR_NSA,EE	95.0 	5.5 	-56.7 	82.0 	18.6 	-115.2 	-86.0 	22.0 	18.5 	-45.0 	-143.1 	113.5 
B9,S13,MEUR_NSA,EL	-867.0 	-3950.0 	-1873.0 	181.0 	2610.0 	176.0 	-1003.0 	227.0 	2579.0 	-349.0 	-422.0 	: 
B9,S13,MEUR_NSA,ES	-1671.0 	-21913.0 	-8695.0 	-25824.0 	2348.0 	-18230.0 	-5381.0 	-20320.0 	7645.0 	-18177.0 	-3980.0 	: 
B9,S13,MEUR_NSA,EU27	-73989.5 	-93459.1 	-86158.0 	-46559.2 	-60652.1 	-55417.6 	-45881.3 	-41026.2 	-28399.6 	-35082.6 	-31685.1 	1345.5 
B9,S13,MEUR_NSA,EU28	-73833.6 	-93756.7 	-86846.7 	-46435.0 	-60252.6 	-55677.4 	-46050.2 	-41182.8 	-27854.3 	-34879.1 	-31901.3 	1717.7 
B9,S13,MEUR_NSA,FI	-1101.0 	-4758.0 	-659.0 	1509.0 	-523.0 	-4113.0 	-155.0 	2642.0 	-952.0 	-2814.0 	265.0 	: 
B9,S13,MEUR_NSA,FR	-21351.0 	542.0 	-38924.0 	-11156.0 	-23117.0 	-2743.0 	-36023.0 	-6898.0 	-19729.0 	3155.0 	-36383.0 	: 
B9,S13,MEUR_NSA,HR	155.9 p	-297.6 p	-688.7 p	124.2 p	399.4 p	-259.8 p	-216.9 p	-132.3 p	533.7 p	184.9 p	-216.2 p	: 
B9,S13,MEUR_NSA,HU	-400.7 	-411.3 	357.4 	-28.9 	294.5 	-2516.6 	935.4 	-257.7 	-1219.8 	-2197.5 	-116.8 	69.8 
B9,S13,MEUR_NSA,IE	-1318.0 	-893.7 	-1796.4 	367.7 	-1508.3 	1522.5 	-1266.7 	-125.4 	-1812.5 	2169.5 	-1516.0 	: 
B9,S13,MEUR_NSA,IS	-61.6 	116.2 	2634.8 	89.0 	86.2 	-725.9 	71.0 	76.4 	21.2 	152.1 	77.5 	: 
B9,S13,MEUR_NSA,IT	-8622.2 	-8786.8 	-20910.2 	-2543.3 	-9670.5 	-8514.0 	-16559.2 	-8177.7 	-7933.7 	-7020.4 	-14775.0 	: 
B9,S13,MEUR_NSA,LT	143.7 	-191.6 	-204.7 	376.9 	125.9 	-195.1 	-7.1 	377.5 	201.7 	-350.9 	-48.0 	: 
B9,S13,MEUR_NSA,LU	26.9 	283.3 	-222.7 	617.7 	114.3 	359.8 	-315.2 	743.7 	239.6 	95.6 	-253.3 	825.6 
B9,S13,MEUR_NSA,LV	0.3 	-407.4 	164.0 	142.8 	147.8 	-439.0 	78.2 	284.8 	102.2 	-596.3 	259.7 	: 
B9,S13,MEUR_NSA,MT	-13.0 	102.5 	-73.6 	15.0 	30.6 	129.0 	38.4 	24.4 	169.5 	204.3 	-26.0 	: 
B9,S13,MEUR_NSA,NL	-5872.0 	-1628.0 	1725.0 	-1769.0 	-2140.0 	2332.0 	6867.0 	-1252.0 	-531.0 	3875.0 	9949.0 	: 
B9,S13,MEUR_NSA,NO	3910.2 	2840.5 	5342.6 	6011.2 	709.0 	1217.5 	5073.0 	6674.7 	1959.0 	1926.5 	4946.6 	: 
