statinfo,geo,unit\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
SME,EU_V,I00	125.44 	118.51 	112.92 	108.38 	104.85 	102.18 	100.15 	99.22 	99.32 	99.46 	100.00 	101.02 	100.99 	99.02 	96.89 	94.73 	92.62 	91.61 	90.89 	90.02 	88.92 	87.84 	86.73 	85.54 	84.31 	83.04 
SME,EU_V,I90	100.00 	94.48 	90.02 	86.40 	83.59 	81.46 	79.84 	79.10 	79.18 	79.29 	79.72 	80.53 	80.51 	78.94 	77.24 	75.52 	73.84 	73.03 	72.46 	71.76 	70.89 	70.03 	69.14 	68.19 	67.21 	66.20 
