Country,id,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,NETD,1000 persons,2132.774,2163.925,2197.152,2224.149,2269.836,2311.37,2323,2322,2340,2382,2411,2410,2457,2485,2468,2444,2486,2480,2501,2530,2515,2476,2487,2489,2525,2583,2647,2667,2654,2645,2634,2609,2587,2545,2596,2612,2638,2674,2712,2735,2755,2782,2784,2759,2744,2783,2846,2912,2947,2854,2788,2787,2767,2766,2791,2831,2875,2921,2956.168,2982.215
Germany,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38790,38283,37786,37798,37958,37969,37947,38407,39031,39917,39809,39630,39200,39337,39326,39635,40325,40856,40892,41020,41577,42061,42319,42672,43069,43638,44291,44730.637,45036.77
West Germany,NETD,1000 persons,26091.457,26454.854,26546.954,26610.023,26633.048,26784.213,26702.123,25832.175,25854.199,26256.638,26589,26710,26857,27181,26924,26248,26139,26198,26457,26968,27420,27453,27241,26993,27226,27608,28138,28531,28937,29480,30409,31261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830.8,807.2,759.1,698.8,675.4,633.6,618.7,619,607.4,580.3,585.3,588.6,588.5,601.1,598.7,612.3,642.2,643.4,642.1,576.6,548.1,584,593.5,600.9,605.5,622.9,624.7,637.748,641.617,643.689
Ireland,NETD,1000 persons,1133.805,1131.655,1139.178,1145.626,1151,1148.851,1145.626,1139.178,1142.402,1145.626,1131.655,1127.357,1130.581,1146.701,1162.822,1153.149,1143.477,1163.896,1192.913,1230.527,1242.349,1231.602,1231.602,1207.959,1185.39,1154.117,1161.639,1171.849,1171.634,1168.84,1218.706,1214.697,1218.933,1237.285,1275.63,1327.44,1376.42,1430.21,1524.4,1623.05,1695.8,1748.58,1776.08,1809.05,1870.43,1962.3,2053,2142.74,2129.25,1962.3,1882.73,1872.44,1861.51,1908.27,1940.41,1989.41,2045.45,2084.17,2130.022,2168.362
Greece,NETD,1000 persons,3662.304,3676.913,3640.122,3589.156,3542.518,3517.738,3486.033,3444.265,3402.93,3392.65,3389.295,3399.467,3416.456,3450.649,3454.112,3457.575,3499.018,3527.044,3541.111,3580.066,3630.167,3818.99,3777.871,3796.483,3787.718,3883.049,3896.359,3892.68,3957.604,3972.213,4024.261,3953.438,4010.373,4043.655,4119.271,4156.34,4132.66,4116.42,4297.27,4298.69,4312.79,4328.38,4434.29,4495.68,4604.09,4646.87,4731.34,4795.07,4856.36,4829,4705.48,4381.82,4105.22,3997.71,4034.84,4064.04,4083.03,4170.49,4242.639,4319.007
Spain,NETD,1000 persons,12674.98,12700.878,12808.787,12874.611,12941.372,13005.656,13068.541,13173.635,13284.437,13397.607,13486.334,13556.864,13598.32,13868.809,13965.936,13738.626,13591.752,13497.339,13262.645,13038.668,12642.047,12339.287,12233.126,12190.825,11918.204,11795.851,12069.288,12647.536,13090.688,13565.072,14080.715,14249.767,14050.984,13652.235,13588.028,13844.6,14044.9,14570.1,15208.8,15900.9,16691,17247.8,17692.9,18281.8,18970.1,19784,20609.2,21284.9,21324.1,19986.8,19639.5,19112.5,18342.64,17861.89,18039.15,18521.34,18987.37,19478.76,19944.032,20360.843
France,NETD,1000 persons,20164,20156,20132,20273,20486,20549,20710,20770,20720,21032,21315,21415,21547,21846,22048,21885,22070,22270,22407,22560,22665,22644,22703,22680,22566,22520,22630,22833,23056,23458,23671,23730,23585,23345,23468,23706,23844,24032,24456,25051,25683,26042,26162,26161,26193,26374,26664,27039,27166,26859,26888,27099,27185,27252,27373,27434,27612,27901,28128.684,28388.644
Croatia,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1567.9,1567.61,1569.93,1566.17,1566.73,1565.01,1554.89,1568.4,1607.38,1620.92,1637.54,1689.26,1742.67,1779.87,1766.55,1699.97,1634.51,1575.51,1533.99,1575,1594.59,1599.19,1634.4,1661.42,1687.113
Italy,NETD,1000 persons,20929.393,20971.508,20750.326,20427.476,20336.617,19991.23,19673.886,19907.509,19873.858,19964.207,19995.105,20001.425,19949.76,20232.26,20546.562,20562.312,20770.375,20834.178,20903.298,21135.739,21441.313,21423.957,21467.797,21537.017,21535.814,21739.663,21889.24,21939.199,22174.649,22326.031,22681.765,23106.217,22938.583,22322.414,21955.141,21911,22044.2,22113.8,22336.4,22581,23021.3,23473.3,23867.4,24217.9,24364.6,24501.3,24983.8,25294.9,25349.2,24925.5,24765.7,24842.7,24764.8,24322.8,24339.4,24497.9,24821.7,25105.5,25359.641,25500.13
Cyprus,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.94,297.5,299.33,304.02,309.64,314.76,321.57,328.3,340.1,353.61,366.46,373.25,389.77,403.51,403.64,405.58,405.68,392.75,369.49,362.95,368.37,380.52,393.35,404.211,415.457
Latvia,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350.607,1339.197,1240.829,1155.307,1038.338,930.19,935.36,976.99,973.38,955.92,923.69,938.7,952.32,958.28,960.62,969.15,1024.95,1064.07,1055.07,903.72,843.51,856.22,868.63,888.63,876.63,889,886.3,891.62,895.023,896.607
Lithuania,NETD,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1671.871,1712.389,1674.127,1604.643,1511.515,1483.18,1497.03,1506.15,1494.4,1461.49,1399.19,1345.99,1394.68,1425.71,1410.1,1420.72,1416.26,1445.14,1426.09,1316.51,1246.77,1252.7,1274.9,1291.89,1317.81,1334.73,1361.21,1354.11,1349.066,1344.226
Luxembourg,NETD,1000 persons,133.111,134.523,134.926,134.422,136.741,137.952,138.657,137.145,136.641,138.557,141.38,145.918,149.851,152.674,156.91,158.826,158.624,158.523,157.616,158.422,159.532,160.036,159.633,159.128,160.036,161.549,165.359,169.872,174.986,181.003,188.624,196.145,201.56,205.17,210.685,216.1,221.72,229.24,239.29,250.76,264.05,279.13,287.2,292.5,299.39,307.69,319.48,333.55,349.46,353.12,359.56,370.16,379.14,386.07,395.95,406.11,418.44,432.36,447.957,461.796
