unit,direct,na_item,sector,geotime,date,value
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2005-01-01,99
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2006-01-01,101
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2007-01-01,101
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2008-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2009-01-01,97
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2010-01-01,97
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2011-01-01,95
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2012-01-01,97
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2013-01-01,95
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2014-01-01,95
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2015-01-01,97
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2016-01-01,95
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,AT,2017-01-01,93
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2005-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2006-01-01,101
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2007-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2008-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2009-01-01,99
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2010-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2011-01-01,98
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2012-01-01,98
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2013-01-01,99
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2014-01-01,101
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2015-01-01,102
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2016-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BE,2017-01-01,
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2005-01-01,90
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2006-01-01,94
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2007-01-01,93
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2008-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2009-01-01,96
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2010-01-01,99
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2011-01-01,103
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2012-01-01,101
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2013-01-01,109
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2014-01-01,114
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2015-01-01,124
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2016-01-01,133
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,BG,2017-01-01,
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2005-01-01,90
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2006-01-01,94
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2007-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2008-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2009-01-01,99
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2010-01-01,97
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2011-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2012-01-01,105
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2013-01-01,109
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2014-01-01,111
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2015-01-01,113
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2016-01-01,114
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CH,2017-01-01,
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2005-01-01,93
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2006-01-01,95
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2007-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2008-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2009-01-01,92
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2010-01-01,89
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2011-01-01,85
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2012-01-01,80
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2013-01-01,78
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2014-01-01,74
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2015-01-01,79
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2016-01-01,83
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CY,2017-01-01,
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2005-01-01,96
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2006-01-01,99
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2007-01-01,102
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2008-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2009-01-01,101
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2010-01-01,102
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2011-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2012-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2013-01-01,102
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2014-01-01,107
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2015-01-01,112
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2016-01-01,111
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,CZ,2017-01-01,112
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2005-01-01,97
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2006-01-01,98
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2007-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2008-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2009-01-01,98
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2010-01-01,100
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2011-01-01,102
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2012-01-01,104
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2013-01-01,104
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2014-01-01,106
PPS_HAB,PAID,B7G_R_HAB_2008,S14_S15,DE,2015-01-01,109
