unit,sector,na_item,geo\time,date,value
MIO_EUR,S13,GD,DK,2000-01-01,93084.0
MIO_EUR,S13,GD,DK,2001-01-01,89464.7
MIO_EUR,S13,GD,DK,2002-01-01,93174.5
MIO_EUR,S13,GD,DK,2003-01-01,89061.4
MIO_EUR,S13,GD,DK,2004-01-01,89394.7
MIO_EUR,S13,GD,DK,2005-01-01,79532.5
MIO_EUR,S13,GD,DK,2006-01-01,71183.3
MIO_EUR,S13,GD,DK,2007-01-01,63755.0
MIO_EUR,S13,GD,DK,2008-01-01,80547.5
MIO_EUR,S13,GD,DK,2009-01-01,92986.6
MIO_EUR,S13,GD,DK,2010-01-01,103472.9
MIO_EUR,S13,GD,DK,2011-01-01,114452.4
MIO_EUR,S13,GD,DK,2012-01-01,114025.7
MIO_EUR,S13,GD,DK,2013-01-01,113943.4
MIO_EUR,S13,GD,DK,2014-01-01,117801.4
MIO_EUR,S13,GD,DK,2015-01-01,108496.2
MIO_EUR,S13,GD,DK,2016-01-01,105325.1
MIO_EUR,S13,GD,DK,2017-01-01,104106.2
MIO_EUR,S13,GD,EA18,2000-01-01,4788853.0
MIO_EUR,S13,GD,EA18,2001-01-01,4932792.5
MIO_EUR,S13,GD,EA18,2002-01-01,5093737.0
MIO_EUR,S13,GD,EA18,2003-01-01,5336051.8
MIO_EUR,S13,GD,EA18,2004-01-01,5590377.6
MIO_EUR,S13,GD,EA18,2005-01-01,5857058.9
MIO_EUR,S13,GD,EA18,2006-01-01,5999244.4
MIO_EUR,S13,GD,EA18,2007-01-01,6108609.3
MIO_EUR,S13,GD,EA18,2008-01-01,6621761.1
MIO_EUR,S13,GD,EA18,2009-01-01,7356098.5
MIO_EUR,S13,GD,EA18,2010-01-01,8068646.4
MIO_EUR,S13,GD,EA18,2011-01-01,8483658.1
MIO_EUR,S13,GD,EA18,2012-01-01,8815140.3
MIO_EUR,S13,GD,EA18,2013-01-01,9090316.8
MIO_EUR,S13,GD,EA18,2014-01-01,9325155.3
MIO_EUR,S13,GD,EA18,2015-01-01,9451538.4
MIO_EUR,S13,GD,EA18,2016-01-01,9627753.8
MIO_EUR,S13,GD,EA18,2017-01-01,9714906.9
MIO_EUR,S13,GD,EA19,2000-01-01,4791765.1
MIO_EUR,S13,GD,EA19,2001-01-01,4935977.7
MIO_EUR,S13,GD,EA19,2002-01-01,5097102.7
MIO_EUR,S13,GD,EA19,2003-01-01,5339446.9
MIO_EUR,S13,GD,EA19,2004-01-01,5593782.1
MIO_EUR,S13,GD,EA19,2005-01-01,5860760.8
MIO_EUR,S13,GD,EA19,2006-01-01,6003396.3
MIO_EUR,S13,GD,EA19,2007-01-01,6113219.0
MIO_EUR,S13,GD,EA19,2008-01-01,6626523.2
MIO_EUR,S13,GD,EA19,2009-01-01,7363627.0
MIO_EUR,S13,GD,EA19,2010-01-01,8078796.8
MIO_EUR,S13,GD,EA19,2011-01-01,8495287.3
MIO_EUR,S13,GD,EA19,2012-01-01,8828404.4
MIO_EUR,S13,GD,EA19,2013-01-01,9103867.4
MIO_EUR,S13,GD,EA19,2014-01-01,9339982.4
MIO_EUR,S13,GD,EA19,2015-01-01,9467477.9
MIO_EUR,S13,GD,EA19,2016-01-01,9643269.2
MIO_EUR,S13,GD,EA19,2017-01-01,9731521.0
MIO_EUR,S13,GD,EE,2000-01-01,315.6
MIO_EUR,S13,GD,EE,2001-01-01,333.4
MIO_EUR,S13,GD,EE,2002-01-01,442.9
MIO_EUR,S13,GD,EE,2003-01-01,489.7
MIO_EUR,S13,GD,EE,2004-01-01,491.4
MIO_EUR,S13,GD,EE,2005-01-01,512.3
MIO_EUR,S13,GD,EE,2006-01-01,595.5
MIO_EUR,S13,GD,EE,2007-01-01,595.2
