currency,bop_item,sector10,sectpart,stk_flow,partner,geotime,date,value
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2015-01-01,4383
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2016-01-01,1203
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1999-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2000-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2001-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2002-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2003-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2004-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2005-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2006-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2007-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2008-01-01,1537
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2009-01-01,1393
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2010-01-01,2484
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2011-01-01,3006
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2012-01-01,1994
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2015-01-01,8416
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2016-01-01,1803
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1995-01-01,67020
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1996-01-01,34625
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1997-01-01,40451
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1998-01-01,115865
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1999-01-01,215703
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2000-01-01,190768
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2001-01-01,208297
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2002-01-01,270931
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2003-01-01,53501
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2004-01-01,101776
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2005-01-01,279632
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2006-01-01,90261
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2007-01-01,179064
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2008-01-01,36327
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2009-01-01,37694
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2010-01-01,94992
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2011-01-01,46805
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2012-01-01,121260
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2015-01-01,49747
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2016-01-01,186549
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1995-01-01,20286
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1996-01-01,34531
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1997-01-01,27039
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1998-01-01,58853
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1999-01-01,49943
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2000-01-01,153251
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2001-01-01,15071
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2002-01-01,36741
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2003-01-01,23754
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2004-01-01,24567
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2005-01-01,21787
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2006-01-01,48647
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2007-01-01,65106
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2008-01-01,43267
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2009-01-01,32202
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2010-01-01,45158
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2011-01-01,7492
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2012-01-01,26449
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2015-01-01,67536
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2016-01-01,31170
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1999-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2000-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2001-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2002-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2003-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2004-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2005-01-01,24399
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2006-01-01,33365
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2007-01-01,33070
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2008-01-01,80298
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2009-01-01,15059
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2010-01-01,62538
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2011-01-01,962
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2012-01-01,30906
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2015-01-01,35642
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2016-01-01,68525
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,1999-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2000-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2001-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2002-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2003-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2004-01-01,554
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2005-01-01,1718
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2006-01-01,252
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2007-01-01,458
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2008-01-01,470
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2009-01-01,333
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2010-01-01,1012
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2011-01-01,1769
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2012-01-01,397
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2015-01-01,132
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2016-01-01,503
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EE,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,1999-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2000-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2001-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2002-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2003-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2004-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2005-01-01,679
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2006-01-01,1046
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2007-01-01,2290
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2008-01-01,1421
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2009-01-01,273
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2010-01-01,927
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2011-01-01,453
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2012-01-01,827
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2015-01-01,279
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2016-01-01,4003
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,EL,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,1995-01-01,2552
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,1996-01-01,1953
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,1997-01-01,4833
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,1998-01-01,5390
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,1999-01-01,24070
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2000-01-01,20235
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2001-01-01,5250
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2002-01-01,6911
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2003-01-01,2567
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2004-01-01,28951
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2005-01-01,13511
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2006-01-01,58546
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2007-01-01,53193
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2008-01-01,1530
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2009-01-01,1945
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2010-01-01,1464
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2011-01-01,9226
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2012-01-01,21121
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2015-01-01,25563
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2016-01-01,14431
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,ES,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,1999-01-01,1881
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2000-01-01,16494
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2001-01-01,5184
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2002-01-01,717
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2003-01-01,4960
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2004-01-01,3145
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2005-01-01,424
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2006-01-01,2269
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2007-01-01,3834
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2008-01-01,7127
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2009-01-01,3572
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2010-01-01,2120
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2011-01-01,1770
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2012-01-01,2638
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2015-01-01,16292
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2016-01-01,12390
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FI,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,1999-01-01,75381
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2000-01-01,145934
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2001-01-01,41209
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2002-01-01,1898
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2003-01-01,9378
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2004-01-01,20569
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2005-01-01,28007
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2006-01-01,41007
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2007-01-01,34445
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2008-01-01,44843
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2009-01-01,50484
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2010-01-01,25870
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2011-01-01,14225
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2012-01-01,15083
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2015-01-01,7078
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2016-01-01,25374
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,FR,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,1999-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2000-01-01,8228
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2001-01-01,7220
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2002-01-01,3047
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2003-01-01,11160
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2004-01-01,5580
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2005-01-01,9236
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2006-01-01,17706
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2007-01-01,23186
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2008-01-01,19120
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2009-01-01,9443
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2010-01-01,5969
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2011-01-01,8343
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,HR,2012-01-01,9326
