currency,bop_item,sector10,sectpart,partner,stk_flow,geo\time,date,value
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2007-01-01,2513.9 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2008-01-01,3796.3
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2009-01-01,3982.7
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2010-01-01,5469.5
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2011-01-01,6168.9
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2012-01-01,6658.8
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2013-01-01,6991.7
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2014-01-01,7845.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2015-01-01,8072.5
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2016-01-01,9655.4
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,BG,2017-01-01,10796.2
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,1995-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,1996-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,1997-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,1998-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,1999-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2000-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2001-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2002-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2003-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2004-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2005-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2006-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2007-01-01,: 
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2008-01-01,124163.0
MIO_NAC,FA__D__F,S1,S1,WRL_REST,A_LE,CY,2009-01-01,122708.0
