hhtyp,incgrp,unit,sex,age,geotime,date,value
TOTAL,A_MD60,PC,T,TOTAL,EA19,2013-01-01,14.8
TOTAL,A_MD60,PC,T,TOTAL,EA19,2014-01-01,14.8
TOTAL,A_MD60,PC,T,TOTAL,EA19,2015-01-01,14.3
TOTAL,A_MD60,PC,T,TOTAL,EA19,2016-01-01,14.0
TOTAL,A_MD60,PC,T,TOTAL,EA19,2017-01-01,11.8
TOTAL,A_MD60,PC,T,TOTAL,EE,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EE,2004-01-01,27.3
TOTAL,A_MD60,PC,T,TOTAL,EE,2005-01-01,21.9
TOTAL,A_MD60,PC,T,TOTAL,EE,2006-01-01,20.6
TOTAL,A_MD60,PC,T,TOTAL,EE,2007-01-01,17.7
TOTAL,A_MD60,PC,T,TOTAL,EE,2008-01-01,14.0
TOTAL,A_MD60,PC,T,TOTAL,EE,2009-01-01,17.4
TOTAL,A_MD60,PC,T,TOTAL,EE,2010-01-01,16.9
TOTAL,A_MD60,PC,T,TOTAL,EE,2011-01-01,17.2
TOTAL,A_MD60,PC,T,TOTAL,EE,2012-01-01,17.1
TOTAL,A_MD60,PC,T,TOTAL,EE,2013-01-01,15.8
TOTAL,A_MD60,PC,T,TOTAL,EE,2014-01-01,13.8
TOTAL,A_MD60,PC,T,TOTAL,EE,2015-01-01,11.0
TOTAL,A_MD60,PC,T,TOTAL,EE,2016-01-01,11.8
TOTAL,A_MD60,PC,T,TOTAL,EE,2017-01-01,12.1
TOTAL,A_MD60,PC,T,TOTAL,EL,2003-01-01,18.6
TOTAL,A_MD60,PC,T,TOTAL,EL,2004-01-01,17.1
TOTAL,A_MD60,PC,T,TOTAL,EL,2005-01-01,18.9
TOTAL,A_MD60,PC,T,TOTAL,EL,2006-01-01,18.3
TOTAL,A_MD60,PC,T,TOTAL,EL,2007-01-01,17.6
TOTAL,A_MD60,PC,T,TOTAL,EL,2008-01-01,16.5
TOTAL,A_MD60,PC,T,TOTAL,EL,2009-01-01,15.2
TOTAL,A_MD60,PC,T,TOTAL,EL,2010-01-01,14.8
TOTAL,A_MD60,PC,T,TOTAL,EL,2011-01-01,13.6
TOTAL,A_MD60,PC,T,TOTAL,EL,2012-01-01,12.8
TOTAL,A_MD60,PC,T,TOTAL,EL,2013-01-01,12.0
TOTAL,A_MD60,PC,T,TOTAL,EL,2014-01-01,12.6
TOTAL,A_MD60,PC,T,TOTAL,EL,2015-01-01,13.6
TOTAL,A_MD60,PC,T,TOTAL,EL,2016-01-01,13.2
TOTAL,A_MD60,PC,T,TOTAL,EL,2017-01-01,12.0
TOTAL,A_MD60,PC,T,TOTAL,ES,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,ES,2004-01-01,19.0
TOTAL,A_MD60,PC,T,TOTAL,ES,2005-01-01,16.5
TOTAL,A_MD60,PC,T,TOTAL,ES,2006-01-01,16.6
TOTAL,A_MD60,PC,T,TOTAL,ES,2007-01-01,16.7
TOTAL,A_MD60,PC,T,TOTAL,ES,2008-01-01,15.0
TOTAL,A_MD60,PC,T,TOTAL,ES,2009-01-01,16.5
TOTAL,A_MD60,PC,T,TOTAL,ES,2010-01-01,19.6
TOTAL,A_MD60,PC,T,TOTAL,ES,2011-01-01,13.8
TOTAL,A_MD60,PC,T,TOTAL,ES,2012-01-01,10.5
TOTAL,A_MD60,PC,T,TOTAL,ES,2013-01-01,15.5
TOTAL,A_MD60,PC,T,TOTAL,ES,2014-01-01,14.7
TOTAL,A_MD60,PC,T,TOTAL,ES,2015-01-01,13.4
TOTAL,A_MD60,PC,T,TOTAL,ES,2016-01-01,12.8
TOTAL,A_MD60,PC,T,TOTAL,ES,2017-01-01,9.9
TOTAL,A_MD60,PC,T,TOTAL,EU,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU,2005-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU,2006-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU,2007-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU,2008-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU,2009-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU,2010-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU,2011-01-01,13.7
TOTAL,A_MD60,PC,T,TOTAL,EU,2012-01-01,13.4
TOTAL,A_MD60,PC,T,TOTAL,EU,2013-01-01,14.1
TOTAL,A_MD60,PC,T,TOTAL,EU,2014-01-01,13.9
TOTAL,A_MD60,PC,T,TOTAL,EU,2015-01-01,13.4
TOTAL,A_MD60,PC,T,TOTAL,EU,2016-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU,2017-01-01,11.5
TOTAL,A_MD60,PC,T,TOTAL,EU27,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU27,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU27,2005-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU27,2006-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU27,2007-01-01,16.0
TOTAL,A_MD60,PC,T,TOTAL,EU27,2008-01-01,15.1
TOTAL,A_MD60,PC,T,TOTAL,EU27,2009-01-01,14.1
TOTAL,A_MD60,PC,T,TOTAL,EU27,2010-01-01,14.2
TOTAL,A_MD60,PC,T,TOTAL,EU27,2011-01-01,13.7
TOTAL,A_MD60,PC,T,TOTAL,EU27,2012-01-01,13.4
TOTAL,A_MD60,PC,T,TOTAL,EU27,2013-01-01,14.1
TOTAL,A_MD60,PC,T,TOTAL,EU27,2014-01-01,13.9
TOTAL,A_MD60,PC,T,TOTAL,EU27,2015-01-01,13.4
TOTAL,A_MD60,PC,T,TOTAL,EU27,2016-01-01,13.5
TOTAL,A_MD60,PC,T,TOTAL,EU27,2017-01-01,11.5
TOTAL,A_MD60,PC,T,TOTAL,EU28,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU28,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU28,2005-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU28,2006-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU28,2007-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU28,2008-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU28,2009-01-01,
TOTAL,A_MD60,PC,T,TOTAL,EU28,2010-01-01,14.2
TOTAL,A_MD60,PC,T,TOTAL,EU28,2011-01-01,13.7
TOTAL,A_MD60,PC,T,TOTAL,EU28,2012-01-01,13.4
TOTAL,A_MD60,PC,T,TOTAL,EU28,2013-01-01,14.1
TOTAL,A_MD60,PC,T,TOTAL,EU28,2014-01-01,13.9
TOTAL,A_MD60,PC,T,TOTAL,EU28,2015-01-01,13.4
TOTAL,A_MD60,PC,T,TOTAL,EU28,2016-01-01,13.5
TOTAL,A_MD60,PC,T,TOTAL,EU28,2017-01-01,11.5
TOTAL,A_MD60,PC,T,TOTAL,FI,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,FI,2004-01-01,4.3
TOTAL,A_MD60,PC,T,TOTAL,FI,2005-01-01,4.5
TOTAL,A_MD60,PC,T,TOTAL,FI,2006-01-01,4.0
TOTAL,A_MD60,PC,T,TOTAL,FI,2007-01-01,4.5
TOTAL,A_MD60,PC,T,TOTAL,FI,2008-01-01,4.1
TOTAL,A_MD60,PC,T,TOTAL,FI,2009-01-01,4.7
TOTAL,A_MD60,PC,T,TOTAL,FI,2010-01-01,4.4
TOTAL,A_MD60,PC,T,TOTAL,FI,2011-01-01,5.2
TOTAL,A_MD60,PC,T,TOTAL,FI,2012-01-01,5.7
TOTAL,A_MD60,PC,T,TOTAL,FI,2013-01-01,5.0
TOTAL,A_MD60,PC,T,TOTAL,FI,2014-01-01,4.7
TOTAL,A_MD60,PC,T,TOTAL,FI,2015-01-01,4.1
TOTAL,A_MD60,PC,T,TOTAL,FI,2016-01-01,4.4
TOTAL,A_MD60,PC,T,TOTAL,FI,2017-01-01,3.6
TOTAL,A_MD60,PC,T,TOTAL,FR,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,FR,2004-01-01,13.9
TOTAL,A_MD60,PC,T,TOTAL,FR,2005-01-01,11.0
TOTAL,A_MD60,PC,T,TOTAL,FR,2006-01-01,10.9
TOTAL,A_MD60,PC,T,TOTAL,FR,2007-01-01,12.5
TOTAL,A_MD60,PC,T,TOTAL,FR,2008-01-01,11.4
TOTAL,A_MD60,PC,T,TOTAL,FR,2009-01-01,11.1
TOTAL,A_MD60,PC,T,TOTAL,FR,2010-01-01,11.3
TOTAL,A_MD60,PC,T,TOTAL,FR,2011-01-01,9.5
TOTAL,A_MD60,PC,T,TOTAL,FR,2012-01-01,11.2
TOTAL,A_MD60,PC,T,TOTAL,FR,2013-01-01,11.2
TOTAL,A_MD60,PC,T,TOTAL,FR,2014-01-01,11.6
TOTAL,A_MD60,PC,T,TOTAL,FR,2015-01-01,10.9
TOTAL,A_MD60,PC,T,TOTAL,FR,2016-01-01,12.2
