hhtyp,incgrp,unit,sex,age,geotime,date,value
TOTAL,A_MD60,PC,T,TOTAL,LV,2006-01-01,28.8
TOTAL,A_MD60,PC,T,TOTAL,LV,2007-01-01,22.5
TOTAL,A_MD60,PC,T,TOTAL,LV,2008-01-01,20.6
TOTAL,A_MD60,PC,T,TOTAL,LV,2009-01-01,21.6
TOTAL,A_MD60,PC,T,TOTAL,LV,2010-01-01,21.4
TOTAL,A_MD60,PC,T,TOTAL,LV,2011-01-01,22.6
TOTAL,A_MD60,PC,T,TOTAL,LV,2012-01-01,24.6
TOTAL,A_MD60,PC,T,TOTAL,LV,2013-01-01,23.8
TOTAL,A_MD60,PC,T,TOTAL,LV,2014-01-01,24.3
TOTAL,A_MD60,PC,T,TOTAL,LV,2015-01-01,20.3
TOTAL,A_MD60,PC,T,TOTAL,LV,2016-01-01,17.6
TOTAL,A_MD60,PC,T,TOTAL,LV,2017-01-01,19.2
TOTAL,A_MD60,PC,T,TOTAL,MK,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MK,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MK,2005-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MK,2006-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MK,2007-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MK,2008-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MK,2009-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MK,2010-01-01,20.0
TOTAL,A_MD60,PC,T,TOTAL,MK,2011-01-01,13.6
TOTAL,A_MD60,PC,T,TOTAL,MK,2012-01-01,11.9
TOTAL,A_MD60,PC,T,TOTAL,MK,2013-01-01,10.7
TOTAL,A_MD60,PC,T,TOTAL,MK,2014-01-01,11.6
TOTAL,A_MD60,PC,T,TOTAL,MK,2015-01-01,9.8
TOTAL,A_MD60,PC,T,TOTAL,MK,2016-01-01,10.4
TOTAL,A_MD60,PC,T,TOTAL,MK,2017-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MT,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MT,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,MT,2005-01-01,7.2
TOTAL,A_MD60,PC,T,TOTAL,MT,2006-01-01,7.3
TOTAL,A_MD60,PC,T,TOTAL,MT,2007-01-01,5.1
TOTAL,A_MD60,PC,T,TOTAL,MT,2008-01-01,6.7
TOTAL,A_MD60,PC,T,TOTAL,MT,2009-01-01,9.3
TOTAL,A_MD60,PC,T,TOTAL,MT,2010-01-01,11.5
TOTAL,A_MD60,PC,T,TOTAL,MT,2011-01-01,10.0
TOTAL,A_MD60,PC,T,TOTAL,MT,2012-01-01,10.5
TOTAL,A_MD60,PC,T,TOTAL,MT,2013-01-01,11.9
TOTAL,A_MD60,PC,T,TOTAL,MT,2014-01-01,10.4
TOTAL,A_MD60,PC,T,TOTAL,MT,2015-01-01,9.7
TOTAL,A_MD60,PC,T,TOTAL,MT,2016-01-01,7.7
TOTAL,A_MD60,PC,T,TOTAL,MT,2017-01-01,7.1
TOTAL,A_MD60,PC,T,TOTAL,NL,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,NL,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,NL,2005-01-01,17.0
TOTAL,A_MD60,PC,T,TOTAL,NL,2006-01-01,15.9
TOTAL,A_MD60,PC,T,TOTAL,NL,2007-01-01,17.1
TOTAL,A_MD60,PC,T,TOTAL,NL,2008-01-01,14.3
TOTAL,A_MD60,PC,T,TOTAL,NL,2009-01-01,12.9
TOTAL,A_MD60,PC,T,TOTAL,NL,2010-01-01,14.1
TOTAL,A_MD60,PC,T,TOTAL,NL,2011-01-01,14.1
TOTAL,A_MD60,PC,T,TOTAL,NL,2012-01-01,14.9
TOTAL,A_MD60,PC,T,TOTAL,NL,2013-01-01,14.7
TOTAL,A_MD60,PC,T,TOTAL,NL,2014-01-01,14.9
TOTAL,A_MD60,PC,T,TOTAL,NL,2015-01-01,14.9
TOTAL,A_MD60,PC,T,TOTAL,NL,2016-01-01,15.5
TOTAL,A_MD60,PC,T,TOTAL,NL,2017-01-01,12.3
TOTAL,A_MD60,PC,T,TOTAL,NO,2003-01-01,8.5
TOTAL,A_MD60,PC,T,TOTAL,NO,2004-01-01,7.6
TOTAL,A_MD60,PC,T,TOTAL,NO,2005-01-01,7.2
TOTAL,A_MD60,PC,T,TOTAL,NO,2006-01-01,6.9
TOTAL,A_MD60,PC,T,TOTAL,NO,2007-01-01,8.0
TOTAL,A_MD60,PC,T,TOTAL,NO,2008-01-01,7.4
TOTAL,A_MD60,PC,T,TOTAL,NO,2009-01-01,7.7
TOTAL,A_MD60,PC,T,TOTAL,NO,2010-01-01,6.8
TOTAL,A_MD60,PC,T,TOTAL,NO,2011-01-01,6.6
TOTAL,A_MD60,PC,T,TOTAL,NO,2012-01-01,7.6
TOTAL,A_MD60,PC,T,TOTAL,NO,2013-01-01,5.9
TOTAL,A_MD60,PC,T,TOTAL,NO,2014-01-01,5.4
TOTAL,A_MD60,PC,T,TOTAL,NO,2015-01-01,6.2
TOTAL,A_MD60,PC,T,TOTAL,NO,2016-01-01,5.1
TOTAL,A_MD60,PC,T,TOTAL,NO,2017-01-01,4.9
TOTAL,A_MD60,PC,T,TOTAL,PL,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,PL,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,PL,2005-01-01,40.1
TOTAL,A_MD60,PC,T,TOTAL,PL,2006-01-01,36.7
TOTAL,A_MD60,PC,T,TOTAL,PL,2007-01-01,33.5
TOTAL,A_MD60,PC,T,TOTAL,PL,2008-01-01,19.9
TOTAL,A_MD60,PC,T,TOTAL,PL,2009-01-01,14.8
TOTAL,A_MD60,PC,T,TOTAL,PL,2010-01-01,12.6
TOTAL,A_MD60,PC,T,TOTAL,PL,2011-01-01,9.6
TOTAL,A_MD60,PC,T,TOTAL,PL,2012-01-01,8.6
TOTAL,A_MD60,PC,T,TOTAL,PL,2013-01-01,8.3
TOTAL,A_MD60,PC,T,TOTAL,PL,2014-01-01,7.7
TOTAL,A_MD60,PC,T,TOTAL,PL,2015-01-01,9.9
TOTAL,A_MD60,PC,T,TOTAL,PL,2016-01-01,9.5
TOTAL,A_MD60,PC,T,TOTAL,PL,2017-01-01,10.7
TOTAL,A_MD60,PC,T,TOTAL,PT,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,PT,2004-01-01,17.7
TOTAL,A_MD60,PC,T,TOTAL,PT,2005-01-01,16.9
TOTAL,A_MD60,PC,T,TOTAL,PT,2006-01-01,16.4
TOTAL,A_MD60,PC,T,TOTAL,PT,2007-01-01,16.8
TOTAL,A_MD60,PC,T,TOTAL,PT,2008-01-01,17.2
TOTAL,A_MD60,PC,T,TOTAL,PT,2009-01-01,17.8
TOTAL,A_MD60,PC,T,TOTAL,PT,2010-01-01,19.9
TOTAL,A_MD60,PC,T,TOTAL,PT,2011-01-01,19.7
TOTAL,A_MD60,PC,T,TOTAL,PT,2012-01-01,20.6
TOTAL,A_MD60,PC,T,TOTAL,PT,2013-01-01,30.0
TOTAL,A_MD60,PC,T,TOTAL,PT,2014-01-01,31.0
TOTAL,A_MD60,PC,T,TOTAL,PT,2015-01-01,26.1
TOTAL,A_MD60,PC,T,TOTAL,PT,2016-01-01,28.2
TOTAL,A_MD60,PC,T,TOTAL,PT,2017-01-01,23.2
TOTAL,A_MD60,PC,T,TOTAL,RO,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RO,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RO,2005-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RO,2006-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RO,2007-01-01,25.0
TOTAL,A_MD60,PC,T,TOTAL,RO,2008-01-01,19.6
TOTAL,A_MD60,PC,T,TOTAL,RO,2009-01-01,17.9
TOTAL,A_MD60,PC,T,TOTAL,RO,2010-01-01,14.9
TOTAL,A_MD60,PC,T,TOTAL,RO,2011-01-01,13.3
TOTAL,A_MD60,PC,T,TOTAL,RO,2012-01-01,11.4
TOTAL,A_MD60,PC,T,TOTAL,RO,2013-01-01,12.4
TOTAL,A_MD60,PC,T,TOTAL,RO,2014-01-01,9.2
TOTAL,A_MD60,PC,T,TOTAL,RO,2015-01-01,8.1
TOTAL,A_MD60,PC,T,TOTAL,RO,2016-01-01,8.3
TOTAL,A_MD60,PC,T,TOTAL,RO,2017-01-01,7.6
TOTAL,A_MD60,PC,T,TOTAL,RS,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2005-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2006-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2007-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2008-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2009-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2010-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2011-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2012-01-01,
TOTAL,A_MD60,PC,T,TOTAL,RS,2013-01-01,17.9
TOTAL,A_MD60,PC,T,TOTAL,RS,2014-01-01,23.1
TOTAL,A_MD60,PC,T,TOTAL,RS,2015-01-01,20.9
TOTAL,A_MD60,PC,T,TOTAL,RS,2016-01-01,18.4
TOTAL,A_MD60,PC,T,TOTAL,RS,2017-01-01,
TOTAL,A_MD60,PC,T,TOTAL,SE,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,SE,2004-01-01,5.1
TOTAL,A_MD60,PC,T,TOTAL,SE,2005-01-01,5.7
TOTAL,A_MD60,PC,T,TOTAL,SE,2006-01-01,6.9
TOTAL,A_MD60,PC,T,TOTAL,SE,2007-01-01,5.9
TOTAL,A_MD60,PC,T,TOTAL,SE,2008-01-01,7.5
TOTAL,A_MD60,PC,T,TOTAL,SE,2009-01-01,6.3
TOTAL,A_MD60,PC,T,TOTAL,SE,2010-01-01,7.8
TOTAL,A_MD60,PC,T,TOTAL,SE,2011-01-01,7.9
TOTAL,A_MD60,PC,T,TOTAL,SE,2012-01-01,7.3
TOTAL,A_MD60,PC,T,TOTAL,SE,2013-01-01,7.0
TOTAL,A_MD60,PC,T,TOTAL,SE,2014-01-01,7.0
TOTAL,A_MD60,PC,T,TOTAL,SE,2015-01-01,7.3
TOTAL,A_MD60,PC,T,TOTAL,SE,2016-01-01,7.1
TOTAL,A_MD60,PC,T,TOTAL,SE,2017-01-01,6.3
TOTAL,A_MD60,PC,T,TOTAL,SI,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,SI,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,SI,2005-01-01,17.4
TOTAL,A_MD60,PC,T,TOTAL,SI,2006-01-01,20.1
TOTAL,A_MD60,PC,T,TOTAL,SI,2007-01-01,15.8
TOTAL,A_MD60,PC,T,TOTAL,SI,2008-01-01,28.1
TOTAL,A_MD60,PC,T,TOTAL,SI,2009-01-01,29.2
TOTAL,A_MD60,PC,T,TOTAL,SI,2010-01-01,30.3
TOTAL,A_MD60,PC,T,TOTAL,SI,2011-01-01,32.7
TOTAL,A_MD60,PC,T,TOTAL,SI,2012-01-01,29.3
TOTAL,A_MD60,PC,T,TOTAL,SI,2013-01-01,24.8
TOTAL,A_MD60,PC,T,TOTAL,SI,2014-01-01,28.0
TOTAL,A_MD60,PC,T,TOTAL,SI,2015-01-01,25.1
TOTAL,A_MD60,PC,T,TOTAL,SI,2016-01-01,21.8
TOTAL,A_MD60,PC,T,TOTAL,SI,2017-01-01,20.5
TOTAL,A_MD60,PC,T,TOTAL,SK,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,SK,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,SK,2005-01-01,6.3
TOTAL,A_MD60,PC,T,TOTAL,SK,2006-01-01,5.8
TOTAL,A_MD60,PC,T,TOTAL,SK,2007-01-01,5.5
TOTAL,A_MD60,PC,T,TOTAL,SK,2008-01-01,8.3
TOTAL,A_MD60,PC,T,TOTAL,SK,2009-01-01,5.8
TOTAL,A_MD60,PC,T,TOTAL,SK,2010-01-01,5.1
TOTAL,A_MD60,PC,T,TOTAL,SK,2011-01-01,6.2
TOTAL,A_MD60,PC,T,TOTAL,SK,2012-01-01,7.2
TOTAL,A_MD60,PC,T,TOTAL,SK,2013-01-01,5.7
TOTAL,A_MD60,PC,T,TOTAL,SK,2014-01-01,4.7
TOTAL,A_MD60,PC,T,TOTAL,SK,2015-01-01,4.7
TOTAL,A_MD60,PC,T,TOTAL,SK,2016-01-01,4.6
TOTAL,A_MD60,PC,T,TOTAL,SK,2017-01-01,4.6
TOTAL,A_MD60,PC,T,TOTAL,TR,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,TR,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,TR,2005-01-01,
TOTAL,A_MD60,PC,T,TOTAL,TR,2006-01-01,37.6
TOTAL,A_MD60,PC,T,TOTAL,TR,2007-01-01,31.2
TOTAL,A_MD60,PC,T,TOTAL,TR,2008-01-01,31.6
TOTAL,A_MD60,PC,T,TOTAL,TR,2009-01-01,35.2
TOTAL,A_MD60,PC,T,TOTAL,TR,2010-01-01,
TOTAL,A_MD60,PC,T,TOTAL,TR,2011-01-01,35.2
TOTAL,A_MD60,PC,T,TOTAL,TR,2012-01-01,34.0
TOTAL,A_MD60,PC,T,TOTAL,TR,2013-01-01,33.6
TOTAL,A_MD60,PC,T,TOTAL,TR,2014-01-01,31.3
TOTAL,A_MD60,PC,T,TOTAL,TR,2015-01-01,32.9
TOTAL,A_MD60,PC,T,TOTAL,TR,2016-01-01,
TOTAL,A_MD60,PC,T,TOTAL,TR,2017-01-01,
TOTAL,A_MD60,PC,T,TOTAL,UK,2003-01-01,
TOTAL,A_MD60,PC,T,TOTAL,UK,2004-01-01,
TOTAL,A_MD60,PC,T,TOTAL,UK,2005-01-01,12.9
TOTAL,A_MD60,PC,T,TOTAL,UK,2006-01-01,12.6
TOTAL,A_MD60,PC,T,TOTAL,UK,2007-01-01,13.3
TOTAL,A_MD60,PC,T,TOTAL,UK,2008-01-01,13.5
TOTAL,A_MD60,PC,T,TOTAL,UK,2009-01-01,13.5
TOTAL,A_MD60,PC,T,TOTAL,UK,2010-01-01,13.5
TOTAL,A_MD60,PC,T,TOTAL,UK,2011-01-01,15.2
TOTAL,A_MD60,PC,T,TOTAL,UK,2012-01-01,16.5
TOTAL,A_MD60,PC,T,TOTAL,UK,2013-01-01,15.5
TOTAL,A_MD60,PC,T,TOTAL,UK,2014-01-01,15.2
TOTAL,A_MD60,PC,T,TOTAL,UK,2015-01-01,13.4
TOTAL,A_MD60,PC,T,TOTAL,UK,2016-01-01,15.4
TOTAL,A_MD60,PC,T,TOTAL,UK,2017-01-01,
TOTAL,B_MD60,PC,T,TOTAL,AT,2003-01-01,15.6
TOTAL,B_MD60,PC,T,TOTAL,AT,2004-01-01,14.2
TOTAL,B_MD60,PC,T,TOTAL,AT,2005-01-01,14.9
TOTAL,B_MD60,PC,T,TOTAL,AT,2006-01-01,13.8
TOTAL,B_MD60,PC,T,TOTAL,AT,2007-01-01,13.8
TOTAL,B_MD60,PC,T,TOTAL,AT,2008-01-01,18.6
TOTAL,B_MD60,PC,T,TOTAL,AT,2009-01-01,20.6
TOTAL,B_MD60,PC,T,TOTAL,AT,2010-01-01,19.2
TOTAL,B_MD60,PC,T,TOTAL,AT,2011-01-01,22.1
TOTAL,B_MD60,PC,T,TOTAL,AT,2012-01-01,15.2
TOTAL,B_MD60,PC,T,TOTAL,AT,2013-01-01,19.3
TOTAL,B_MD60,PC,T,TOTAL,AT,2014-01-01,13.1
TOTAL,B_MD60,PC,T,TOTAL,AT,2015-01-01,16.5
TOTAL,B_MD60,PC,T,TOTAL,AT,2016-01-01,17.0
TOTAL,B_MD60,PC,T,TOTAL,AT,2017-01-01,17.2
TOTAL,B_MD60,PC,T,TOTAL,BE,2003-01-01,19.7
TOTAL,B_MD60,PC,T,TOTAL,BE,2004-01-01,20.6
TOTAL,B_MD60,PC,T,TOTAL,BE,2005-01-01,25.1
TOTAL,B_MD60,PC,T,TOTAL,BE,2006-01-01,20.4
TOTAL,B_MD60,PC,T,TOTAL,BE,2007-01-01,22.2
TOTAL,B_MD60,PC,T,TOTAL,BE,2008-01-01,26.3
TOTAL,B_MD60,PC,T,TOTAL,BE,2009-01-01,24.1
TOTAL,B_MD60,PC,T,TOTAL,BE,2010-01-01,30.2
TOTAL,B_MD60,PC,T,TOTAL,BE,2011-01-01,30.9
TOTAL,B_MD60,PC,T,TOTAL,BE,2012-01-01,27.2
TOTAL,B_MD60,PC,T,TOTAL,BE,2013-01-01,27.1
TOTAL,B_MD60,PC,T,TOTAL,BE,2014-01-01,26.9
TOTAL,B_MD60,PC,T,TOTAL,BE,2015-01-01,30.9
TOTAL,B_MD60,PC,T,TOTAL,BE,2016-01-01,30.4
TOTAL,B_MD60,PC,T,TOTAL,BE,2017-01-01,27.7
TOTAL,B_MD60,PC,T,TOTAL,BG,2003-01-01,
TOTAL,B_MD60,PC,T,TOTAL,BG,2004-01-01,
TOTAL,B_MD60,PC,T,TOTAL,BG,2005-01-01,48.4
TOTAL,B_MD60,PC,T,TOTAL,BG,2006-01-01,48.4
TOTAL,B_MD60,PC,T,TOTAL,BG,2007-01-01,34.9
TOTAL,B_MD60,PC,T,TOTAL,BG,2008-01-01,48.5
TOTAL,B_MD60,PC,T,TOTAL,BG,2009-01-01,39.5
TOTAL,B_MD60,PC,T,TOTAL,BG,2010-01-01,32.8
TOTAL,B_MD60,PC,T,TOTAL,BG,2011-01-01,30.6
TOTAL,B_MD60,PC,T,TOTAL,BG,2012-01-01,29.5
TOTAL,B_MD60,PC,T,TOTAL,BG,2013-01-01,32.0
TOTAL,B_MD60,PC,T,TOTAL,BG,2014-01-01,28.5
TOTAL,B_MD60,PC,T,TOTAL,BG,2015-01-01,26.3
TOTAL,B_MD60,PC,T,TOTAL,BG,2016-01-01,24.0
TOTAL,B_MD60,PC,T,TOTAL,BG,2017-01-01,25.1
TOTAL,B_MD60,PC,T,TOTAL,CH,2003-01-01,
TOTAL,B_MD60,PC,T,TOTAL,CH,2004-01-01,
TOTAL,B_MD60,PC,T,TOTAL,CH,2005-01-01,
TOTAL,B_MD60,PC,T,TOTAL,CH,2006-01-01,
TOTAL,B_MD60,PC,T,TOTAL,CH,2007-01-01,11.8
TOTAL,B_MD60,PC,T,TOTAL,CH,2008-01-01,9.0
TOTAL,B_MD60,PC,T,TOTAL,CH,2009-01-01,9.6
TOTAL,B_MD60,PC,T,TOTAL,CH,2010-01-01,12.6
TOTAL,B_MD60,PC,T,TOTAL,CH,2011-01-01,12.3
TOTAL,B_MD60,PC,T,TOTAL,CH,2012-01-01,12.8
TOTAL,B_MD60,PC,T,TOTAL,CH,2013-01-01,12.4
TOTAL,B_MD60,PC,T,TOTAL,CH,2014-01-01,17.4
TOTAL,B_MD60,PC,T,TOTAL,CH,2015-01-01,13.4
TOTAL,B_MD60,PC,T,TOTAL,CH,2016-01-01,18.7
TOTAL,B_MD60,PC,T,TOTAL,CH,2017-01-01,
TOTAL,B_MD60,PC,T,TOTAL,CY,2003-01-01,
TOTAL,B_MD60,PC,T,TOTAL,CY,2004-01-01,
TOTAL,B_MD60,PC,T,TOTAL,CY,2005-01-01,44.0
TOTAL,B_MD60,PC,T,TOTAL,CY,2006-01-01,41.5
TOTAL,B_MD60,PC,T,TOTAL,CY,2007-01-01,39.7
TOTAL,B_MD60,PC,T,TOTAL,CY,2008-01-01,33.2
TOTAL,B_MD60,PC,T,TOTAL,CY,2009-01-01,34.2
TOTAL,B_MD60,PC,T,TOTAL,CY,2010-01-01,36.1
TOTAL,B_MD60,PC,T,TOTAL,CY,2011-01-01,40.4
TOTAL,B_MD60,PC,T,TOTAL,CY,2012-01-01,34.6
TOTAL,B_MD60,PC,T,TOTAL,CY,2013-01-01,35.1
TOTAL,B_MD60,PC,T,TOTAL,CY,2014-01-01,32.1
TOTAL,B_MD60,PC,T,TOTAL,CY,2015-01-01,33.9
TOTAL,B_MD60,PC,T,TOTAL,CY,2016-01-01,38.2
TOTAL,B_MD60,PC,T,TOTAL,CY,2017-01-01,41.0
TOTAL,B_MD60,PC,T,TOTAL,CZ,2003-01-01,
TOTAL,B_MD60,PC,T,TOTAL,CZ,2004-01-01,
TOTAL,B_MD60,PC,T,TOTAL,CZ,2005-01-01,33.0
TOTAL,B_MD60,PC,T,TOTAL,CZ,2006-01-01,41.1
TOTAL,B_MD60,PC,T,TOTAL,CZ,2007-01-01,30.1
TOTAL,B_MD60,PC,T,TOTAL,CZ,2008-01-01,26.6
TOTAL,B_MD60,PC,T,TOTAL,CZ,2009-01-01,23.7
TOTAL,B_MD60,PC,T,TOTAL,CZ,2010-01-01,20.0
TOTAL,B_MD60,PC,T,TOTAL,CZ,2011-01-01,21.0
TOTAL,B_MD60,PC,T,TOTAL,CZ,2012-01-01,20.0
TOTAL,B_MD60,PC,T,TOTAL,CZ,2013-01-01,19.2
TOTAL,B_MD60,PC,T,TOTAL,CZ,2014-01-01,18.3
TOTAL,B_MD60,PC,T,TOTAL,CZ,2015-01-01,17.8
TOTAL,B_MD60,PC,T,TOTAL,CZ,2016-01-01,15.1
TOTAL,B_MD60,PC,T,TOTAL,CZ,2017-01-01,12.5
TOTAL,B_MD60,PC,T,TOTAL,DE,2003-01-01,
TOTAL,B_MD60,PC,T,TOTAL,DE,2004-01-01,
TOTAL,B_MD60,PC,T,TOTAL,DE,2005-01-01,22.8
TOTAL,B_MD60,PC,T,TOTAL,DE,2006-01-01,20.2
TOTAL,B_MD60,PC,T,TOTAL,DE,2007-01-01,19.8
TOTAL,B_MD60,PC,T,TOTAL,DE,2008-01-01,22.5
TOTAL,B_MD60,PC,T,TOTAL,DE,2009-01-01,24.7
TOTAL,B_MD60,PC,T,TOTAL,DE,2010-01-01,21.8
TOTAL,B_MD60,PC,T,TOTAL,DE,2011-01-01,23.9
TOTAL,B_MD60,PC,T,TOTAL,DE,2012-01-01,21.0
TOTAL,B_MD60,PC,T,TOTAL,DE,2013-01-01,19.3
TOTAL,B_MD60,PC,T,TOTAL,DE,2014-01-01,19.4
TOTAL,B_MD60,PC,T,TOTAL,DE,2015-01-01,19.7
TOTAL,B_MD60,PC,T,TOTAL,DE,2016-01-01,21.3
TOTAL,B_MD60,PC,T,TOTAL,DE,2017-01-01,21.2
TOTAL,B_MD60,PC,T,TOTAL,DK,2003-01-01,14.7
TOTAL,B_MD60,PC,T,TOTAL,DK,2004-01-01,10.2
TOTAL,B_MD60,PC,T,TOTAL,DK,2005-01-01,11.4
TOTAL,B_MD60,PC,T,TOTAL,DK,2006-01-01,12.6
TOTAL,B_MD60,PC,T,TOTAL,DK,2007-01-01,14.0
TOTAL,B_MD60,PC,T,TOTAL,DK,2008-01-01,11.1
TOTAL,B_MD60,PC,T,TOTAL,DK,2009-01-01,10.2
TOTAL,B_MD60,PC,T,TOTAL,DK,2010-01-01,13.0
TOTAL,B_MD60,PC,T,TOTAL,DK,2011-01-01,20.1
TOTAL,B_MD60,PC,T,TOTAL,DK,2012-01-01,25.2
TOTAL,B_MD60,PC,T,TOTAL,DK,2013-01-01,23.1
TOTAL,B_MD60,PC,T,TOTAL,DK,2014-01-01,16.3
TOTAL,B_MD60,PC,T,TOTAL,DK,2015-01-01,22.2
TOTAL,B_MD60,PC,T,TOTAL,DK,2016-01-01,20.1
TOTAL,B_MD60,PC,T,TOTAL,DK,2017-01-01,22.0
TOTAL,B_MD60,PC,T,TOTAL,EA18,2003-01-01,
TOTAL,B_MD60,PC,T,TOTAL,EA18,2004-01-01,
TOTAL,B_MD60,PC,T,TOTAL,EA18,2005-01-01,25.1
TOTAL,B_MD60,PC,T,TOTAL,EA18,2006-01-01,24.3
TOTAL,B_MD60,PC,T,TOTAL,EA18,2007-01-01,24.8
TOTAL,B_MD60,PC,T,TOTAL,EA18,2008-01-01,24.2
TOTAL,B_MD60,PC,T,TOTAL,EA18,2009-01-01,25.4
TOTAL,B_MD60,PC,T,TOTAL,EA18,2010-01-01,25.3
TOTAL,B_MD60,PC,T,TOTAL,EA18,2011-01-01,24.8
TOTAL,B_MD60,PC,T,TOTAL,EA18,2012-01-01,23.3
TOTAL,B_MD60,PC,T,TOTAL,EA18,2013-01-01,23.9
TOTAL,B_MD60,PC,T,TOTAL,EA18,2014-01-01,25.2
TOTAL,B_MD60,PC,T,TOTAL,EA18,2015-01-01,24.3
TOTAL,B_MD60,PC,T,TOTAL,EA18,2016-01-01,25.1
TOTAL,B_MD60,PC,T,TOTAL,EA18,2017-01-01,20.9
TOTAL,B_MD60,PC,T,TOTAL,EA19,2003-01-01,
TOTAL,B_MD60,PC,T,TOTAL,EA19,2004-01-01,
TOTAL,B_MD60,PC,T,TOTAL,EA19,2005-01-01,25.4
TOTAL,B_MD60,PC,T,TOTAL,EA19,2006-01-01,24.6
TOTAL,B_MD60,PC,T,TOTAL,EA19,2007-01-01,25.0
TOTAL,B_MD60,PC,T,TOTAL,EA19,2008-01-01,24.4
TOTAL,B_MD60,PC,T,TOTAL,EA19,2009-01-01,25.4
TOTAL,B_MD60,PC,T,TOTAL,EA19,2010-01-01,25.4
TOTAL,B_MD60,PC,T,TOTAL,EA19,2011-01-01,24.9
TOTAL,B_MD60,PC,T,TOTAL,EA19,2012-01-01,23.4
TOTAL,B_MD60,PC,T,TOTAL,EA19,2013-01-01,24.0
TOTAL,B_MD60,PC,T,TOTAL,EA19,2014-01-01,25.2
TOTAL,B_MD60,PC,T,TOTAL,EA19,2015-01-01,24.4
TOTAL,B_MD60,PC,T,TOTAL,EA19,2016-01-01,25.2
TOTAL,B_MD60,PC,T,TOTAL,EA19,2017-01-01,21.0
TOTAL,B_MD60,PC,T,TOTAL,EE,2003-01-01,
TOTAL,B_MD60,PC,T,TOTAL,EE,2004-01-01,39.9
TOTAL,B_MD60,PC,T,TOTAL,EE,2005-01-01,36.8
TOTAL,B_MD60,PC,T,TOTAL,EE,2006-01-01,37.2
TOTAL,B_MD60,PC,T,TOTAL,EE,2007-01-01,37.9
TOTAL,B_MD60,PC,T,TOTAL,EE,2008-01-01,29.9
TOTAL,B_MD60,PC,T,TOTAL,EE,2009-01-01,31.6
TOTAL,B_MD60,PC,T,TOTAL,EE,2010-01-01,28.8
TOTAL,B_MD60,PC,T,TOTAL,EE,2011-01-01,28.9
TOTAL,B_MD60,PC,T,TOTAL,EE,2012-01-01,30.3
TOTAL,B_MD60,PC,T,TOTAL,EE,2013-01-01,25.1
TOTAL,B_MD60,PC,T,TOTAL,EE,2014-01-01,23.2
TOTAL,B_MD60,PC,T,TOTAL,EE,2015-01-01,21.8
TOTAL,B_MD60,PC,T,TOTAL,EE,2016-01-01,21.5
TOTAL,B_MD60,PC,T,TOTAL,EE,2017-01-01,20.9
TOTAL,B_MD60,PC,T,TOTAL,EL,2003-01-01,30.1
TOTAL,B_MD60,PC,T,TOTAL,EL,2004-01-01,30.0
TOTAL,B_MD60,PC,T,TOTAL,EL,2005-01-01,29.1
TOTAL,B_MD60,PC,T,TOTAL,EL,2006-01-01,28.6
TOTAL,B_MD60,PC,T,TOTAL,EL,2007-01-01,26.5
TOTAL,B_MD60,PC,T,TOTAL,EL,2008-01-01,26.9
TOTAL,B_MD60,PC,T,TOTAL,EL,2009-01-01,27.4
TOTAL,B_MD60,PC,T,TOTAL,EL,2010-01-01,26.1
TOTAL,B_MD60,PC,T,TOTAL,EL,2011-01-01,21.2
