na_item,unit,geotime,date,value
P51G,PCH_Q1_SCA,EA,2016-04-01,1
P51G,PCH_Q1_SCA,EA,2016-07-01,0
P51G,PCH_Q1_SCA,EA,2016-10-01,1
P51G,PCH_Q1_SCA,EA,2017-01-01,0
P51G,PCH_Q1_SCA,EA,2017-04-01,2
P51G,PCH_Q1_SCA,EA,2017-07-01,0
P51G,PCH_Q1_SCA,EA,2017-10-01,1
P51G,PCH_Q1_SCA,EA,2018-01-01,0
P51G,PCH_Q1_SCA,EA,2018-04-01,1
P51G,PCH_Q1_SCA,EA19,2015-07-01,4
P51G,PCH_Q1_SCA,EA19,2015-10-01,2
P51G,PCH_Q1_SCA,EA19,2016-01-01,0
P51G,PCH_Q1_SCA,EA19,2016-04-01,1
P51G,PCH_Q1_SCA,EA19,2016-07-01,0
P51G,PCH_Q1_SCA,EA19,2016-10-01,1
P51G,PCH_Q1_SCA,EA19,2017-01-01,0
P51G,PCH_Q1_SCA,EA19,2017-04-01,2
P51G,PCH_Q1_SCA,EA19,2017-07-01,0
P51G,PCH_Q1_SCA,EA19,2017-10-01,1
P51G,PCH_Q1_SCA,EA19,2018-01-01,0
P51G,PCH_Q1_SCA,EA19,2018-04-01,1
P51G,PCH_Q1_SCA,EE,2015-07-01,1
P51G,PCH_Q1_SCA,EE,2015-10-01,9
P51G,PCH_Q1_SCA,EE,2016-01-01,0
P51G,PCH_Q1_SCA,EE,2016-04-01,3
P51G,PCH_Q1_SCA,EE,2016-07-01,2
P51G,PCH_Q1_SCA,EE,2016-10-01,2
P51G,PCH_Q1_SCA,EE,2017-01-01,19
P51G,PCH_Q1_SCA,EE,2017-04-01,1
P51G,PCH_Q1_SCA,EE,2017-07-01,3
P51G,PCH_Q1_SCA,EE,2017-10-01,9
P51G,PCH_Q1_SCA,EE,2018-01-01,5
P51G,PCH_Q1_SCA,EE,2018-04-01,7
P51G,PCH_Q1_SCA,EL,2015-07-01,3
P51G,PCH_Q1_SCA,EL,2015-10-01,21
P51G,PCH_Q1_SCA,EL,2016-01-01,18
P51G,PCH_Q1_SCA,EL,2016-04-01,9
P51G,PCH_Q1_SCA,EL,2016-07-01,3
P51G,PCH_Q1_SCA,EL,2016-10-01,0
P51G,PCH_Q1_SCA,EL,2017-01-01,3
P51G,PCH_Q1_SCA,EL,2017-04-01,5
P51G,PCH_Q1_SCA,EL,2017-07-01,5
P51G,PCH_Q1_SCA,EL,2017-10-01,39
P51G,PCH_Q1_SCA,EL,2018-01-01,28
P51G,PCH_Q1_SCA,EL,2018-04-01,0
P51G,PCH_Q1_SCA,ES,2015-07-01,1
P51G,PCH_Q1_SCA,ES,2015-10-01,1
P51G,PCH_Q1_SCA,ES,2016-01-01,0
P51G,PCH_Q1_SCA,ES,2016-04-01,0
P51G,PCH_Q1_SCA,ES,2016-07-01,0
P51G,PCH_Q1_SCA,ES,2016-10-01,1
P51G,PCH_Q1_SCA,ES,2017-01-01,2
P51G,PCH_Q1_SCA,ES,2017-04-01,0
P51G,PCH_Q1_SCA,ES,2017-07-01,2
P51G,PCH_Q1_SCA,ES,2017-10-01,0
P51G,PCH_Q1_SCA,ES,2018-01-01,1
P51G,PCH_Q1_SCA,ES,2018-04-01,3
P51G,PCH_Q1_SCA,EU28,2015-07-01,3
P51G,PCH_Q1_SCA,EU28,2015-10-01,2
P51G,PCH_Q1_SCA,EU28,2016-01-01,0
P51G,PCH_Q1_SCA,EU28,2016-04-01,1
P51G,PCH_Q1_SCA,EU28,2016-07-01,0
P51G,PCH_Q1_SCA,EU28,2016-10-01,1
P51G,PCH_Q1_SCA,EU28,2017-01-01,0
P51G,PCH_Q1_SCA,EU28,2017-04-01,2
P51G,PCH_Q1_SCA,EU28,2017-07-01,0
P51G,PCH_Q1_SCA,EU28,2017-10-01,1
P51G,PCH_Q1_SCA,EU28,2018-01-01,0
P51G,PCH_Q1_SCA,EU28,2018-04-01,1
P51G,PCH_Q1_SCA,FI,2015-07-01,0
P51G,PCH_Q1_SCA,FI,2015-10-01,1
P51G,PCH_Q1_SCA,FI,2016-01-01,3
P51G,PCH_Q1_SCA,FI,2016-04-01,2
P51G,PCH_Q1_SCA,FI,2016-07-01,0
P51G,PCH_Q1_SCA,FI,2016-10-01,2
P51G,PCH_Q1_SCA,FI,2017-01-01,0
P51G,PCH_Q1_SCA,FI,2017-04-01,0
P51G,PCH_Q1_SCA,FI,2017-07-01,1
P51G,PCH_Q1_SCA,FI,2017-10-01,0
P51G,PCH_Q1_SCA,FI,2018-01-01,0
P51G,PCH_Q1_SCA,FI,2018-04-01,1
P51G,PCH_Q1_SCA,FR,2015-07-01,1
P51G,PCH_Q1_SCA,FR,2015-10-01,1
P51G,PCH_Q1_SCA,FR,2016-01-01,1
P51G,PCH_Q1_SCA,FR,2016-04-01,0
P51G,PCH_Q1_SCA,FR,2016-07-01,0
P51G,PCH_Q1_SCA,FR,2016-10-01,0
P51G,PCH_Q1_SCA,FR,2017-01-01,2
P51G,PCH_Q1_SCA,FR,2017-04-01,0
P51G,PCH_Q1_SCA,FR,2017-07-01,1
P51G,PCH_Q1_SCA,FR,2017-10-01,1
P51G,PCH_Q1_SCA,FR,2018-01-01,0
P51G,PCH_Q1_SCA,FR,2018-04-01,0
P51G,PCH_Q1_SCA,HR,2015-07-01,2
P51G,PCH_Q1_SCA,HR,2015-10-01,1
P51G,PCH_Q1_SCA,HR,2016-01-01,1
P51G,PCH_Q1_SCA,HR,2016-04-01,2
P51G,PCH_Q1_SCA,HR,2016-07-01,0
P51G,PCH_Q1_SCA,HR,2016-10-01,2
P51G,PCH_Q1_SCA,HR,2017-01-01,0
P51G,PCH_Q1_SCA,HR,2017-04-01,0
P51G,PCH_Q1_SCA,HR,2017-07-01,0
P51G,PCH_Q1_SCA,HR,2017-10-01,0
P51G,PCH_Q1_SCA,HR,2018-01-01,1
P51G,PCH_Q1_SCA,HR,2018-04-01,0
P51G,PCH_Q1_SCA,HU,2015-07-01,1
P51G,PCH_Q1_SCA,HU,2015-10-01,7
P51G,PCH_Q1_SCA,HU,2016-01-01,20
P51G,PCH_Q1_SCA,HU,2016-04-01,0
P51G,PCH_Q1_SCA,HU,2016-07-01,7
P51G,PCH_Q1_SCA,HU,2016-10-01,2
P51G,PCH_Q1_SCA,HU,2017-01-01,6
P51G,PCH_Q1_SCA,HU,2017-04-01,4
P51G,PCH_Q1_SCA,HU,2017-07-01,3
P51G,PCH_Q1_SCA,HU,2017-10-01,1
P51G,PCH_Q1_SCA,HU,2018-01-01,6
P51G,PCH_Q1_SCA,HU,2018-04-01,3
P51G,PCH_Q1_SCA,IE,2015-07-01,8
P51G,PCH_Q1_SCA,IE,2015-10-01,38
P51G,PCH_Q1_SCA,IE,2016-01-01,6
P51G,PCH_Q1_SCA,IE,2016-04-01,23
P51G,PCH_Q1_SCA,IE,2016-07-01,0
P51G,PCH_Q1_SCA,IE,2016-10-01,14
P51G,PCH_Q1_SCA,IE,2017-01-01,45
P51G,PCH_Q1_SCA,IE,2017-04-01,44
P51G,PCH_Q1_SCA,IE,2017-07-01,38
P51G,PCH_Q1_SCA,IE,2017-10-01,15
P51G,PCH_Q1_SCA,IE,2018-01-01,3
P51G,PCH_Q1_SCA,IE,2018-04-01,1
P51G,PCH_Q1_SCA,IT,2015-07-01,0
P51G,PCH_Q1_SCA,IT,2015-10-01,0
P51G,PCH_Q1_SCA,IT,2016-01-01,1
P51G,PCH_Q1_SCA,IT,2016-04-01,0
P51G,PCH_Q1_SCA,IT,2016-07-01,2
P51G,PCH_Q1_SCA,IT,2016-10-01,2
P51G,PCH_Q1_SCA,IT,2017-01-01,1
P51G,PCH_Q1_SCA,IT,2017-04-01,1
P51G,PCH_Q1_SCA,IT,2017-07-01,3
P51G,PCH_Q1_SCA,IT,2017-10-01,1
P51G,PCH_Q1_SCA,IT,2018-01-01,1
P51G,PCH_Q1_SCA,IT,2018-04-01,2
P51G,PCH_Q1_SCA,LT,2015-07-01,3
P51G,PCH_Q1_SCA,LT,2015-10-01,4
P51G,PCH_Q1_SCA,LT,2016-01-01,4
P51G,PCH_Q1_SCA,LT,2016-04-01,2
P51G,PCH_Q1_SCA,LT,2016-07-01,3
P51G,PCH_Q1_SCA,LT,2016-10-01,3
P51G,PCH_Q1_SCA,LT,2017-01-01,0
P51G,PCH_Q1_SCA,LT,2017-04-01,3
P51G,PCH_Q1_SCA,LT,2017-07-01,0
P51G,PCH_Q1_SCA,LT,2017-10-01,4
P51G,PCH_Q1_SCA,LT,2018-01-01,0
P51G,PCH_Q1_SCA,LT,2018-04-01,2
P51G,PCH_Q1_SCA,LU,2015-07-01,1
P51G,PCH_Q1_SCA,LU,2015-10-01,6
P51G,PCH_Q1_SCA,LU,2016-01-01,10
P51G,PCH_Q1_SCA,LU,2016-04-01,5
P51G,PCH_Q1_SCA,LU,2016-07-01,2
P51G,PCH_Q1_SCA,LU,2016-10-01,5
P51G,PCH_Q1_SCA,LU,2017-01-01,2
P51G,PCH_Q1_SCA,LU,2017-04-01,2
P51G,PCH_Q1_SCA,LU,2017-07-01,14
P51G,PCH_Q1_SCA,LU,2017-10-01,4
P51G,PCH_Q1_SCA,LU,2018-01-01,2
P51G,PCH_Q1_SCA,LU,2018-04-01,1
P51G,PCH_Q1_SCA,LV,2015-07-01,6
P51G,PCH_Q1_SCA,LV,2015-10-01,1
P51G,PCH_Q1_SCA,LV,2016-01-01,6
P51G,PCH_Q1_SCA,LV,2016-04-01,4
P51G,PCH_Q1_SCA,LV,2016-07-01,3
P51G,PCH_Q1_SCA,LV,2016-10-01,4
P51G,PCH_Q1_SCA,LV,2017-01-01,2
P51G,PCH_Q1_SCA,LV,2017-04-01,7
P51G,PCH_Q1_SCA,LV,2017-07-01,1
P51G,PCH_Q1_SCA,LV,2017-10-01,0
P51G,PCH_Q1_SCA,LV,2018-01-01,9
P51G,PCH_Q1_SCA,LV,2018-04-01,0
P51G,PCH_Q1_SCA,MT,2015-07-01,0
P51G,PCH_Q1_SCA,MT,2015-10-01,6
P51G,PCH_Q1_SCA,MT,2016-01-01,12
P51G,PCH_Q1_SCA,MT,2016-04-01,24
P51G,PCH_Q1_SCA,MT,2016-07-01,15
P51G,PCH_Q1_SCA,MT,2016-10-01,14
P51G,PCH_Q1_SCA,MT,2017-01-01,11
P51G,PCH_Q1_SCA,MT,2017-04-01,17
P51G,PCH_Q1_SCA,MT,2017-07-01,11
P51G,PCH_Q1_SCA,MT,2017-10-01,22
P51G,PCH_Q1_SCA,MT,2018-01-01,25
P51G,PCH_Q1_SCA,MT,2018-04-01,9
P51G,PCH_Q1_SCA,NL,2015-07-01,46
P51G,PCH_Q1_SCA,NL,2015-10-01,2
P51G,PCH_Q1_SCA,NL,2016-01-01,2
P51G,PCH_Q1_SCA,NL,2016-04-01,3
P51G,PCH_Q1_SCA,NL,2016-07-01,0
P51G,PCH_Q1_SCA,NL,2016-10-01,0
P51G,PCH_Q1_SCA,NL,2017-01-01,3
P51G,PCH_Q1_SCA,NL,2017-04-01,1
P51G,PCH_Q1_SCA,NL,2017-07-01,2
P51G,PCH_Q1_SCA,NL,2017-10-01,1
P51G,PCH_Q1_SCA,NL,2018-01-01,2
P51G,PCH_Q1_SCA,NL,2018-04-01,1
P51G,PCH_Q1_SCA,NO,2015-07-01,2
P51G,PCH_Q1_SCA,NO,2015-10-01,0
P51G,PCH_Q1_SCA,NO,2016-01-01,1
P51G,PCH_Q1_SCA,NO,2016-04-01,3
P51G,PCH_Q1_SCA,NO,2016-07-01,3
