asyl_app,geotime,date,value
ASY_APP_ACC,AT,2008-01-01,415.0
ASY_APP_ACC,AT,2009-01-01,386.0
ASY_APP_ACC,AT,2010-01-01,412.0
ASY_APP_ACC,AT,2011-01-01,487.0
ASY_APP_ACC,AT,2012-01-01,528.0
ASY_APP_ACC,AT,2013-01-01,580.0
ASY_APP_ACC,AT,2014-01-01,840.0
ASY_APP_ACC,AT,2015-01-01,1741.0
ASY_APP_ACC,AT,2016-01-01,3476.0
ASY_APP_ACC,AT,2017-01-01,2864.0
ASY_APP_ACC,BE,2008-01-01,327.0
ASY_APP_ACC,BE,2009-01-01,269.0
ASY_APP_ACC,BE,2010-01-01,322.0
ASY_APP_ACC,BE,2011-01-01,460.0
ASY_APP_ACC,BE,2012-01-01,500.0
ASY_APP_ACC,BE,2013-01-01,563.0
ASY_APP_ACC,BE,2014-01-01,718.0
ASY_APP_ACC,BE,2015-01-01,929.0
ASY_APP_ACC,BE,2016-01-01,1328.0
ASY_APP_ACC,BE,2017-01-01,1106.0
ASY_APP_ACC,BG,2008-01-01,39.0
ASY_APP_ACC,BG,2009-01-01,36.0
ASY_APP_ACC,BG,2010-01-01,19.0
ASY_APP_ACC,BG,2011-01-01,26.0
ASY_APP_ACC,BG,2012-01-01,23.0
ASY_APP_ACC,BG,2013-01-01,339.0
ASY_APP_ACC,BG,2014-01-01,969.0
ASY_APP_ACC,BG,2015-01-01,779.0
ASY_APP_ACC,BG,2016-01-01,189.0
ASY_APP_ACC,BG,2017-01-01,240.0
ASY_APP_ACC,CH,2008-01-01,631.0
ASY_APP_ACC,CH,2009-01-01,778.0
ASY_APP_ACC,CH,2010-01-01,999.0
ASY_APP_ACC,CH,2011-01-01,815.0
ASY_APP_ACC,CH,2012-01-01,535.0
ASY_APP_ACC,CH,2013-01-01,790.0
ASY_APP_ACC,CH,2014-01-01,1882.0
ASY_APP_ACC,CH,2015-01-01,1690.0
ASY_APP_ACC,CH,2016-01-01,1575.0
ASY_APP_ACC,CH,2017-01-01,1729.0
ASY_APP_ACC,CY,2008-01-01,0.0
ASY_APP_ACC,CY,2009-01-01,1398.0
ASY_APP_ACC,CY,2010-01-01,512.0
ASY_APP_ACC,CY,2011-01-01,82.0
ASY_APP_ACC,CY,2012-01-01,122.0
ASY_APP_ACC,CY,2013-01-01,191.0
ASY_APP_ACC,CY,2014-01-01,1167.0
ASY_APP_ACC,CY,2015-01-01,1870.0
ASY_APP_ACC,CY,2016-01-01,1527.0
ASY_APP_ACC,CY,2017-01-01,1448.0
ASY_APP_ACC,CZ,2008-01-01,21.0
ASY_APP_ACC,CZ,2009-01-01,10.0
ASY_APP_ACC,CZ,2010-01-01,17.0
ASY_APP_ACC,CZ,2011-01-01,30.0
ASY_APP_ACC,CZ,2012-01-01,17.0
