indic_env,waste,unit,geotime,date,value
EXP,TOTAL,T,AT,2004-01-01,1598775.0
EXP,TOTAL,T,AT,2005-01-01,1483649.0
EXP,TOTAL,T,AT,2006-01-01,1713493.0
EXP,TOTAL,T,AT,2007-01-01,2012148.0
EXP,TOTAL,T,AT,2008-01-01,1992794.0
EXP,TOTAL,T,AT,2009-01-01,1819449.0
EXP,TOTAL,T,AT,2010-01-01,1784590.0
EXP,TOTAL,T,AT,2011-01-01,1708082.0
EXP,TOTAL,T,AT,2012-01-01,1772475.0
EXP,TOTAL,T,AT,2013-01-01,1728357.0
EXP,TOTAL,T,AT,2014-01-01,1861689.0
EXP,TOTAL,T,AT,2015-01-01,1858178.0
EXP,TOTAL,T,AT,2016-01-01,1982909.0
EXP,TOTAL,T,BE,2004-01-01,5671626.0
EXP,TOTAL,T,BE,2005-01-01,5634714.0
EXP,TOTAL,T,BE,2006-01-01,6053732.0
EXP,TOTAL,T,BE,2007-01-01,6063132.0
EXP,TOTAL,T,BE,2008-01-01,5978178.0
EXP,TOTAL,T,BE,2009-01-01,6483167.0
EXP,TOTAL,T,BE,2010-01-01,6657468.0
EXP,TOTAL,T,BE,2011-01-01,6756610.0
EXP,TOTAL,T,BE,2012-01-01,6591295.0
EXP,TOTAL,T,BE,2013-01-01,5924627.0
EXP,TOTAL,T,BE,2014-01-01,6509167.0
EXP,TOTAL,T,BE,2015-01-01,5565459.0
EXP,TOTAL,T,BE,2016-01-01,5907978.0
EXP,TOTAL,T,BG,2004-01-01,805802.0
EXP,TOTAL,T,BG,2005-01-01,825050.0
EXP,TOTAL,T,BG,2006-01-01,774820.0
EXP,TOTAL,T,BG,2007-01-01,727157.0
EXP,TOTAL,T,BG,2008-01-01,798121.0
EXP,TOTAL,T,BG,2009-01-01,563413.0
EXP,TOTAL,T,BG,2010-01-01,1042379.0
EXP,TOTAL,T,BG,2011-01-01,969482.0
EXP,TOTAL,T,BG,2012-01-01,843812.0
EXP,TOTAL,T,BG,2013-01-01,725895.0
EXP,TOTAL,T,BG,2014-01-01,514672.0
EXP,TOTAL,T,BG,2015-01-01,367306.0
EXP,TOTAL,T,BG,2016-01-01,379285.0
EXP,TOTAL,T,CY,2004-01-01,66257.0
EXP,TOTAL,T,CY,2005-01-01,78715.0
EXP,TOTAL,T,CY,2006-01-01,90597.0
EXP,TOTAL,T,CY,2007-01-01,94058.0
EXP,TOTAL,T,CY,2008-01-01,106458.0
EXP,TOTAL,T,CY,2009-01-01,119725.0
EXP,TOTAL,T,CY,2010-01-01,156550.0
EXP,TOTAL,T,CY,2011-01-01,198680.0
EXP,TOTAL,T,CY,2012-01-01,198905.0
EXP,TOTAL,T,CY,2013-01-01,163956.0
EXP,TOTAL,T,CY,2014-01-01,137487.0
EXP,TOTAL,T,CY,2015-01-01,123455.0
EXP,TOTAL,T,CY,2016-01-01,123813.0
EXP,TOTAL,T,CZ,2004-01-01,1708919.0
EXP,TOTAL,T,CZ,2005-01-01,2044599.0
EXP,TOTAL,T,CZ,2006-01-01,1879310.0
EXP,TOTAL,T,CZ,2007-01-01,2126448.0
EXP,TOTAL,T,CZ,2008-01-01,2355669.0
EXP,TOTAL,T,CZ,2009-01-01,2088172.0
EXP,TOTAL,T,CZ,2010-01-01,2589828.0
EXP,TOTAL,T,CZ,2011-01-01,2840417.0
EXP,TOTAL,T,CZ,2012-01-01,2910481.0
EXP,TOTAL,T,CZ,2013-01-01,2797285.0
EXP,TOTAL,T,CZ,2014-01-01,2972015.0
EXP,TOTAL,T,CZ,2015-01-01,2723481.0
EXP,TOTAL,T,CZ,2016-01-01,2783857.0
EXP,TOTAL,T,DE,2004-01-01,13427046.0
EXP,TOTAL,T,DE,2005-01-01,13026532.0
EXP,TOTAL,T,DE,2006-01-01,13940218.0
EXP,TOTAL,T,DE,2007-01-01,14509340.0
EXP,TOTAL,T,DE,2008-01-01,14650901.0
EXP,TOTAL,T,DE,2009-01-01,14196142.0
EXP,TOTAL,T,DE,2010-01-01,16022205.0
EXP,TOTAL,T,DE,2011-01-01,16701588.0
EXP,TOTAL,T,DE,2012-01-01,16239600.0
EXP,TOTAL,T,DE,2013-01-01,15031050.0
EXP,TOTAL,T,DE,2014-01-01,15229587.0
EXP,TOTAL,T,DE,2015-01-01,13934373.0
EXP,TOTAL,T,DE,2016-01-01,14663777.0
EXP,TOTAL,T,DK,2004-01-01,2047084.0
EXP,TOTAL,T,DK,2005-01-01,1970275.0
EXP,TOTAL,T,DK,2006-01-01,1992260.0
EXP,TOTAL,T,DK,2007-01-01,2428580.0
EXP,TOTAL,T,DK,2008-01-01,2718580.0
EXP,TOTAL,T,DK,2009-01-01,2301094.0
EXP,TOTAL,T,DK,2010-01-01,2961395.0
EXP,TOTAL,T,DK,2011-01-01,2743353.0
EXP,TOTAL,T,DK,2012-01-01,2238597.0
EXP,TOTAL,T,DK,2013-01-01,2054284.0
EXP,TOTAL,T,DK,2014-01-01,2535797.0
EXP,TOTAL,T,DK,2015-01-01,2106233.0
EXP,TOTAL,T,DK,2016-01-01,2432484.0
EXP,TOTAL,T,EE,2004-01-01,409513.0
EXP,TOTAL,T,EE,2005-01-01,588676.0
EXP,TOTAL,T,EE,2006-01-01,736444.0
EXP,TOTAL,T,EE,2007-01-01,659369.0
EXP,TOTAL,T,EE,2008-01-01,752667.0
EXP,TOTAL,T,EE,2009-01-01,479342.0
EXP,TOTAL,T,EE,2010-01-01,673041.0
EXP,TOTAL,T,EE,2011-01-01,707201.0
EXP,TOTAL,T,EE,2012-01-01,751292.0
