unit,na_item,geotime,date,value
PCH_5Y_CPI10_NAC,P6,AT,1995-01-01,
PCH_5Y_CPI10_NAC,P6,AT,1996-01-01,
PCH_5Y_CPI10_NAC,P6,AT,1997-01-01,
PCH_5Y_CPI10_NAC,P6,AT,1998-01-01,
PCH_5Y_CPI10_NAC,P6,AT,1999-01-01,
PCH_5Y_CPI10_NAC,P6,AT,2000-01-01,-4.4
PCH_5Y_CPI10_NAC,P6,AT,2001-01-01,-2.7
PCH_5Y_CPI10_NAC,P6,AT,2002-01-01,-1.0
PCH_5Y_CPI10_NAC,P6,AT,2003-01-01,0.2
PCH_5Y_CPI10_NAC,P6,AT,2004-01-01,0.2
PCH_5Y_CPI10_NAC,P6,AT,2005-01-01,0.4
PCH_5Y_CPI10_NAC,P6,AT,2006-01-01,-0.9
PCH_5Y_CPI10_NAC,P6,AT,2007-01-01,-2.0
PCH_5Y_CPI10_NAC,P6,AT,2008-01-01,-4.0
PCH_5Y_CPI10_NAC,P6,AT,2009-01-01,-1.7
PCH_5Y_CPI10_NAC,P6,AT,2010-01-01,-2.5
PCH_5Y_CPI10_NAC,P6,AT,2011-01-01,-3.1
PCH_5Y_CPI10_NAC,P6,AT,2012-01-01,-3.2
PCH_5Y_CPI10_NAC,P6,AT,2013-01-01,-1.9
PCH_5Y_CPI10_NAC,P6,AT,2014-01-01,-2.7
PCH_5Y_CPI10_NAC,P6,AT,2015-01-01,-0.1
PCH_5Y_CPI10_NAC,P6,AT,2016-01-01,2.4
PCH_5Y_CPI10_NAC,P6,AT,2017-01-01,1.9
PCH_5Y_CPI10_NAC,P6,BE,1995-01-01,
PCH_5Y_CPI10_NAC,P6,BE,1996-01-01,
PCH_5Y_CPI10_NAC,P6,BE,1997-01-01,
PCH_5Y_CPI10_NAC,P6,BE,1998-01-01,
PCH_5Y_CPI10_NAC,P6,BE,1999-01-01,
PCH_5Y_CPI10_NAC,P6,BE,2000-01-01,-3.2
PCH_5Y_CPI10_NAC,P6,BE,2001-01-01,-2.4
PCH_5Y_CPI10_NAC,P6,BE,2002-01-01,-1.4
PCH_5Y_CPI10_NAC,P6,BE,2003-01-01,-2.3
PCH_5Y_CPI10_NAC,P6,BE,2004-01-01,-2.3
PCH_5Y_CPI10_NAC,P6,BE,2005-01-01,-1.2
PCH_5Y_CPI10_NAC,P6,BE,2006-01-01,-2.0
PCH_5Y_CPI10_NAC,P6,BE,2007-01-01,-2.5
PCH_5Y_CPI10_NAC,P6,BE,2008-01-01,-4.7
PCH_5Y_CPI10_NAC,P6,BE,2009-01-01,-0.8
PCH_5Y_CPI10_NAC,P6,BE,2010-01-01,-1.7
PCH_5Y_CPI10_NAC,P6,BE,2011-01-01,-2.2
PCH_5Y_CPI10_NAC,P6,BE,2012-01-01,-2.5
PCH_5Y_CPI10_NAC,P6,BE,2013-01-01,0.4
PCH_5Y_CPI10_NAC,P6,BE,2014-01-01,-2.4
PCH_5Y_CPI10_NAC,P6,BE,2015-01-01,0.0
PCH_5Y_CPI10_NAC,P6,BE,2016-01-01,1.8
PCH_5Y_CPI10_NAC,P6,BE,2017-01-01,1.0
PCH_5Y_CPI10_NAC,P6,BG,1995-01-01,
PCH_5Y_CPI10_NAC,P6,BG,1996-01-01,
PCH_5Y_CPI10_NAC,P6,BG,1997-01-01,
PCH_5Y_CPI10_NAC,P6,BG,1998-01-01,
PCH_5Y_CPI10_NAC,P6,BG,1999-01-01,
PCH_5Y_CPI10_NAC,P6,BG,2000-01-01,-20.3
PCH_5Y_CPI10_NAC,P6,BG,2001-01-01,14.7
PCH_5Y_CPI10_NAC,P6,BG,2002-01-01,19.3
PCH_5Y_CPI10_NAC,P6,BG,2003-01-01,17.1
PCH_5Y_CPI10_NAC,P6,BG,2004-01-01,13.0
PCH_5Y_CPI10_NAC,P6,BG,2005-01-01,6.4
PCH_5Y_CPI10_NAC,P6,BG,2006-01-01,12.3
PCH_5Y_CPI10_NAC,P6,BG,2007-01-01,15.4
PCH_5Y_CPI10_NAC,P6,BG,2008-01-01,13.0
PCH_5Y_CPI10_NAC,P6,BG,2009-01-01,12.0
PCH_5Y_CPI10_NAC,P6,BG,2010-01-01,14.0
PCH_5Y_CPI10_NAC,P6,BG,2011-01-01,11.5
PCH_5Y_CPI10_NAC,P6,BG,2012-01-01,5.9
PCH_5Y_CPI10_NAC,P6,BG,2013-01-01,4.2
PCH_5Y_CPI10_NAC,P6,BG,2014-01-01,3.0
PCH_5Y_CPI10_NAC,P6,BG,2015-01-01,3.5
PCH_5Y_CPI10_NAC,P6,BG,2016-01-01,3.0
PCH_5Y_CPI10_NAC,P6,BG,2017-01-01,5.7
