unit,nace_r2,geo\time,date,value
PC_EMP,C_HTC_MH,AT,2008-01-01,5.0 b
PC_EMP,C_HTC_MH,AT,2009-01-01,5.0 
PC_EMP,C_HTC_MH,AT,2010-01-01,5.1 
PC_EMP,C_HTC_MH,AT,2011-01-01,5.5 
PC_EMP,C_HTC_MH,AT,2012-01-01,5.8 
PC_EMP,C_HTC_MH,AT,2013-01-01,5.8 
PC_EMP,C_HTC_MH,AT,2014-01-01,5.9 
PC_EMP,C_HTC_MH,AT,2015-01-01,6.2 
PC_EMP,C_HTC_MH,AT,2016-01-01,6.0 
PC_EMP,C_HTC_MH,AT,2017-01-01,5.9 
PC_EMP,C_HTC_MH,BE,2008-01-01,5.9 b
PC_EMP,C_HTC_MH,BE,2009-01-01,5.2 
PC_EMP,C_HTC_MH,BE,2010-01-01,5.3 
PC_EMP,C_HTC_MH,BE,2011-01-01,5.2 b
PC_EMP,C_HTC_MH,BE,2012-01-01,5.0 
PC_EMP,C_HTC_MH,BE,2013-01-01,4.7 
PC_EMP,C_HTC_MH,BE,2014-01-01,4.8 
PC_EMP,C_HTC_MH,BE,2015-01-01,4.6 
PC_EMP,C_HTC_MH,BE,2016-01-01,4.5 
PC_EMP,C_HTC_MH,BE,2017-01-01,4.2 b
PC_EMP,C_HTC_MH,BG,2008-01-01,4.2 b
PC_EMP,C_HTC_MH,BG,2009-01-01,3.6 
PC_EMP,C_HTC_MH,BG,2010-01-01,3.3 b
PC_EMP,C_HTC_MH,BG,2011-01-01,3.4 b
PC_EMP,C_HTC_MH,BG,2012-01-01,3.6 
PC_EMP,C_HTC_MH,BG,2013-01-01,3.9 
PC_EMP,C_HTC_MH,BG,2014-01-01,3.7 
PC_EMP,C_HTC_MH,BG,2015-01-01,3.9 
PC_EMP,C_HTC_MH,BG,2016-01-01,4.0 
PC_EMP,C_HTC_MH,BG,2017-01-01,3.8 
PC_EMP,C_HTC_MH,CH,2008-01-01,6.5 b
PC_EMP,C_HTC_MH,CH,2009-01-01,6.3 
PC_EMP,C_HTC_MH,CH,2010-01-01,6.2 b
PC_EMP,C_HTC_MH,CH,2011-01-01,6.2 
PC_EMP,C_HTC_MH,CH,2012-01-01,6.0 
PC_EMP,C_HTC_MH,CH,2013-01-01,6.0 
PC_EMP,C_HTC_MH,CH,2014-01-01,5.9 
PC_EMP,C_HTC_MH,CH,2015-01-01,5.6 
PC_EMP,C_HTC_MH,CH,2016-01-01,5.6 
PC_EMP,C_HTC_MH,CH,2017-01-01,5.7 
PC_EMP,C_HTC_MH,CY,2008-01-01,0.8 b
PC_EMP,C_HTC_MH,CY,2009-01-01,0.7 b
PC_EMP,C_HTC_MH,CY,2010-01-01,0.6 
