sex,age,typtrai,wstatus,unit,geo\time,date,value
F,Y15-24,NO_FED_NFE,NEMP,PC,CY,2016-01-01,16.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,CY,2017-01-01,16.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2005-01-01,15.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2006-01-01,11.1 b
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2007-01-01,9.1 
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2008-01-01,8.7 
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2009-01-01,9.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2010-01-01,10.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2011-01-01,9.5 b
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2012-01-01,9.8
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2013-01-01,10.8 b
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2014-01-01,9.9 
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2015-01-01,9.5 
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2016-01-01,8.6 
F,Y15-24,NO_FED_NFE,NEMP,PC,CZ,2017-01-01,8.3 
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2005-01-01,11.6 b
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2006-01-01,10.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2007-01-01,9.8 
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2008-01-01,9.5 b
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2009-01-01,9.4 
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2010-01-01,9.0 b
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2011-01-01,8.3 b
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2012-01-01,7.9
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2013-01-01,7.0 
F,Y15-24,NO_FED_NFE,NEMP,PC,DE,2014-01-01,7.2 
