unit,sex,age,isced11,geo\time,date,value
PC,T,Y20-64,ED0-2,AT,2005-01-01,52.0 b
PC,T,Y20-64,ED0-2,AT,2006-01-01,54.0 b
PC,T,Y20-64,ED0-2,AT,2007-01-01,56.5 b
PC,T,Y20-64,ED0-2,AT,2008-01-01,55.7 
PC,T,Y20-64,ED0-2,AT,2009-01-01,54.0 
PC,T,Y20-64,ED0-2,AT,2010-01-01,54.9 
PC,T,Y20-64,ED0-2,AT,2011-01-01,55.3 
PC,T,Y20-64,ED0-2,AT,2012-01-01,54.7
PC,T,Y20-64,ED0-2,AT,2013-01-01,53.9 
PC,T,Y20-64,ED0-2,AT,2014-01-01,53.1 b
PC,T,Y20-64,ED0-2,AT,2015-01-01,53.1 
PC,T,Y20-64,ED0-2,AT,2016-01-01,53.9 
PC,T,Y20-64,ED0-2,AT,2017-01-01,53.9 
PC,T,Y20-64,ED0-2,BE,2005-01-01,48.8 b
PC,T,Y20-64,ED0-2,BE,2006-01-01,48.8 
PC,T,Y20-64,ED0-2,BE,2007-01-01,49.5 
PC,T,Y20-64,ED0-2,BE,2008-01-01,49.1 b
PC,T,Y20-64,ED0-2,BE,2009-01-01,47.7 
PC,T,Y20-64,ED0-2,BE,2010-01-01,48.4 
PC,T,Y20-64,ED0-2,BE,2011-01-01,47.3 b
PC,T,Y20-64,ED0-2,BE,2012-01-01,47.1
PC,T,Y20-64,ED0-2,BE,2013-01-01,46.8 
PC,T,Y20-64,ED0-2,BE,2014-01-01,46.6 b
PC,T,Y20-64,ED0-2,BE,2015-01-01,45.6 
PC,T,Y20-64,ED0-2,BE,2016-01-01,45.6 
PC,T,Y20-64,ED0-2,BE,2017-01-01,45.9 b
PC,T,Y20-64,ED0-2,BG,2005-01-01,39.4 b
PC,T,Y20-64,ED0-2,BG,2006-01-01,40.2 b
PC,T,Y20-64,ED0-2,BG,2007-01-01,43.5 
PC,T,Y20-64,ED0-2,BG,2008-01-01,46.5 b
PC,T,Y20-64,ED0-2,BG,2009-01-01,45.0 
PC,T,Y20-64,ED0-2,BG,2010-01-01,39.8 b
PC,T,Y20-64,ED0-2,BG,2011-01-01,36.7 b
PC,T,Y20-64,ED0-2,BG,2012-01-01,36.2
PC,T,Y20-64,ED0-2,BG,2013-01-01,36.9 
PC,T,Y20-64,ED0-2,BG,2014-01-01,38.6 b
PC,T,Y20-64,ED0-2,BG,2015-01-01,39.0 
PC,T,Y20-64,ED0-2,BG,2016-01-01,39.2 
PC,T,Y20-64,ED0-2,BG,2017-01-01,44.4 
PC,T,Y20-64,ED0-2,CH,2005-01-01,66.5 b
PC,T,Y20-64,ED0-2,CH,2006-01-01,66.2 
PC,T,Y20-64,ED0-2,CH,2007-01-01,67.3 
PC,T,Y20-64,ED0-2,CH,2008-01-01,69.0 
PC,T,Y20-64,ED0-2,CH,2009-01-01,69.0 
PC,T,Y20-64,ED0-2,CH,2010-01-01,67.1 b
PC,T,Y20-64,ED0-2,CH,2011-01-01,67.7 
