indic_bt,nace_r2,unit,geotime,date,value
PROD,B-D,I2015_SCA,AT,2017-09-01,
PROD,B-D,I2015_SCA,AT,2017-10-01,
PROD,B-D,I2015_SCA,AT,2017-11-01,
PROD,B-D,I2015_SCA,AT,2017-12-01,
PROD,B-D,I2015_SCA,AT,2018-01-01,
PROD,B-D,I2015_SCA,AT,2018-02-01,
PROD,B-D,I2015_SCA,AT,2018-03-01,
PROD,B-D,I2015_SCA,AT,2018-04-01,
PROD,B-D,I2015_SCA,AT,2018-05-01,
PROD,B-D,I2015_SCA,AT,2018-06-01,
PROD,B-D,I2015_SCA,AT,2018-07-01,p
PROD,B-D,I2015_SCA,AT,2018-08-01,
PROD,B-D,I2015_SCA,BE,2017-09-01,
PROD,B-D,I2015_SCA,BE,2017-10-01,
PROD,B-D,I2015_SCA,BE,2017-11-01,
PROD,B-D,I2015_SCA,BE,2017-12-01,
PROD,B-D,I2015_SCA,BE,2018-01-01,
PROD,B-D,I2015_SCA,BE,2018-02-01,
PROD,B-D,I2015_SCA,BE,2018-03-01,
PROD,B-D,I2015_SCA,BE,2018-04-01,
PROD,B-D,I2015_SCA,BE,2018-05-01,
PROD,B-D,I2015_SCA,BE,2018-06-01,
PROD,B-D,I2015_SCA,BE,2018-07-01,
PROD,B-D,I2015_SCA,BE,2018-08-01,
PROD,B-D,I2015_SCA,BG,2017-09-01,
PROD,B-D,I2015_SCA,BG,2017-10-01,
PROD,B-D,I2015_SCA,BG,2017-11-01,
PROD,B-D,I2015_SCA,BG,2017-12-01,
PROD,B-D,I2015_SCA,BG,2018-01-01,
PROD,B-D,I2015_SCA,BG,2018-02-01,
PROD,B-D,I2015_SCA,BG,2018-03-01,
PROD,B-D,I2015_SCA,BG,2018-04-01,
PROD,B-D,I2015_SCA,BG,2018-05-01,
PROD,B-D,I2015_SCA,BG,2018-06-01,
PROD,B-D,I2015_SCA,BG,2018-07-01,
PROD,B-D,I2015_SCA,BG,2018-08-01,p
PROD,B-D,I2015_SCA,CY,2017-09-01,
PROD,B-D,I2015_SCA,CY,2017-10-01,
PROD,B-D,I2015_SCA,CY,2017-11-01,
PROD,B-D,I2015_SCA,CY,2017-12-01,
PROD,B-D,I2015_SCA,CY,2018-01-01,
PROD,B-D,I2015_SCA,CY,2018-02-01,
PROD,B-D,I2015_SCA,CY,2018-03-01,
PROD,B-D,I2015_SCA,CY,2018-04-01,
PROD,B-D,I2015_SCA,CY,2018-05-01,
PROD,B-D,I2015_SCA,CY,2018-06-01,
PROD,B-D,I2015_SCA,CY,2018-07-01,
PROD,B-D,I2015_SCA,CY,2018-08-01,c
PROD,B-D,I2015_SCA,CZ,2017-09-01,e
PROD,B-D,I2015_SCA,CZ,2017-10-01,e
PROD,B-D,I2015_SCA,CZ,2017-11-01,e
PROD,B-D,I2015_SCA,CZ,2017-12-01,e
PROD,B-D,I2015_SCA,CZ,2018-01-01,e
PROD,B-D,I2015_SCA,CZ,2018-02-01,e
PROD,B-D,I2015_SCA,CZ,2018-03-01,e
PROD,B-D,I2015_SCA,CZ,2018-04-01,e
PROD,B-D,I2015_SCA,CZ,2018-05-01,e
PROD,B-D,I2015_SCA,CZ,2018-06-01,e
PROD,B-D,I2015_SCA,CZ,2018-07-01,e
PROD,B-D,I2015_SCA,CZ,2018-08-01,e
PROD,B-D,I2015_SCA,DE,2017-09-01,
PROD,B-D,I2015_SCA,DE,2017-10-01,
PROD,B-D,I2015_SCA,DE,2017-11-01,
PROD,B-D,I2015_SCA,DE,2017-12-01,
PROD,B-D,I2015_SCA,DE,2018-01-01,
PROD,B-D,I2015_SCA,DE,2018-02-01,
PROD,B-D,I2015_SCA,DE,2018-03-01,
PROD,B-D,I2015_SCA,DE,2018-04-01,
PROD,B-D,I2015_SCA,DE,2018-05-01,
PROD,B-D,I2015_SCA,DE,2018-06-01,
PROD,B-D,I2015_SCA,DE,2018-07-01,
PROD,B-D,I2015_SCA,DE,2018-08-01,
PROD,B-D,I2015_SCA,DK,2017-09-01,
PROD,B-D,I2015_SCA,DK,2017-10-01,
PROD,B-D,I2015_SCA,DK,2017-11-01,
PROD,B-D,I2015_SCA,DK,2017-12-01,
PROD,B-D,I2015_SCA,DK,2018-01-01,
PROD,B-D,I2015_SCA,DK,2018-02-01,
PROD,B-D,I2015_SCA,DK,2018-03-01,
PROD,B-D,I2015_SCA,DK,2018-04-01,
PROD,B-D,I2015_SCA,DK,2018-05-01,
PROD,B-D,I2015_SCA,DK,2018-06-01,
PROD,B-D,I2015_SCA,DK,2018-07-01,
PROD,B-D,I2015_SCA,DK,2018-08-01,
PROD,B-D,I2015_SCA,EA19,2017-09-01,
PROD,B-D,I2015_SCA,EA19,2017-10-01,
PROD,B-D,I2015_SCA,EA19,2017-11-01,
PROD,B-D,I2015_SCA,EA19,2017-12-01,
PROD,B-D,I2015_SCA,EA19,2018-01-01,
PROD,B-D,I2015_SCA,EA19,2018-02-01,
PROD,B-D,I2015_SCA,EA19,2018-03-01,
PROD,B-D,I2015_SCA,EA19,2018-04-01,
PROD,B-D,I2015_SCA,EA19,2018-05-01,
PROD,B-D,I2015_SCA,EA19,2018-06-01,
PROD,B-D,I2015_SCA,EA19,2018-07-01,
PROD,B-D,I2015_SCA,EA19,2018-08-01,s
PROD,B-D,I2015_SCA,EE,2017-09-01,
PROD,B-D,I2015_SCA,EE,2017-10-01,
PROD,B-D,I2015_SCA,EE,2017-11-01,
PROD,B-D,I2015_SCA,EE,2017-12-01,
PROD,B-D,I2015_SCA,EE,2018-01-01,
PROD,B-D,I2015_SCA,EE,2018-02-01,
PROD,B-D,I2015_SCA,EE,2018-03-01,
PROD,B-D,I2015_SCA,EE,2018-04-01,
PROD,B-D,I2015_SCA,EE,2018-05-01,
PROD,B-D,I2015_SCA,EE,2018-06-01,
PROD,B-D,I2015_SCA,EE,2018-07-01,
PROD,B-D,I2015_SCA,EE,2018-08-01,
PROD,B-D,I2015_SCA,EL,2017-09-01,p
PROD,B-D,I2015_SCA,EL,2017-10-01,p
PROD,B-D,I2015_SCA,EL,2017-11-01,p
PROD,B-D,I2015_SCA,EL,2017-12-01,p
PROD,B-D,I2015_SCA,EL,2018-01-01,p
PROD,B-D,I2015_SCA,EL,2018-02-01,p
PROD,B-D,I2015_SCA,EL,2018-03-01,p
PROD,B-D,I2015_SCA,EL,2018-04-01,p
PROD,B-D,I2015_SCA,EL,2018-05-01,p
PROD,B-D,I2015_SCA,EL,2018-06-01,p
PROD,B-D,I2015_SCA,EL,2018-07-01,p
PROD,B-D,I2015_SCA,EL,2018-08-01,p
PROD,B-D,I2015_SCA,ES,2017-09-01,p
PROD,B-D,I2015_SCA,ES,2017-10-01,p
PROD,B-D,I2015_SCA,ES,2017-11-01,p
PROD,B-D,I2015_SCA,ES,2017-12-01,p
PROD,B-D,I2015_SCA,ES,2018-01-01,p
PROD,B-D,I2015_SCA,ES,2018-02-01,p
PROD,B-D,I2015_SCA,ES,2018-03-01,p
PROD,B-D,I2015_SCA,ES,2018-04-01,p
PROD,B-D,I2015_SCA,ES,2018-05-01,p
PROD,B-D,I2015_SCA,ES,2018-06-01,p
PROD,B-D,I2015_SCA,ES,2018-07-01,p
PROD,B-D,I2015_SCA,ES,2018-08-01,p
PROD,B-D,I2015_SCA,EU28,2017-09-01,
PROD,B-D,I2015_SCA,EU28,2017-10-01,
PROD,B-D,I2015_SCA,EU28,2017-11-01,
PROD,B-D,I2015_SCA,EU28,2017-12-01,
PROD,B-D,I2015_SCA,EU28,2018-01-01,
PROD,B-D,I2015_SCA,EU28,2018-02-01,
PROD,B-D,I2015_SCA,EU28,2018-03-01,
PROD,B-D,I2015_SCA,EU28,2018-04-01,
PROD,B-D,I2015_SCA,EU28,2018-05-01,
PROD,B-D,I2015_SCA,EU28,2018-06-01,
PROD,B-D,I2015_SCA,EU28,2018-07-01,
PROD,B-D,I2015_SCA,EU28,2018-08-01,s
PROD,B-D,I2015_SCA,FI,2017-09-01,
PROD,B-D,I2015_SCA,FI,2017-10-01,
PROD,B-D,I2015_SCA,FI,2017-11-01,
PROD,B-D,I2015_SCA,FI,2017-12-01,
