s_adj,sex,age,unit,geotime,date,value
SA,T,TOTAL,PC_ACT,AT,1995-01-01,4
SA,T,TOTAL,PC_ACT,AT,1995-04-01,4
SA,T,TOTAL,PC_ACT,AT,1995-07-01,4
SA,T,TOTAL,PC_ACT,AT,1995-10-01,4
SA,T,TOTAL,PC_ACT,AT,1996-01-01,4
SA,T,TOTAL,PC_ACT,AT,1996-04-01,4
SA,T,TOTAL,PC_ACT,AT,1996-07-01,4
SA,T,TOTAL,PC_ACT,AT,1996-10-01,4
SA,T,TOTAL,PC_ACT,AT,1997-01-01,4
SA,T,TOTAL,PC_ACT,AT,1997-04-01,4
SA,T,TOTAL,PC_ACT,AT,1997-07-01,4
SA,T,TOTAL,PC_ACT,AT,1997-10-01,4
SA,T,TOTAL,PC_ACT,AT,1998-01-01,4
SA,T,TOTAL,PC_ACT,AT,1998-04-01,4
SA,T,TOTAL,PC_ACT,AT,1998-07-01,4
SA,T,TOTAL,PC_ACT,AT,1998-10-01,4
SA,T,TOTAL,PC_ACT,AT,1999-01-01,4
SA,T,TOTAL,PC_ACT,AT,1999-04-01,4
SA,T,TOTAL,PC_ACT,AT,1999-07-01,4
SA,T,TOTAL,PC_ACT,AT,1999-10-01,4
SA,T,TOTAL,PC_ACT,AT,2000-01-01,
SA,T,TOTAL,PC_ACT,AT,2000-04-01,
SA,T,TOTAL,PC_ACT,AT,2000-07-01,
SA,T,TOTAL,PC_ACT,AT,2000-10-01,3
SA,T,TOTAL,PC_ACT,AT,2001-01-01,3
SA,T,TOTAL,PC_ACT,AT,2001-04-01,
SA,T,TOTAL,PC_ACT,AT,2001-07-01,4
SA,T,TOTAL,PC_ACT,AT,2001-10-01,
SA,T,TOTAL,PC_ACT,AT,2002-01-01,
SA,T,TOTAL,PC_ACT,AT,2002-04-01,
SA,T,TOTAL,PC_ACT,AT,2002-07-01,
SA,T,TOTAL,PC_ACT,AT,2002-10-01,4
SA,T,TOTAL,PC_ACT,AT,2003-01-01,
SA,T,TOTAL,PC_ACT,AT,2003-04-01,
SA,T,TOTAL,PC_ACT,AT,2003-07-01,
SA,T,TOTAL,PC_ACT,AT,2003-10-01,5
SA,T,TOTAL,PC_ACT,AT,2004-01-01,5
SA,T,TOTAL,PC_ACT,AT,2004-04-01,
SA,T,TOTAL,PC_ACT,AT,2004-07-01,
SA,T,TOTAL,PC_ACT,AT,2004-10-01,
SA,T,TOTAL,PC_ACT,AT,2005-01-01,5
SA,T,TOTAL,PC_ACT,AT,2005-04-01,
SA,T,TOTAL,PC_ACT,AT,2005-07-01,
SA,T,TOTAL,PC_ACT,AT,2005-10-01,
SA,T,TOTAL,PC_ACT,AT,2006-01-01,
SA,T,TOTAL,PC_ACT,AT,2006-04-01,
SA,T,TOTAL,PC_ACT,AT,2006-07-01,5
SA,T,TOTAL,PC_ACT,AT,2006-10-01,4
SA,T,TOTAL,PC_ACT,AT,2007-01-01,
SA,T,TOTAL,PC_ACT,AT,2007-04-01,
SA,T,TOTAL,PC_ACT,AT,2007-07-01,
SA,T,TOTAL,PC_ACT,AT,2007-10-01,
SA,T,TOTAL,PC_ACT,AT,2008-01-01,4
SA,T,TOTAL,PC_ACT,AT,2008-04-01,3
SA,T,TOTAL,PC_ACT,AT,2008-07-01,
SA,T,TOTAL,PC_ACT,AT,2008-10-01,
SA,T,TOTAL,PC_ACT,AT,2009-01-01,
SA,T,TOTAL,PC_ACT,AT,2009-04-01,
SA,T,TOTAL,PC_ACT,AT,2009-07-01,
SA,T,TOTAL,PC_ACT,AT,2009-10-01,5
SA,T,TOTAL,PC_ACT,AT,2010-01-01,
SA,T,TOTAL,PC_ACT,AT,2010-04-01,
SA,T,TOTAL,PC_ACT,AT,2010-07-01,
SA,T,TOTAL,PC_ACT,AT,2010-10-01,4
SA,T,TOTAL,PC_ACT,AT,2011-01-01,
SA,T,TOTAL,PC_ACT,AT,2011-04-01,
SA,T,TOTAL,PC_ACT,AT,2011-07-01,4
SA,T,TOTAL,PC_ACT,AT,2011-10-01,
SA,T,TOTAL,PC_ACT,AT,2012-01-01,
SA,T,TOTAL,PC_ACT,AT,2012-04-01,
SA,T,TOTAL,PC_ACT,AT,2012-07-01,
SA,T,TOTAL,PC_ACT,AT,2012-10-01,
SA,T,TOTAL,PC_ACT,AT,2013-01-01,
SA,T,TOTAL,PC_ACT,AT,2013-04-01,
SA,T,TOTAL,PC_ACT,AT,2013-07-01,
SA,T,TOTAL,PC_ACT,AT,2013-10-01,
SA,T,TOTAL,PC_ACT,AT,2014-01-01,
SA,T,TOTAL,PC_ACT,AT,2014-04-01,
SA,T,TOTAL,PC_ACT,AT,2014-07-01,
SA,T,TOTAL,PC_ACT,AT,2014-10-01,
SA,T,TOTAL,PC_ACT,AT,2015-01-01,
SA,T,TOTAL,PC_ACT,AT,2015-04-01,
SA,T,TOTAL,PC_ACT,AT,2015-07-01,
SA,T,TOTAL,PC_ACT,AT,2015-10-01,
SA,T,TOTAL,PC_ACT,AT,2016-01-01,
SA,T,TOTAL,PC_ACT,AT,2016-04-01,
SA,T,TOTAL,PC_ACT,AT,2016-07-01,
SA,T,TOTAL,PC_ACT,AT,2016-10-01,
SA,T,TOTAL,PC_ACT,AT,2017-01-01,5
SA,T,TOTAL,PC_ACT,AT,2017-04-01,
SA,T,TOTAL,PC_ACT,AT,2017-07-01,
SA,T,TOTAL,PC_ACT,AT,2017-10-01,
SA,T,TOTAL,PC_ACT,AT,2018-01-01,
SA,T,TOTAL,PC_ACT,AT,2018-04-01,
SA,T,TOTAL,PC_ACT,AT,2018-07-01,
SA,T,TOTAL,PC_ACT,BE,1995-01-01,9
SA,T,TOTAL,PC_ACT,BE,1995-04-01,9
SA,T,TOTAL,PC_ACT,BE,1995-07-01,9
SA,T,TOTAL,PC_ACT,BE,1995-10-01,9
SA,T,TOTAL,PC_ACT,BE,1996-01-01,9
SA,T,TOTAL,PC_ACT,BE,1996-04-01,9
SA,T,TOTAL,PC_ACT,BE,1996-07-01,9
SA,T,TOTAL,PC_ACT,BE,1996-10-01,9
SA,T,TOTAL,PC_ACT,BE,1997-01-01,9
SA,T,TOTAL,PC_ACT,BE,1997-04-01,9
SA,T,TOTAL,PC_ACT,BE,1997-07-01,9
SA,T,TOTAL,PC_ACT,BE,1997-10-01,9
SA,T,TOTAL,PC_ACT,BE,1998-01-01,9
SA,T,TOTAL,PC_ACT,BE,1998-04-01,9
SA,T,TOTAL,PC_ACT,BE,1998-07-01,9
SA,T,TOTAL,PC_ACT,BE,1998-10-01,9
SA,T,TOTAL,PC_ACT,BE,1999-01-01,9
SA,T,TOTAL,PC_ACT,BE,1999-04-01,8
SA,T,TOTAL,PC_ACT,BE,1999-07-01,8
SA,T,TOTAL,PC_ACT,BE,1999-10-01,7
SA,T,TOTAL,PC_ACT,BE,2000-01-01,
SA,T,TOTAL,PC_ACT,BE,2000-04-01,
SA,T,TOTAL,PC_ACT,BE,2000-07-01,
SA,T,TOTAL,PC_ACT,BE,2000-10-01,6
SA,T,TOTAL,PC_ACT,BE,2001-01-01,6
SA,T,TOTAL,PC_ACT,BE,2001-04-01,
SA,T,TOTAL,PC_ACT,BE,2001-07-01,6
SA,T,TOTAL,PC_ACT,BE,2001-10-01,
SA,T,TOTAL,PC_ACT,BE,2002-01-01,
SA,T,TOTAL,PC_ACT,BE,2002-04-01,
SA,T,TOTAL,PC_ACT,BE,2002-07-01,
SA,T,TOTAL,PC_ACT,BE,2002-10-01,8
SA,T,TOTAL,PC_ACT,BE,2003-01-01,
SA,T,TOTAL,PC_ACT,BE,2003-04-01,
SA,T,TOTAL,PC_ACT,BE,2003-07-01,
SA,T,TOTAL,PC_ACT,BE,2003-10-01,8
SA,T,TOTAL,PC_ACT,BE,2004-01-01,8
SA,T,TOTAL,PC_ACT,BE,2004-04-01,
SA,T,TOTAL,PC_ACT,BE,2004-07-01,
