unit,partner,geotime,date,value
PC,COMM,AT,1999-01-01,46.0
PC,COMM,AT,2000-01-01,41.0
PC,COMM,AT,2001-01-01,48.0
PC,COMM,AT,2002-01-01,51.0
PC,COMM,AT,2003-01-01,42.0
PC,COMM,AT,2004-01-01,49.0
PC,COMM,AT,2005-01-01,43.0
PC,COMM,AT,2006-01-01,45.0
PC,COMM,AT,2007-01-01,48.0
PC,COMM,AT,2008-01-01,44.0
PC,COMM,AT,2009-01-01,46.0
PC,COMM,AT,2010-01-01,41.0
PC,COMM,AT,2011-01-01,37.0
PC,COMM,AT,2012-01-01,40.0
PC,COMM,AT,2013-01-01,42.0
PC,COMM,AT,2014-01-01,51.0
PC,COMM,AT,2015-01-01,34.0
PC,COMM,AT,2016-01-01,40.0
PC,COMM,AT,2017-01-01,45.0
PC,COMM,BE,1999-01-01,53.0
PC,COMM,BE,2000-01-01,57.0
PC,COMM,BE,2001-01-01,61.0
PC,COMM,BE,2002-01-01,64.0
PC,COMM,BE,2003-01-01,55.0
PC,COMM,BE,2004-01-01,68.0
PC,COMM,BE,2005-01-01,61.0
PC,COMM,BE,2006-01-01,68.0
PC,COMM,BE,2007-01-01,67.0
PC,COMM,BE,2008-01-01,64.0
PC,COMM,BE,2009-01-01,58.0
PC,COMM,BE,2010-01-01,64.0
PC,COMM,BE,2011-01-01,55.0
PC,COMM,BE,2012-01-01,54.0
PC,COMM,BE,2013-01-01,56.0
PC,COMM,BE,2014-01-01,47.0
PC,COMM,BE,2015-01-01,49.0
PC,COMM,BE,2016-01-01,53.0
PC,COMM,BE,2017-01-01,58.0
PC,COMM,BG,1999-01-01,
PC,COMM,BG,2000-01-01,
PC,COMM,BG,2001-01-01,
PC,COMM,BG,2002-01-01,
PC,COMM,BG,2003-01-01,
PC,COMM,BG,2004-01-01,50.0
PC,COMM,BG,2005-01-01,48.0
PC,COMM,BG,2006-01-01,51.0
PC,COMM,BG,2007-01-01,46.0
PC,COMM,BG,2008-01-01,51.0
PC,COMM,BG,2009-01-01,59.0
PC,COMM,BG,2010-01-01,57.0
PC,COMM,BG,2011-01-01,49.0
PC,COMM,BG,2012-01-01,39.0
PC,COMM,BG,2013-01-01,50.0
PC,COMM,BG,2014-01-01,46.0
PC,COMM,BG,2015-01-01,41.0
PC,COMM,BG,2016-01-01,47.0
PC,COMM,BG,2017-01-01,51.0
PC,COMM,CY,1999-01-01,
PC,COMM,CY,2000-01-01,
PC,COMM,CY,2001-01-01,
PC,COMM,CY,2002-01-01,
PC,COMM,CY,2003-01-01,
PC,COMM,CY,2004-01-01,59.0
PC,COMM,CY,2005-01-01,57.0
PC,COMM,CY,2006-01-01,55.0
PC,COMM,CY,2007-01-01,57.0
PC,COMM,CY,2008-01-01,53.0
PC,COMM,CY,2009-01-01,56.0
PC,COMM,CY,2010-01-01,49.0
PC,COMM,CY,2011-01-01,42.0
PC,COMM,CY,2012-01-01,34.0
PC,COMM,CY,2013-01-01,21.0
PC,COMM,CY,2014-01-01,25.0
PC,COMM,CY,2015-01-01,21.0
PC,COMM,CY,2016-01-01,28.0
PC,COMM,CY,2017-01-01,41.0
PC,COMM,CZ,1999-01-01,
PC,COMM,CZ,2000-01-01,
PC,COMM,CZ,2001-01-01,
PC,COMM,CZ,2002-01-01,
PC,COMM,CZ,2003-01-01,
PC,COMM,CZ,2004-01-01,51.0
PC,COMM,CZ,2005-01-01,53.0
PC,COMM,CZ,2006-01-01,59.0
PC,COMM,CZ,2007-01-01,57.0
PC,COMM,CZ,2008-01-01,54.0
PC,COMM,CZ,2009-01-01,59.0
PC,COMM,CZ,2010-01-01,50.0
PC,COMM,CZ,2011-01-01,40.0
PC,COMM,CZ,2012-01-01,43.0
PC,COMM,CZ,2013-01-01,42.0
PC,COMM,CZ,2014-01-01,37.0
PC,COMM,CZ,2015-01-01,27.0
PC,COMM,CZ,2016-01-01,30.0
PC,COMM,CZ,2017-01-01,35.0
PC,COMM,DE,1999-01-01,33.0
PC,COMM,DE,2000-01-01,36.0
PC,COMM,DE,2001-01-01,42.0
PC,COMM,DE,2002-01-01,47.0
PC,COMM,DE,2003-01-01,40.0
PC,COMM,DE,2004-01-01,44.0
PC,COMM,DE,2005-01-01,43.0
PC,COMM,DE,2006-01-01,42.0
PC,COMM,DE,2007-01-01,46.0
PC,COMM,DE,2008-01-01,43.0
PC,COMM,DE,2009-01-01,43.0
PC,COMM,DE,2010-01-01,39.0
PC,COMM,DE,2011-01-01,32.0
PC,COMM,DE,2012-01-01,39.0
PC,COMM,DE,2013-01-01,34.0
PC,COMM,DE,2014-01-01,36.0
PC,COMM,DE,2015-01-01,34.0
PC,COMM,DE,2016-01-01,41.0
PC,COMM,DE,2017-01-01,49.0
PC,COMM,DK,1999-01-01,57.0
PC,COMM,DK,2000-01-01,64.0
PC,COMM,DK,2001-01-01,68.0
PC,COMM,DK,2002-01-01,69.0
PC,COMM,DK,2003-01-01,58.0
PC,COMM,DK,2004-01-01,53.0
PC,COMM,DK,2005-01-01,51.0
PC,COMM,DK,2006-01-01,55.0
PC,COMM,DK,2007-01-01,61.0
PC,COMM,DK,2008-01-01,53.0
PC,COMM,DK,2009-01-01,55.0
PC,COMM,DK,2010-01-01,61.0
PC,COMM,DK,2011-01-01,55.0
PC,COMM,DK,2012-01-01,62.0
PC,COMM,DK,2013-01-01,56.0
PC,COMM,DK,2014-01-01,56.0
PC,COMM,DK,2015-01-01,53.0
