,coicop,unit,geo\time,date,value
116,CP07,I15,EA18,2018-05-01,105.23 
117,CP07,I15,EA18,2018-06-01,105.97 
118,CP07,I15,EA18,2018-07-01,106.58 
119,CP07,I15,EA18,2018-08-01,107.21 
120,CP07,I15,EA18,2018-09-01,106.37 
121,CP07,I15,EA19,2017-10-01,101.79 
122,CP07,I15,EA19,2017-11-01,102.16 
123,CP07,I15,EA19,2017-12-01,102.85 
124,CP07,I15,EA19,2018-01-01,102.90 
125,CP07,I15,EA19,2018-02-01,103.16 
126,CP07,I15,EA19,2018-03-01,103.15 
127,CP07,I15,EA19,2018-04-01,104.13 
128,CP07,I15,EA19,2018-05-01,105.23 
129,CP07,I15,EA19,2018-06-01,105.97 
130,CP07,I15,EA19,2018-07-01,106.59 
131,CP07,I15,EA19,2018-08-01,107.22 
132,CP07,I15,EA19,2018-09-01,106.38 
133,CP07,I15,EE,2017-10-01,100.05 
134,CP07,I15,EE,2017-11-01,102.55 
135,CP07,I15,EE,2017-12-01,102.90 
136,CP07,I15,EE,2018-01-01,102.89 
137,CP07,I15,EE,2018-02-01,103.66 
138,CP07,I15,EE,2018-03-01,102.65 
139,CP07,I15,EE,2018-04-01,103.99 
140,CP07,I15,EE,2018-05-01,104.35 
141,CP07,I15,EE,2018-06-01,106.00 
142,CP07,I15,EE,2018-07-01,106.76 
143,CP07,I15,EE,2018-08-01,107.61 
144,CP07,I15,EE,2018-09-01,106.30 
145,CP07,I15,EL,2017-10-01,104.42 
146,CP07,I15,EL,2017-11-01,103.55 
147,CP07,I15,EL,2017-12-01,103.58 
148,CP07,I15,EL,2018-01-01,102.78 
149,CP07,I15,EL,2018-02-01,104.35 
150,CP07,I15,EL,2018-03-01,104.85 
151,CP07,I15,EL,2018-04-01,104.80 
152,CP07,I15,EL,2018-05-01,106.83 
153,CP07,I15,EL,2018-06-01,108.76 
154,CP07,I15,EL,2018-07-01,107.84 
155,CP07,I15,EL,2018-08-01,106.81 
156,CP07,I15,EL,2018-09-01,106.18 
157,CP07,I15,ES,2017-10-01,101.16 
158,CP07,I15,ES,2017-11-01,102.07 
159,CP07,I15,ES,2017-12-01,102.21 
160,CP07,I15,ES,2018-01-01,103.02 
161,CP07,I15,ES,2018-02-01,102.45 
162,CP07,I15,ES,2018-03-01,102.40 
163,CP07,I15,ES,2018-04-01,103.52 
164,CP07,I15,ES,2018-05-01,105.42 
165,CP07,I15,ES,2018-06-01,105.79 
166,CP07,I15,ES,2018-07-01,105.58 
