na_item,s_adj,unit,geotime,date,value
RLPR_PER,NSA,I10,AT,1995-01-01,
RLPR_PER,NSA,I10,AT,1995-04-01,
RLPR_PER,NSA,I10,AT,1995-07-01,
RLPR_PER,NSA,I10,AT,1995-10-01,
RLPR_PER,NSA,I10,AT,1996-01-01,83
RLPR_PER,NSA,I10,AT,1996-04-01,86
RLPR_PER,NSA,I10,AT,1996-07-01,85
RLPR_PER,NSA,I10,AT,1996-10-01,90
RLPR_PER,NSA,I10,AT,1997-01-01,83
RLPR_PER,NSA,I10,AT,1997-04-01,86
RLPR_PER,NSA,I10,AT,1997-07-01,87
RLPR_PER,NSA,I10,AT,1997-10-01,92
RLPR_PER,NSA,I10,AT,1998-01-01,86
RLPR_PER,NSA,I10,AT,1998-04-01,89
RLPR_PER,NSA,I10,AT,1998-07-01,89
RLPR_PER,NSA,I10,AT,1998-10-01,93
RLPR_PER,NSA,I10,AT,1999-01-01,87
RLPR_PER,NSA,I10,AT,1999-04-01,90
RLPR_PER,NSA,I10,AT,1999-07-01,91
RLPR_PER,NSA,I10,AT,1999-10-01,96
RLPR_PER,NSA,I10,AT,2000-01-01,90
RLPR_PER,NSA,I10,AT,2000-04-01,93
RLPR_PER,NSA,I10,AT,2000-07-01,92
RLPR_PER,NSA,I10,AT,2000-10-01,97
RLPR_PER,NSA,I10,AT,2001-01-01,92
RLPR_PER,NSA,I10,AT,2001-04-01,93
RLPR_PER,NSA,I10,AT,2001-07-01,92
RLPR_PER,NSA,I10,AT,2001-10-01,97
RLPR_PER,NSA,I10,AT,2002-01-01,93
RLPR_PER,NSA,I10,AT,2002-04-01,95
RLPR_PER,NSA,I10,AT,2002-07-01,94
RLPR_PER,NSA,I10,AT,2002-10-01,99
RLPR_PER,NSA,I10,AT,2003-01-01,94
RLPR_PER,NSA,I10,AT,2003-04-01,95
RLPR_PER,NSA,I10,AT,2003-07-01,95
RLPR_PER,NSA,I10,AT,2003-10-01,99
RLPR_PER,NSA,I10,AT,2004-01-01,95
RLPR_PER,NSA,I10,AT,2004-04-01,97
RLPR_PER,NSA,I10,AT,2004-07-01,97
RLPR_PER,NSA,I10,AT,2004-10-01,101
RLPR_PER,NSA,I10,AT,2005-01-01,95
RLPR_PER,NSA,I10,AT,2005-04-01,99
RLPR_PER,NSA,I10,AT,2005-07-01,98
RLPR_PER,NSA,I10,AT,2005-10-01,103
RLPR_PER,NSA,I10,AT,2006-01-01,98
RLPR_PER,NSA,I10,AT,2006-04-01,100
RLPR_PER,NSA,I10,AT,2006-07-01,99
RLPR_PER,NSA,I10,AT,2006-10-01,105
RLPR_PER,NSA,I10,AT,2007-01-01,100
RLPR_PER,NSA,I10,AT,2007-04-01,102
RLPR_PER,NSA,I10,AT,2007-07-01,100
