indic_il,geotime,date,value
GINI_HND,AT,2006-01-01,25
GINI_HND,AT,2007-01-01,26
GINI_HND,AT,2008-01-01,27
GINI_HND,AT,2009-01-01,27
GINI_HND,AT,2010-01-01,28
GINI_HND,AT,2011-01-01,27
GINI_HND,AT,2012-01-01,27
GINI_HND,AT,2013-01-01,
GINI_HND,AT,2014-01-01,27
GINI_HND,AT,2015-01-01,
GINI_HND,AT,2016-01-01,27
GINI_HND,AT,2017-01-01,27
GINI_HND,BE,2006-01-01,27
GINI_HND,BE,2007-01-01,26
GINI_HND,BE,2008-01-01,27
GINI_HND,BE,2009-01-01,26
GINI_HND,BE,2010-01-01,26
GINI_HND,BE,2011-01-01,26
GINI_HND,BE,2012-01-01,26
GINI_HND,BE,2013-01-01,
GINI_HND,BE,2014-01-01,25
GINI_HND,BE,2015-01-01,
GINI_HND,BE,2016-01-01,26
GINI_HND,BE,2017-01-01,26
GINI_HND,BG,2006-01-01,31
GINI_HND,BG,2007-01-01,35
GINI_HND,BG,2008-01-01,35
GINI_HND,BG,2009-01-01,33
GINI_HND,BG,2010-01-01,33
GINI_HND,BG,2011-01-01,35
GINI_HND,BG,2012-01-01,33
GINI_HND,BG,2013-01-01,
GINI_HND,BG,2014-01-01,35
GINI_HND,BG,2015-01-01,
GINI_HND,BG,2016-01-01,37
GINI_HND,BG,2017-01-01,40
GINI_HND,CH,2006-01-01,
GINI_HND,CH,2007-01-01,30
GINI_HND,CH,2008-01-01,31
GINI_HND,CH,2009-01-01,30
GINI_HND,CH,2010-01-01,29
GINI_HND,CH,2011-01-01,29
GINI_HND,CH,2012-01-01,28
GINI_HND,CH,2013-01-01,
GINI_HND,CH,2014-01-01,29
GINI_HND,CH,2015-01-01,
GINI_HND,CH,2016-01-01,29
GINI_HND,CH,2017-01-01,
GINI_HND,CY,2006-01-01,28
GINI_HND,CY,2007-01-01,29
GINI_HND,CY,2008-01-01,29
GINI_HND,CY,2009-01-01,29
GINI_HND,CY,2010-01-01,30
GINI_HND,CY,2011-01-01,29
GINI_HND,CY,2012-01-01,31
GINI_HND,CY,2013-01-01,
GINI_HND,CY,2014-01-01,34
GINI_HND,CY,2015-01-01,
GINI_HND,CY,2016-01-01,32
GINI_HND,CY,2017-01-01,30
GINI_HND,CZ,2006-01-01,25
GINI_HND,CZ,2007-01-01,25
GINI_HND,CZ,2008-01-01,24
GINI_HND,CZ,2009-01-01,25
GINI_HND,CZ,2010-01-01,24
GINI_HND,CZ,2011-01-01,25
GINI_HND,CZ,2012-01-01,24
GINI_HND,CZ,2013-01-01,
GINI_HND,CZ,2014-01-01,25
GINI_HND,CZ,2015-01-01,
GINI_HND,CZ,2016-01-01,25
GINI_HND,CZ,2017-01-01,24
GINI_HND,DE,2006-01-01,26
GINI_HND,DE,2007-01-01,30
GINI_HND,DE,2008-01-01,30
GINI_HND,DE,2009-01-01,29
GINI_HND,DE,2010-01-01,29
GINI_HND,DE,2011-01-01,29
GINI_HND,DE,2012-01-01,28
GINI_HND,DE,2013-01-01,
GINI_HND,DE,2014-01-01,30
GINI_HND,DE,2015-01-01,
GINI_HND,DE,2016-01-01,29
GINI_HND,DE,2017-01-01,29
GINI_HND,DK,2006-01-01,23
GINI_HND,DK,2007-01-01,25
GINI_HND,DK,2008-01-01,25
GINI_HND,DK,2009-01-01,26
GINI_HND,DK,2010-01-01,26
GINI_HND,DK,2011-01-01,26
GINI_HND,DK,2012-01-01,26
GINI_HND,DK,2013-01-01,
GINI_HND,DK,2014-01-01,27
GINI_HND,DK,2015-01-01,
GINI_HND,DK,2016-01-01,27
GINI_HND,DK,2017-01-01,27
GINI_HND,EA18,2006-01-01,29
GINI_HND,EA18,2007-01-01,30
GINI_HND,EA18,2008-01-01,30
GINI_HND,EA18,2009-01-01,30
GINI_HND,EA18,2010-01-01,30
GINI_HND,EA18,2011-01-01,30
GINI_HND,EA18,2012-01-01,30
GINI_HND,EA18,2013-01-01,
GINI_HND,EA18,2014-01-01,30
GINI_HND,EA18,2015-01-01,
GINI_HND,EA18,2016-01-01,30
GINI_HND,EA18,2017-01-01,30
GINI_HND,EA19,2006-01-01,29
GINI_HND,EA19,2007-01-01,30
GINI_HND,EA19,2008-01-01,30
GINI_HND,EA19,2009-01-01,30
GINI_HND,EA19,2010-01-01,30
GINI_HND,EA19,2011-01-01,30
GINI_HND,EA19,2012-01-01,30
GINI_HND,EA19,2013-01-01,
GINI_HND,EA19,2014-01-01,31
GINI_HND,EA19,2015-01-01,
GINI_HND,EA19,2016-01-01,30
GINI_HND,EA19,2017-01-01,30
GINI_HND,EE,2006-01-01,33
GINI_HND,EE,2007-01-01,33
GINI_HND,EE,2008-01-01,30
GINI_HND,EE,2009-01-01,31
GINI_HND,EE,2010-01-01,31
GINI_HND,EE,2011-01-01,31
GINI_HND,EE,2012-01-01,32
GINI_HND,EE,2013-01-01,
GINI_HND,EE,2014-01-01,35
GINI_HND,EE,2015-01-01,
GINI_HND,EE,2016-01-01,32
GINI_HND,EE,2017-01-01,31
GINI_HND,EL,2006-01-01,34
GINI_HND,EL,2007-01-01,34
GINI_HND,EL,2008-01-01,33
GINI_HND,EL,2009-01-01,33
GINI_HND,EL,2010-01-01,32
GINI_HND,EL,2011-01-01,33
GINI_HND,EL,2012-01-01,34
GINI_HND,EL,2013-01-01,
GINI_HND,EL,2014-01-01,34
GINI_HND,EL,2015-01-01,
GINI_HND,EL,2016-01-01,34
GINI_HND,EL,2017-01-01,33
GINI_HND,ES,2006-01-01,31
GINI_HND,ES,2007-01-01,31
GINI_HND,ES,2008-01-01,32
GINI_HND,ES,2009-01-01,32
GINI_HND,ES,2010-01-01,33
GINI_HND,ES,2011-01-01,34
GINI_HND,ES,2012-01-01,34
GINI_HND,ES,2013-01-01,
GINI_HND,ES,2014-01-01,34
GINI_HND,ES,2015-01-01,
GINI_HND,ES,2016-01-01,34
GINI_HND,ES,2017-01-01,34
GINI_HND,EU27,2006-01-01,30
GINI_HND,EU27,2007-01-01,30
GINI_HND,EU27,2008-01-01,31
GINI_HND,EU27,2009-01-01,30
GINI_HND,EU27,2010-01-01,30
GINI_HND,EU27,2011-01-01,30
GINI_HND,EU27,2012-01-01,30
GINI_HND,EU27,2013-01-01,
GINI_HND,EU27,2014-01-01,31
GINI_HND,EU27,2015-01-01,
GINI_HND,EU27,2016-01-01,30
GINI_HND,EU27,2017-01-01,30
GINI_HND,EU28,2006-01-01,
GINI_HND,EU28,2007-01-01,
GINI_HND,EU28,2008-01-01,
GINI_HND,EU28,2009-01-01,
GINI_HND,EU28,2010-01-01,30
GINI_HND,EU28,2011-01-01,30
GINI_HND,EU28,2012-01-01,30
GINI_HND,EU28,2013-01-01,
GINI_HND,EU28,2014-01-01,31
GINI_HND,EU28,2015-01-01,
GINI_HND,EU28,2016-01-01,30
GINI_HND,EU28,2017-01-01,30
GINI_HND,FI,2006-01-01,25
GINI_HND,FI,2007-01-01,26
GINI_HND,FI,2008-01-01,26
GINI_HND,FI,2009-01-01,25
GINI_HND,FI,2010-01-01,25
GINI_HND,FI,2011-01-01,25
GINI_HND,FI,2012-01-01,25
GINI_HND,FI,2013-01-01,
GINI_HND,FI,2014-01-01,25
GINI_HND,FI,2015-01-01,
GINI_HND,FI,2016-01-01,25
GINI_HND,FI,2017-01-01,25
GINI_HND,FR,2006-01-01,27
GINI_HND,FR,2007-01-01,26
GINI_HND,FR,2008-01-01,29
GINI_HND,FR,2009-01-01,29
GINI_HND,FR,2010-01-01,29
GINI_HND,FR,2011-01-01,30
GINI_HND,FR,2012-01-01,30
GINI_HND,FR,2013-01-01,
GINI_HND,FR,2014-01-01,29
GINI_HND,FR,2015-01-01,
GINI_HND,FR,2016-01-01,29
GINI_HND,FR,2017-01-01,29
GINI_HND,HR,2006-01-01,
GINI_HND,HR,2007-01-01,
GINI_HND,HR,2008-01-01,
GINI_HND,HR,2009-01-01,
GINI_HND,HR,2010-01-01,31
GINI_HND,HR,2011-01-01,31
GINI_HND,HR,2012-01-01,30
GINI_HND,HR,2013-01-01,
GINI_HND,HR,2014-01-01,30
GINI_HND,HR,2015-01-01,
GINI_HND,HR,2016-01-01,29
GINI_HND,HR,2017-01-01,
GINI_HND,HU,2006-01-01,33
GINI_HND,HU,2007-01-01,25
GINI_HND,HU,2008-01-01,25
GINI_HND,HU,2009-01-01,24
GINI_HND,HU,2010-01-01,24
GINI_HND,HU,2011-01-01,26
GINI_HND,HU,2012-01-01,27
GINI_HND,HU,2013-01-01,
GINI_HND,HU,2014-01-01,28
GINI_HND,HU,2015-01-01,
GINI_HND,HU,2016-01-01,28
GINI_HND,HU,2017-01-01,28
GINI_HND,IE,2006-01-01,31
GINI_HND,IE,2007-01-01,31
GINI_HND,IE,2008-01-01,29
GINI_HND,IE,2009-01-01,28
GINI_HND,IE,2010-01-01,30
GINI_HND,IE,2011-01-01,29
GINI_HND,IE,2012-01-01,30
GINI_HND,IE,2013-01-01,
GINI_HND,IE,2014-01-01,31
GINI_HND,IE,2015-01-01,
GINI_HND,IE,2016-01-01,29
GINI_HND,IE,2017-01-01,
GINI_HND,IS,2006-01-01,26
GINI_HND,IS,2007-01-01,28
GINI_HND,IS,2008-01-01,27
GINI_HND,IS,2009-01-01,29
GINI_HND,IS,2010-01-01,25
GINI_HND,IS,2011-01-01,23
GINI_HND,IS,2012-01-01,24
GINI_HND,IS,2013-01-01,
GINI_HND,IS,2014-01-01,22
GINI_HND,IS,2015-01-01,
GINI_HND,IS,2016-01-01,24
GINI_HND,IS,2017-01-01,
GINI_HND,IT,2006-01-01,32
GINI_HND,IT,2007-01-01,32
GINI_HND,IT,2008-01-01,31
GINI_HND,IT,2009-01-01,31
GINI_HND,IT,2010-01-01,31
GINI_HND,IT,2011-01-01,32
GINI_HND,IT,2012-01-01,32
GINI_HND,IT,2013-01-01,
GINI_HND,IT,2014-01-01,32
GINI_HND,IT,2015-01-01,
GINI_HND,IT,2016-01-01,33
GINI_HND,IT,2017-01-01,32
GINI_HND,LT,2006-01-01,35
GINI_HND,LT,2007-01-01,33
GINI_HND,LT,2008-01-01,34
GINI_HND,LT,2009-01-01,35
GINI_HND,LT,2010-01-01,37
GINI_HND,LT,2011-01-01,33
GINI_HND,LT,2012-01-01,32
GINI_HND,LT,2013-01-01,
GINI_HND,LT,2014-01-01,35
GINI_HND,LT,2015-01-01,
GINI_HND,LT,2016-01-01,37
GINI_HND,LT,2017-01-01,37
GINI_HND,LU,2006-01-01,27
GINI_HND,LU,2007-01-01,27
GINI_HND,LU,2008-01-01,27
GINI_HND,LU,2009-01-01,29
GINI_HND,LU,2010-01-01,27
GINI_HND,LU,2011-01-01,27
GINI_HND,LU,2012-01-01,28
GINI_HND,LU,2013-01-01,
GINI_HND,LU,2014-01-01,28
GINI_HND,LU,2015-01-01,
GINI_HND,LU,2016-01-01,31
GINI_HND,LU,2017-01-01,30
GINI_HND,LV,2006-01-01,38
GINI_HND,LV,2007-01-01,35
GINI_HND,LV,2008-01-01,37
GINI_HND,LV,2009-01-01,37
GINI_HND,LV,2010-01-01,35
GINI_HND,LV,2011-01-01,35
GINI_HND,LV,2012-01-01,35
GINI_HND,LV,2013-01-01,
GINI_HND,LV,2014-01-01,35
GINI_HND,LV,2015-01-01,
GINI_HND,LV,2016-01-01,34
GINI_HND,LV,2017-01-01,34
