unit,indic_il,age,sex,geotime,date,value
PC,LI_R_MD60,Y_GE65,F,AT,2006-01-01,20.2
PC,LI_R_MD60,Y_GE65,F,AT,2007-01-01,17.4
PC,LI_R_MD60,Y_GE65,F,AT,2008-01-01,22.4
PC,LI_R_MD60,Y_GE65,F,AT,2009-01-01,20.5
PC,LI_R_MD60,Y_GE65,F,AT,2010-01-01,20.0
PC,LI_R_MD60,Y_GE65,F,AT,2011-01-01,19.3
PC,LI_R_MD60,Y_GE65,F,AT,2012-01-01,17.8
PC,LI_R_MD60,Y_GE65,F,AT,2013-01-01,17.6
PC,LI_R_MD60,Y_GE65,F,AT,2014-01-01,16.4
PC,LI_R_MD60,Y_GE65,F,AT,2015-01-01,15.1
PC,LI_R_MD60,Y_GE65,F,AT,2016-01-01,15.7
PC,LI_R_MD60,Y_GE65,F,AT,2017-01-01,15.8
PC,LI_R_MD60,Y_GE65,F,BE,2006-01-01,25.1
PC,LI_R_MD60,Y_GE65,F,BE,2007-01-01,24.8
PC,LI_R_MD60,Y_GE65,F,BE,2008-01-01,22.0
PC,LI_R_MD60,Y_GE65,F,BE,2009-01-01,22.3
PC,LI_R_MD60,Y_GE65,F,BE,2010-01-01,20.0
PC,LI_R_MD60,Y_GE65,F,BE,2011-01-01,20.3
PC,LI_R_MD60,Y_GE65,F,BE,2012-01-01,19.5
PC,LI_R_MD60,Y_GE65,F,BE,2013-01-01,19.5
PC,LI_R_MD60,Y_GE65,F,BE,2014-01-01,16.5
PC,LI_R_MD60,Y_GE65,F,BE,2015-01-01,15.7
PC,LI_R_MD60,Y_GE65,F,BE,2016-01-01,15.5
PC,LI_R_MD60,Y_GE65,F,BE,2017-01-01,17.1
PC,LI_R_MD60,Y_GE65,F,BG,2006-01-01,23.7
PC,LI_R_MD60,Y_GE65,F,BG,2007-01-01,30.0
PC,LI_R_MD60,Y_GE65,F,BG,2008-01-01,38.6
PC,LI_R_MD60,Y_GE65,F,BG,2009-01-01,44.2
PC,LI_R_MD60,Y_GE65,F,BG,2010-01-01,37.2
PC,LI_R_MD60,Y_GE65,F,BG,2011-01-01,37.4
PC,LI_R_MD60,Y_GE65,F,BG,2012-01-01,34.3
PC,LI_R_MD60,Y_GE65,F,BG,2013-01-01,32.6
PC,LI_R_MD60,Y_GE65,F,BG,2014-01-01,25.8
PC,LI_R_MD60,Y_GE65,F,BG,2015-01-01,38.2
PC,LI_R_MD60,Y_GE65,F,BG,2016-01-01,30.1
PC,LI_R_MD60,Y_GE65,F,BG,2017-01-01,38.4
PC,LI_R_MD60,Y_GE65,F,CH,2006-01-01,
PC,LI_R_MD60,Y_GE65,F,CH,2007-01-01,27.3
PC,LI_R_MD60,Y_GE65,F,CH,2008-01-01,30.3
PC,LI_R_MD60,Y_GE65,F,CH,2009-01-01,33.1
PC,LI_R_MD60,Y_GE65,F,CH,2010-01-01,30.2
PC,LI_R_MD60,Y_GE65,F,CH,2011-01-01,31.1
PC,LI_R_MD60,Y_GE65,F,CH,2012-01-01,34.0
PC,LI_R_MD60,Y_GE65,F,CH,2013-01-01,32.7
PC,LI_R_MD60,Y_GE65,F,CH,2014-01-01,28.9
PC,LI_R_MD60,Y_GE65,F,CH,2015-01-01,28.7
PC,LI_R_MD60,Y_GE65,F,CH,2016-01-01,27.8
PC,LI_R_MD60,Y_GE65,F,CH,2017-01-01,
