geotime,date,value
AT,2000-01-01,10
AT,2001-01-01,10
AT,2002-01-01,
AT,2003-01-01,
AT,2004-01-01,
AT,2005-01-01,
AT,2006-01-01,
AT,2007-01-01,
AT,2008-01-01,10
AT,2009-01-01,
AT,2010-01-01,10
AT,2011-01-01,10
AT,2012-01-01,9
AT,2013-01-01,9
AT,2014-01-01,9
AT,2015-01-01,9
AT,2016-01-01,9
BE,2000-01-01,15
BE,2001-01-01,14
BE,2002-01-01,
BE,2003-01-01,
BE,2004-01-01,
BE,2005-01-01,
BE,2006-01-01,
BE,2007-01-01,
BE,2008-01-01,13
BE,2009-01-01,
BE,2010-01-01,12
BE,2011-01-01,11
BE,2012-01-01,11
BE,2013-01-01,11
BE,2014-01-01,10
BE,2015-01-01,10
BE,2016-01-01,10
BG,2000-01-01,7
BG,2001-01-01,7
BG,2002-01-01,
BG,2003-01-01,
BG,2004-01-01,
BG,2005-01-01,
BG,2006-01-01,
BG,2007-01-01,
BG,2008-01-01,9
BG,2009-01-01,
BG,2010-01-01,8
BG,2011-01-01,9
BG,2012-01-01,8
BG,2013-01-01,7
BG,2014-01-01,8
BG,2015-01-01,8
BG,2016-01-01,8
CH,2000-01-01,7
CH,2001-01-01,8
CH,2002-01-01,
CH,2003-01-01,
CH,2004-01-01,
CH,2005-01-01,
CH,2006-01-01,
CH,2007-01-01,
CH,2008-01-01,7
CH,2009-01-01,
CH,2010-01-01,7
CH,2011-01-01,6
CH,2012-01-01,7
CH,2013-01-01,7
CH,2014-01-01,6
CH,2015-01-01,6
CH,2016-01-01,6
CY,2000-01-01,13
CY,2001-01-01,13
CY,2002-01-01,
CY,2003-01-01,
CY,2004-01-01,
CY,2005-01-01,
CY,2006-01-01,
CY,2007-01-01,
CY,2008-01-01,13
CY,2009-01-01,
CY,2010-01-01,12
CY,2011-01-01,11
CY,2012-01-01,10
CY,2013-01-01,10
CY,2014-01-01,10
CY,2015-01-01,10
CY,2016-01-01,11
CZ,2000-01-01,14
CZ,2001-01-01,14
CZ,2002-01-01,
CZ,2003-01-01,
CZ,2004-01-01,
CZ,2005-01-01,
CZ,2006-01-01,
CZ,2007-01-01,
CZ,2008-01-01,14
CZ,2009-01-01,
CZ,2010-01-01,13
CZ,2011-01-01,13
CZ,2012-01-01,12
CZ,2013-01-01,12
CZ,2014-01-01,12
CZ,2015-01-01,12
CZ,2016-01-01,12
DE,2000-01-01,12
DE,2001-01-01,13
DE,2002-01-01,
DE,2003-01-01,
DE,2004-01-01,
DE,2005-01-01,
DE,2006-01-01,
DE,2007-01-01,
DE,2008-01-01,12
DE,2009-01-01,
DE,2010-01-01,11
DE,2011-01-01,11
DE,2012-01-01,11
DE,2013-01-01,12
DE,2014-01-01,11
DE,2015-01-01,11
DE,2016-01-01,11
DK,2000-01-01,13
DK,2001-01-01,13
DK,2002-01-01,
DK,2003-01-01,
DK,2004-01-01,
DK,2005-01-01,
DK,2006-01-01,
DK,2007-01-01,
DK,2008-01-01,12
DK,2009-01-01,
DK,2010-01-01,11
DK,2011-01-01,10
DK,2012-01-01,10
DK,2013-01-01,10
DK,2014-01-01,9
DK,2015-01-01,9
DK,2016-01-01,9
EE,2000-01-01,12
EE,2001-01-01,12
EE,2002-01-01,
EE,2003-01-01,
EE,2004-01-01,
EE,2005-01-01,
EE,2006-01-01,
EE,2007-01-01,
EE,2008-01-01,15
EE,2009-01-01,
EE,2010-01-01,16
EE,2011-01-01,16
EE,2012-01-01,15
EE,2013-01-01,16
EE,2014-01-01,16
EE,2015-01-01,13
EE,2016-01-01,15
EL,2000-01-01,11
EL,2001-01-01,11
EL,2002-01-01,
EL,2003-01-01,
EL,2004-01-01,
EL,2005-01-01,
EL,2006-01-01,
EL,2007-01-01,
EL,2008-01-01,12
EL,2009-01-01,
EL,2010-01-01,10
EL,2011-01-01,10
EL,2012-01-01,10
EL,2013-01-01,9
EL,2014-01-01,9
EL,2015-01-01,9
EL,2016-01-01,8
ES,2000-01-01,9
ES,2001-01-01,9
ES,2002-01-01,
ES,2003-01-01,
ES,2004-01-01,
ES,2005-01-01,
ES,2006-01-01,
ES,2007-01-01,
ES,2008-01-01,9
ES,2009-01-01,
ES,2010-01-01,7
ES,2011-01-01,7
ES,2012-01-01,7
ES,2013-01-01,7
ES,2014-01-01,7
ES,2015-01-01,7
ES,2016-01-01,7
EU28,2000-01-01,10
EU28,2001-01-01,10
EU28,2002-01-01,
EU28,2003-01-01,
EU28,2004-01-01,
EU28,2005-01-01,
EU28,2006-01-01,
EU28,2007-01-01,
EU28,2008-01-01,10
EU28,2009-01-01,
EU28,2010-01-01,9
EU28,2011-01-01,9
EU28,2012-01-01,9
EU28,2013-01-01,9
EU28,2014-01-01,8
EU28,2015-01-01,8
EU28,2016-01-01,8
FI,2000-01-01,13
FI,2001-01-01,14
FI,2002-01-01,
FI,2003-01-01,
FI,2004-01-01,
FI,2005-01-01,
