indic_em,age,unit,sex,geotime,date,value
LTU,Y15-74,PC_ACT,F,AT,2000-01-01,
LTU,Y15-74,PC_ACT,F,AT,2001-01-01,
LTU,Y15-74,PC_ACT,F,AT,2002-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2003-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2004-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2005-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2006-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2007-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2008-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2009-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2010-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2011-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2012-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2013-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2014-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2015-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2016-01-01,1
LTU,Y15-74,PC_ACT,F,AT,2017-01-01,1
LTU,Y15-74,PC_ACT,F,BE,2000-01-01,4
LTU,Y15-74,PC_ACT,F,BE,2001-01-01,3
LTU,Y15-74,PC_ACT,F,BE,2002-01-01,4
LTU,Y15-74,PC_ACT,F,BE,2003-01-01,4
LTU,Y15-74,PC_ACT,F,BE,2004-01-01,4
LTU,Y15-74,PC_ACT,F,BE,2005-01-01,5
LTU,Y15-74,PC_ACT,F,BE,2006-01-01,4
LTU,Y15-74,PC_ACT,F,BE,2007-01-01,4
LTU,Y15-74,PC_ACT,F,BE,2008-01-01,3
LTU,Y15-74,PC_ACT,F,BE,2009-01-01,3
LTU,Y15-74,PC_ACT,F,BE,2010-01-01,4
LTU,Y15-74,PC_ACT,F,BE,2011-01-01,3
LTU,Y15-74,PC_ACT,F,BE,2012-01-01,3
LTU,Y15-74,PC_ACT,F,BE,2013-01-01,3
LTU,Y15-74,PC_ACT,F,BE,2014-01-01,3
LTU,Y15-74,PC_ACT,F,BE,2015-01-01,3
LTU,Y15-74,PC_ACT,F,BE,2016-01-01,3
LTU,Y15-74,PC_ACT,F,BE,2017-01-01,3
LTU,Y15-74,PC_ACT,F,BG,2000-01-01,9
LTU,Y15-74,PC_ACT,F,BG,2001-01-01,11
LTU,Y15-74,PC_ACT,F,BG,2002-01-01,11
LTU,Y15-74,PC_ACT,F,BG,2003-01-01,8
LTU,Y15-74,PC_ACT,F,BG,2004-01-01,7
