s_adj,sectpart,sector10,bop_item,stk_flow,partner,unit,geotime,date,value
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2008-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2008-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2009-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2009-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2009-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2009-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2010-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2010-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2010-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2010-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2011-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2011-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2011-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2011-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2012-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2012-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2012-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2012-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2013-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2013-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2013-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2013-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2014-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2014-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2014-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2014-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2015-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2015-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2015-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2015-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2016-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2016-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2016-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2016-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2017-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2017-04-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2017-07-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2017-10-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2018-01-01,
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,AT,2018-04-01,937
NSA,S1,S1,CKA,BAL,WRL_REST,MIO_NAC,BE,1995-01-01,
