hhtyp,incgrp,unit,age,sex,geotime,date,value
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2011-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2012-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2013-01-01,3.2
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2014-01-01,2.3
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2015-01-01,3.3
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2016-01-01,2.8
TOTAL,TOTAL,PC_POP,TOTAL,F,NO,2017-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2006-01-01,9.8
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2007-01-01,9.0
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2008-01-01,8.3
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2009-01-01,8.2
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2010-01-01,7.8
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2011-01-01,7.0
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2012-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2013-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2014-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2015-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2016-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,PL,2017-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2006-01-01,18.8
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2007-01-01,17.6
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2008-01-01,12.1
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2009-01-01,8.9
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2010-01-01,7.5
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2011-01-01,7.6
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2012-01-01,9.7
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2013-01-01,9.0
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2014-01-01,9.8
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2015-01-01,8.0
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2016-01-01,8.9
TOTAL,TOTAL,PC_POP,TOTAL,F,PT,2017-01-01,11.5
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2007-01-01,8.1
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2008-01-01,8.5
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2009-01-01,8.6
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2010-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2011-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2012-01-01,7.0
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2013-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2014-01-01,5.6
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2015-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2016-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,RO,2017-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2007-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2008-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2009-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2010-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2011-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2012-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2013-01-01,8.5
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2014-01-01,8.7
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2015-01-01,8.0
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2016-01-01,7.3
TOTAL,TOTAL,PC_POP,TOTAL,F,RS,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2006-01-01,5.1
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2007-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2008-01-01,6.5
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2009-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2010-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2011-01-01,6.3
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2012-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2013-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2014-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2015-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2016-01-01,7.2
TOTAL,TOTAL,PC_POP,TOTAL,F,SE,2017-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2006-01-01,9.7
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2007-01-01,9.7
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2008-01-01,11.6
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2009-01-01,15.7
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2010-01-01,10.9
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2011-01-01,12.2
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2012-01-01,8.8
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2013-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2014-01-01,4.9
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2015-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2016-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,SI,2017-01-01,4.7
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2006-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2007-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2008-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2009-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2010-01-01,2.6
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2011-01-01,3.0
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2012-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2013-01-01,3.1
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2014-01-01,3.0
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2015-01-01,2.9
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2016-01-01,2.6
TOTAL,TOTAL,PC_POP,TOTAL,F,SK,2017-01-01,2.7
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2006-01-01,23.7
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2007-01-01,21.6
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2008-01-01,19.2
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2009-01-01,27.9
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2010-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2011-01-01,26.6
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2012-01-01,27.7
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2013-01-01,25.1
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2014-01-01,24.6
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2015-01-01,20.6
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2016-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,TR,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2006-01-01,10.0
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2007-01-01,11.2
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2008-01-01,10.0
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2009-01-01,10.8
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2010-01-01,10.2
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2011-01-01,10.4
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2012-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2013-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2014-01-01,5.2
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2015-01-01,5.3
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2016-01-01,5.1
TOTAL,TOTAL,PC_POP,TOTAL,F,UK,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2006-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2007-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2008-01-01,6.5
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2009-01-01,6.2
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2010-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2011-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2012-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2013-01-01,4.9
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2014-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2015-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2016-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,AT,2017-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2006-01-01,10.2
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2007-01-01,9.0
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2008-01-01,8.0
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2009-01-01,9.5
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2010-01-01,8.7
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2011-01-01,8.0
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2012-01-01,7.6
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2013-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2014-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2015-01-01,7.8
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2016-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,M,BE,2017-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2006-01-01,9.6
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2007-01-01,9.7
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2008-01-01,8.3
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2009-01-01,6.9
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2010-01-01,7.9
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2011-01-01,6.9
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2012-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2013-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2014-01-01,6.9
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2015-01-01,6.5
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2016-01-01,6.3
TOTAL,TOTAL,PC_POP,TOTAL,M,BG,2017-01-01,6.5
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2007-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2008-01-01,5.2
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2009-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2010-01-01,4.9
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2011-01-01,6.3
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2012-01-01,7.6
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2013-01-01,7.2
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2014-01-01,7.3
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2015-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2016-01-01,7.8
TOTAL,TOTAL,PC_POP,TOTAL,M,CH,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2006-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2007-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2008-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2009-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2010-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2011-01-01,5.3
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2012-01-01,4.6
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2013-01-01,5.1
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2014-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2015-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2016-01-01,4.7
TOTAL,TOTAL,PC_POP,TOTAL,M,CY,2017-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2006-01-01,4.9
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2007-01-01,4.6
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2008-01-01,4.1
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2009-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2010-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2011-01-01,3.4
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2012-01-01,3.2
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2013-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2014-01-01,3.5
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2015-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2016-01-01,3.5
TOTAL,TOTAL,PC_POP,TOTAL,M,CZ,2017-01-01,3.2
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2006-01-01,4.7
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2007-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2008-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2009-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2010-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2011-01-01,4.2
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2012-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2013-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2014-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2015-01-01,4.1
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2016-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,M,DE,2017-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2006-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2007-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2008-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2009-01-01,4.2
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2010-01-01,4.2
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2011-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2012-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2013-01-01,3.5
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2014-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2015-01-01,3.5
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2016-01-01,3.2
TOTAL,TOTAL,PC_POP,TOTAL,M,DK,2017-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2006-01-01,7.8
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2007-01-01,7.6
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2008-01-01,6.5
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2009-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2010-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2011-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2012-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2013-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2014-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2015-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2016-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,EA18,2017-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2006-01-01,7.8
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2007-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2008-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2009-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2010-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2011-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2012-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2013-01-01,6.2
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2014-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2015-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2016-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,EA19,2017-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2006-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2007-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2008-01-01,5.3
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2009-01-01,4.6
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2010-01-01,4.2
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2011-01-01,5.1
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2012-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2013-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2014-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2015-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2016-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,M,EE,2017-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2006-01-01,7.6
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2007-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2008-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2009-01-01,6.5
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2010-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2011-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2012-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2013-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2014-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2015-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2016-01-01,5.6
TOTAL,TOTAL,PC_POP,TOTAL,M,EL,2017-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2006-01-01,12.0
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2007-01-01,10.8
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2008-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2009-01-01,7.0
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2010-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2011-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2012-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2013-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2014-01-01,5.2
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2015-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2016-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,M,ES,2017-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2007-01-01,8.2
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2008-01-01,7.3
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2009-01-01,7.3
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2010-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2011-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2012-01-01,6.2
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2013-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2014-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2015-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2016-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,M,EU27,2017-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2007-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2008-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2009-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2010-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2011-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2012-01-01,6.2
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2013-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2014-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2015-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2016-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,M,EU28,2017-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2006-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2007-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2008-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2009-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2010-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2011-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2012-01-01,4.7
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2013-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2014-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2015-01-01,4.1
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2016-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,M,FI,2017-01-01,3.4
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2006-01-01,7.8
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2007-01-01,8.3
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2008-01-01,8.4
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2009-01-01,7.5
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2010-01-01,8.4
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2011-01-01,7.9
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2012-01-01,8.1
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2013-01-01,8.1
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2014-01-01,7.9
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2015-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2016-01-01,8.0
TOTAL,TOTAL,PC_POP,TOTAL,M,FR,2017-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2007-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2008-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2009-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2010-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2011-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2012-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2013-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2014-01-01,5.6
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2015-01-01,5.1
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2016-01-01,5.6
TOTAL,TOTAL,PC_POP,TOTAL,M,HR,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2006-01-01,7.5
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2007-01-01,10.6
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2008-01-01,10.3
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2009-01-01,8.5
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2010-01-01,8.6
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2011-01-01,8.4
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2012-01-01,8.1
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2013-01-01,8.7
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2014-01-01,9.2
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2015-01-01,8.3
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2016-01-01,9.6
TOTAL,TOTAL,PC_POP,TOTAL,M,HU,2017-01-01,8.3
TOTAL,TOTAL,PC_POP,TOTAL,M,IE,2006-01-01,6.3
TOTAL,TOTAL,PC_POP,TOTAL,M,IE,2007-01-01,9.1
TOTAL,TOTAL,PC_POP,TOTAL,M,IE,2008-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,M,IE,2009-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,M,IE,2010-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,M,IE,2011-01-01,4.7
