unit,tra_mode,geo\time,date,value
PC,IWW,AT,2005-01-01,3.3 
PC,IWW,AT,2006-01-01,3.2 
PC,IWW,AT,2007-01-01,4.2 
PC,IWW,AT,2008-01-01,3.6 
PC,IWW,AT,2009-01-01,3.6 
PC,IWW,AT,2010-01-01,4 
PC,IWW,AT,2011-01-01,3.4 
PC,IWW,AT,2012-01-01,3.7 
PC,IWW,AT,2013-01-01,3.9 
PC,IWW,AT,2014-01-01,3.5 
PC,IWW,AT,2015-01-01,2.9 
PC,IWW,AT,2016-01-01,3 
PC,IWW,BE,2005-01-01,13.5 e
PC,IWW,BE,2006-01-01,13.5 e
PC,IWW,BE,2007-01-01,13.4 
PC,IWW,BE,2008-01-01,13.5 
PC,IWW,BE,2009-01-01,12.2 
PC,IWW,BE,2010-01-01,14.6 
PC,IWW,BE,2011-01-01,14.8 
PC,IWW,BE,2012-01-01,16.4 e
PC,IWW,BE,2013-01-01,15.9 e
PC,IWW,BE,2014-01-01,15.9 e
PC,IWW,BE,2015-01-01,16 e
PC,IWW,BE,2016-01-01,15.3 e
PC,IWW,BG,2005-01-01,26.3 e
PC,IWW,BG,2006-01-01,26.1 e
PC,IWW,BG,2007-01-01,27.7 e
PC,IWW,BG,2008-01-01,28.6 e
PC,IWW,BG,2009-01-01,31.4 
PC,IWW,BG,2010-01-01,33.6 
PC,IWW,BG,2011-01-01,24.9 
PC,IWW,BG,2012-01-01,30.5 
PC,IWW,BG,2013-01-01,27.4 
PC,IWW,BG,2014-01-01,26.9 
PC,IWW,BG,2015-01-01,27.4 
PC,IWW,BG,2016-01-01,27.2 
PC,IWW,CH,2005-01-01,: z
PC,IWW,CH,2006-01-01,: z
PC,IWW,CH,2007-01-01,: z
PC,IWW,CH,2008-01-01,: z
PC,IWW,CH,2009-01-01,: z
PC,IWW,CH,2010-01-01,: z
PC,IWW,CH,2011-01-01,: z
PC,IWW,CH,2012-01-01,: z
PC,IWW,CH,2013-01-01,: z
