partner,unit,geotime,date,value
TOTAL,PC,AT,2005-01-01,0
TOTAL,PC,AT,2006-01-01,0
TOTAL,PC,AT,2007-01-01,0
TOTAL,PC,AT,2008-01-01,0
TOTAL,PC,AT,2009-01-01,0
TOTAL,PC,AT,2010-01-01,0
TOTAL,PC,AT,2011-01-01,0
TOTAL,PC,AT,2012-01-01,
TOTAL,PC,AT,2013-01-01,
TOTAL,PC,AT,2014-01-01,
TOTAL,PC,AT,2015-01-01,
TOTAL,PC,AT,2016-01-01,0
TOTAL,PC,AT,2017-01-01,0
TOTAL,PC,BE,2005-01-01,0
TOTAL,PC,BE,2006-01-01,0
TOTAL,PC,BE,2007-01-01,0
TOTAL,PC,BE,2008-01-01,0
TOTAL,PC,BE,2009-01-01,0
TOTAL,PC,BE,2010-01-01,0
TOTAL,PC,BE,2011-01-01,0
TOTAL,PC,BE,2012-01-01,
TOTAL,PC,BE,2013-01-01,
TOTAL,PC,BE,2014-01-01,
TOTAL,PC,BE,2015-01-01,
TOTAL,PC,BE,2016-01-01,0
TOTAL,PC,BE,2017-01-01,0
TOTAL,PC,BG,2005-01-01,
TOTAL,PC,BG,2006-01-01,
TOTAL,PC,BG,2007-01-01,
TOTAL,PC,BG,2008-01-01,
TOTAL,PC,BG,2009-01-01,
TOTAL,PC,BG,2010-01-01,0
TOTAL,PC,BG,2011-01-01,0
TOTAL,PC,BG,2012-01-01,
TOTAL,PC,BG,2013-01-01,
TOTAL,PC,BG,2014-01-01,
TOTAL,PC,BG,2015-01-01,
TOTAL,PC,BG,2016-01-01,0
TOTAL,PC,BG,2017-01-01,0
TOTAL,PC,CH,2005-01-01,0
TOTAL,PC,CH,2006-01-01,0
TOTAL,PC,CH,2007-01-01,0
TOTAL,PC,CH,2008-01-01,0
TOTAL,PC,CH,2009-01-01,0
TOTAL,PC,CH,2010-01-01,0
TOTAL,PC,CH,2011-01-01,0
TOTAL,PC,CH,2012-01-01,
TOTAL,PC,CH,2013-01-01,
TOTAL,PC,CH,2014-01-01,
TOTAL,PC,CH,2015-01-01,
TOTAL,PC,CH,2016-01-01,0
TOTAL,PC,CH,2017-01-01,0
TOTAL,PC,CY,2005-01-01,0
TOTAL,PC,CY,2006-01-01,0
TOTAL,PC,CY,2007-01-01,0
TOTAL,PC,CY,2008-01-01,0
TOTAL,PC,CY,2009-01-01,0
TOTAL,PC,CY,2010-01-01,0
TOTAL,PC,CY,2011-01-01,0
TOTAL,PC,CY,2012-01-01,
TOTAL,PC,CY,2013-01-01,
TOTAL,PC,CY,2014-01-01,
TOTAL,PC,CY,2015-01-01,
TOTAL,PC,CY,2016-01-01,
TOTAL,PC,CY,2017-01-01,
TOTAL,PC,CZ,2005-01-01,0
TOTAL,PC,CZ,2006-01-01,0
TOTAL,PC,CZ,2007-01-01,0
TOTAL,PC,CZ,2008-01-01,0
TOTAL,PC,CZ,2009-01-01,0
TOTAL,PC,CZ,2010-01-01,0
TOTAL,PC,CZ,2011-01-01,0
TOTAL,PC,CZ,2012-01-01,
TOTAL,PC,CZ,2013-01-01,
TOTAL,PC,CZ,2014-01-01,
TOTAL,PC,CZ,2015-01-01,
TOTAL,PC,CZ,2016-01-01,0
TOTAL,PC,CZ,2017-01-01,0
TOTAL,PC,DE,2005-01-01,0
TOTAL,PC,DE,2006-01-01,0
TOTAL,PC,DE,2007-01-01,0
TOTAL,PC,DE,2008-01-01,0
TOTAL,PC,DE,2009-01-01,0
TOTAL,PC,DE,2010-01-01,0
TOTAL,PC,DE,2011-01-01,0
TOTAL,PC,DE,2012-01-01,
TOTAL,PC,DE,2013-01-01,
TOTAL,PC,DE,2014-01-01,
TOTAL,PC,DE,2015-01-01,
TOTAL,PC,DE,2016-01-01,0
TOTAL,PC,DE,2017-01-01,0
TOTAL,PC,DK,2005-01-01,0
TOTAL,PC,DK,2006-01-01,0
TOTAL,PC,DK,2007-01-01,0
TOTAL,PC,DK,2008-01-01,0
TOTAL,PC,DK,2009-01-01,0
TOTAL,PC,DK,2010-01-01,0
TOTAL,PC,DK,2011-01-01,0
TOTAL,PC,DK,2012-01-01,
TOTAL,PC,DK,2013-01-01,
TOTAL,PC,DK,2014-01-01,
TOTAL,PC,DK,2015-01-01,
TOTAL,PC,DK,2016-01-01,0
TOTAL,PC,DK,2017-01-01,0
TOTAL,PC,EE,2005-01-01,0
TOTAL,PC,EE,2006-01-01,0
TOTAL,PC,EE,2007-01-01,0
TOTAL,PC,EE,2008-01-01,0
TOTAL,PC,EE,2009-01-01,0
TOTAL,PC,EE,2010-01-01,0
TOTAL,PC,EE,2011-01-01,0
TOTAL,PC,EE,2012-01-01,
TOTAL,PC,EE,2013-01-01,
TOTAL,PC,EE,2014-01-01,
TOTAL,PC,EE,2015-01-01,
TOTAL,PC,EE,2016-01-01,0
TOTAL,PC,EE,2017-01-01,0
