age,unit,sex,indic_em,geotime,date,value
Y15-64,PC_POP,F,ACT,AT,2005-01-01,64
Y15-64,PC_POP,F,ACT,AT,2006-01-01,66
Y15-64,PC_POP,F,ACT,AT,2007-01-01,67
Y15-64,PC_POP,F,ACT,AT,2008-01-01,67
Y15-64,PC_POP,F,ACT,AT,2009-01-01,68
Y15-64,PC_POP,F,ACT,AT,2010-01-01,68
Y15-64,PC_POP,F,ACT,AT,2011-01-01,69
Y15-64,PC_POP,F,ACT,AT,2012-01-01,70
Y15-64,PC_POP,F,ACT,AT,2013-01-01,70
Y15-64,PC_POP,F,ACT,AT,2014-01-01,70
Y15-64,PC_POP,F,ACT,AT,2015-01-01,70
Y15-64,PC_POP,F,ACT,AT,2016-01-01,71
Y15-64,PC_POP,F,ACT,AT,2017-01-01,71
Y15-64,PC_POP,F,ACT,BE,2005-01-01,59
Y15-64,PC_POP,F,ACT,BE,2006-01-01,59
Y15-64,PC_POP,F,ACT,BE,2007-01-01,60
Y15-64,PC_POP,F,ACT,BE,2008-01-01,60
Y15-64,PC_POP,F,ACT,BE,2009-01-01,60
Y15-64,PC_POP,F,ACT,BE,2010-01-01,61
Y15-64,PC_POP,F,ACT,BE,2011-01-01,61
Y15-64,PC_POP,F,ACT,BE,2012-01-01,61
Y15-64,PC_POP,F,ACT,BE,2013-01-01,62
Y15-64,PC_POP,F,ACT,BE,2014-01-01,63
Y15-64,PC_POP,F,ACT,BE,2015-01-01,63
Y15-64,PC_POP,F,ACT,BE,2016-01-01,62
Y15-64,PC_POP,F,ACT,BE,2017-01-01,63
Y15-64,PC_POP,F,ACT,BG,2005-01-01,57
Y15-64,PC_POP,F,ACT,BG,2006-01-01,60
Y15-64,PC_POP,F,ACT,BG,2007-01-01,62
Y15-64,PC_POP,F,ACT,BG,2008-01-01,63
Y15-64,PC_POP,F,ACT,BG,2009-01-01,62
Y15-64,PC_POP,F,ACT,BG,2010-01-01,62
Y15-64,PC_POP,F,ACT,BG,2011-01-01,61
Y15-64,PC_POP,F,ACT,BG,2012-01-01,63
Y15-64,PC_POP,F,ACT,BG,2013-01-01,64
Y15-64,PC_POP,F,ACT,BG,2014-01-01,65
Y15-64,PC_POP,F,ACT,BG,2015-01-01,65
