unit,nace_r2,tax,geotime,date,value
MIO_EUR,TOTAL_HH_NRES,NRG,AT,2010-01-01,4585
MIO_EUR,TOTAL_HH_NRES,NRG,AT,2011-01-01,5007
MIO_EUR,TOTAL_HH_NRES,NRG,AT,2012-01-01,5030
MIO_EUR,TOTAL_HH_NRES,NRG,AT,2013-01-01,5093
MIO_EUR,TOTAL_HH_NRES,NRG,AT,2014-01-01,5024
MIO_EUR,TOTAL_HH_NRES,NRG,AT,2015-01-01,5216
MIO_EUR,TOTAL_HH_NRES,NRG,AT,2016-01-01,5284
MIO_EUR,TOTAL_HH_NRES,NRG,BE,1995-01-01,3303
MIO_EUR,TOTAL_HH_NRES,NRG,BE,1996-01-01,3450
MIO_EUR,TOTAL_HH_NRES,NRG,BE,1997-01-01,3474
MIO_EUR,TOTAL_HH_NRES,NRG,BE,1998-01-01,3556
MIO_EUR,TOTAL_HH_NRES,NRG,BE,1999-01-01,3598
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2000-01-01,3613
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2001-01-01,3632
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2002-01-01,3665
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2003-01-01,3893
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2004-01-01,4309
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2005-01-01,4475
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2006-01-01,4399
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2007-01-01,4586
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2008-01-01,4524
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2009-01-01,4483
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2010-01-01,4873
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2011-01-01,5125
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2012-01-01,5002
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2013-01-01,4766
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2014-01-01,5028
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2015-01-01,5303
MIO_EUR,TOTAL_HH_NRES,NRG,BE,2016-01-01,5988
MIO_EUR,TOTAL_HH_NRES,NRG,BG,1995-01-01,166
MIO_EUR,TOTAL_HH_NRES,NRG,BG,1996-01-01,74
MIO_EUR,TOTAL_HH_NRES,NRG,BG,1997-01-01,120
MIO_EUR,TOTAL_HH_NRES,NRG,BG,1998-01-01,245
MIO_EUR,TOTAL_HH_NRES,NRG,BG,1999-01-01,278
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2000-01-01,348
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2001-01-01,370
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2002-01-01,351
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2003-01-01,475
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2004-01-01,567
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2005-01-01,607
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2006-01-01,665
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2007-01-01,921
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2008-01-01,1059
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2009-01-01,933
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2010-01-01,926
MIO_EUR,TOTAL_HH_NRES,NRG,BG,2011-01-01,982
