s_adj,age,sex,unit,geotime,date,value
SA,Y25-74,F,PC_ACT,AT,2017-10-01,4.2
SA,Y25-74,F,PC_ACT,AT,2017-11-01,4.5
SA,Y25-74,F,PC_ACT,AT,2017-12-01,4.6
SA,Y25-74,F,PC_ACT,AT,2018-01-01,4.4
SA,Y25-74,F,PC_ACT,AT,2018-02-01,4.2
SA,Y25-74,F,PC_ACT,AT,2018-03-01,4.0
SA,Y25-74,F,PC_ACT,AT,2018-04-01,3.7
SA,Y25-74,F,PC_ACT,AT,2018-05-01,3.7
SA,Y25-74,F,PC_ACT,AT,2018-06-01,4.0
SA,Y25-74,F,PC_ACT,AT,2018-07-01,4.3
SA,Y25-74,F,PC_ACT,AT,2018-08-01,4.4
SA,Y25-74,F,PC_ACT,AT,2018-09-01,
SA,Y25-74,F,PC_ACT,BE,2017-10-01,5.7
SA,Y25-74,F,PC_ACT,BE,2017-11-01,5.5
SA,Y25-74,F,PC_ACT,BE,2017-12-01,5.3
SA,Y25-74,F,PC_ACT,BE,2018-01-01,5.1
SA,Y25-74,F,PC_ACT,BE,2018-02-01,5.0
SA,Y25-74,F,PC_ACT,BE,2018-03-01,4.9
SA,Y25-74,F,PC_ACT,BE,2018-04-01,5.1
SA,Y25-74,F,PC_ACT,BE,2018-05-01,5.1
SA,Y25-74,F,PC_ACT,BE,2018-06-01,5.2
SA,Y25-74,F,PC_ACT,BE,2018-07-01,5.4
SA,Y25-74,F,PC_ACT,BE,2018-08-01,5.3
SA,Y25-74,F,PC_ACT,BE,2018-09-01,
SA,Y25-74,F,PC_ACT,BG,2017-10-01,5.5
SA,Y25-74,F,PC_ACT,BG,2017-11-01,5.4
SA,Y25-74,F,PC_ACT,BG,2017-12-01,5.2
SA,Y25-74,F,PC_ACT,BG,2018-01-01,4.8
SA,Y25-74,F,PC_ACT,BG,2018-02-01,4.5
SA,Y25-74,F,PC_ACT,BG,2018-03-01,4.3
SA,Y25-74,F,PC_ACT,BG,2018-04-01,4.4
SA,Y25-74,F,PC_ACT,BG,2018-05-01,4.5
SA,Y25-74,F,PC_ACT,BG,2018-06-01,4.4
SA,Y25-74,F,PC_ACT,BG,2018-07-01,4.3
SA,Y25-74,F,PC_ACT,BG,2018-08-01,4.3
SA,Y25-74,F,PC_ACT,BG,2018-09-01,
SA,Y25-74,F,PC_ACT,CY,2017-10-01,9.0
