sector,s_adj,unit,geotime,date,value
S14_S15,NSA,PC,AT,2015-07-01,
S14_S15,NSA,PC,AT,2015-10-01,
S14_S15,NSA,PC,AT,2016-01-01,6
S14_S15,NSA,PC,AT,2016-04-01,8
S14_S15,NSA,PC,AT,2016-07-01,9
S14_S15,NSA,PC,AT,2016-10-01,8
S14_S15,NSA,PC,AT,2017-01-01,7
S14_S15,NSA,PC,AT,2017-04-01,8
S14_S15,NSA,PC,AT,2017-07-01,9
S14_S15,NSA,PC,AT,2017-10-01,9
S14_S15,NSA,PC,AT,2018-01-01,7
S14_S15,NSA,PC,AT,2018-04-01,8
S14_S15,NSA,PC,BE,2015-07-01,
S14_S15,NSA,PC,BE,2015-10-01,
S14_S15,NSA,PC,BE,2016-01-01,10
S14_S15,NSA,PC,BE,2016-04-01,9
S14_S15,NSA,PC,BE,2016-07-01,10
S14_S15,NSA,PC,BE,2016-10-01,10
S14_S15,NSA,PC,BE,2017-01-01,10
S14_S15,NSA,PC,BE,2017-04-01,9
S14_S15,NSA,PC,BE,2017-07-01,10
S14_S15,NSA,PC,BE,2017-10-01,10
S14_S15,NSA,PC,BE,2018-01-01,10
S14_S15,NSA,PC,BE,2018-04-01,
S14_S15,NSA,PC,CZ,2015-07-01,
S14_S15,NSA,PC,CZ,2015-10-01,
S14_S15,NSA,PC,CZ,2016-01-01,7
S14_S15,NSA,PC,CZ,2016-04-01,8
S14_S15,NSA,PC,CZ,2016-07-01,9
S14_S15,NSA,PC,CZ,2016-10-01,10
S14_S15,NSA,PC,CZ,2017-01-01,7
S14_S15,NSA,PC,CZ,2017-04-01,8
S14_S15,NSA,PC,CZ,2017-07-01,9
S14_S15,NSA,PC,CZ,2017-10-01,9
S14_S15,NSA,PC,CZ,2018-01-01,8
S14_S15,NSA,PC,CZ,2018-04-01,8
S14_S15,NSA,PC,DE,2015-07-01,
S14_S15,NSA,PC,DE,2015-10-01,
S14_S15,NSA,PC,DE,2016-01-01,8
S14_S15,NSA,PC,DE,2016-04-01,10
