unit,s_adj,asset10,geotime,date,value
CLV_PCH_PRE,SCA,N111G,AT,2015-07-01,1
CLV_PCH_PRE,SCA,N111G,AT,2015-10-01,1
CLV_PCH_PRE,SCA,N111G,AT,2016-01-01,1
CLV_PCH_PRE,SCA,N111G,AT,2016-04-01,1
CLV_PCH_PRE,SCA,N111G,AT,2016-07-01,1
CLV_PCH_PRE,SCA,N111G,AT,2016-10-01,0
CLV_PCH_PRE,SCA,N111G,AT,2017-01-01,2
CLV_PCH_PRE,SCA,N111G,AT,2017-04-01,2
CLV_PCH_PRE,SCA,N111G,AT,2017-07-01,1
CLV_PCH_PRE,SCA,N111G,AT,2017-10-01,1
CLV_PCH_PRE,SCA,N111G,AT,2018-01-01,0
CLV_PCH_PRE,SCA,N111G,AT,2018-04-01,1
CLV_PCH_PRE,SCA,N111G,BE,2015-07-01,
CLV_PCH_PRE,SCA,N111G,BE,2015-10-01,
CLV_PCH_PRE,SCA,N111G,BE,2016-01-01,
CLV_PCH_PRE,SCA,N111G,BE,2016-04-01,
CLV_PCH_PRE,SCA,N111G,BE,2016-07-01,
CLV_PCH_PRE,SCA,N111G,BE,2016-10-01,
CLV_PCH_PRE,SCA,N111G,BE,2017-01-01,
CLV_PCH_PRE,SCA,N111G,BE,2017-04-01,
CLV_PCH_PRE,SCA,N111G,BE,2017-07-01,
CLV_PCH_PRE,SCA,N111G,BE,2017-10-01,
CLV_PCH_PRE,SCA,N111G,BE,2018-01-01,
CLV_PCH_PRE,SCA,N111G,BE,2018-04-01,
CLV_PCH_PRE,SCA,N111G,BG,2015-07-01,4
CLV_PCH_PRE,SCA,N111G,BG,2015-10-01,0
CLV_PCH_PRE,SCA,N111G,BG,2016-01-01,95
CLV_PCH_PRE,SCA,N111G,BG,2016-04-01,0
CLV_PCH_PRE,SCA,N111G,BG,2016-07-01,0
CLV_PCH_PRE,SCA,N111G,BG,2016-10-01,1
CLV_PCH_PRE,SCA,N111G,BG,2017-01-01,9
CLV_PCH_PRE,SCA,N111G,BG,2017-04-01,6
CLV_PCH_PRE,SCA,N111G,BG,2017-07-01,0
CLV_PCH_PRE,SCA,N111G,BG,2017-10-01,5
CLV_PCH_PRE,SCA,N111G,BG,2018-01-01,6
CLV_PCH_PRE,SCA,N111G,BG,2018-04-01,2
CLV_PCH_PRE,SCA,N111G,CY,2015-07-01,4
