unit,sex,age,isced11,geotime,date,value
PC,T,Y15-74,ED3_4,DK,2006-01-01,3
PC,T,Y15-74,ED3_4,DK,2007-01-01,3
PC,T,Y15-74,ED3_4,DK,2008-01-01,2
PC,T,Y15-74,ED3_4,DK,2009-01-01,5
PC,T,Y15-74,ED3_4,DK,2010-01-01,6
PC,T,Y15-74,ED3_4,DK,2011-01-01,6
PC,T,Y15-74,ED3_4,DK,2012-01-01,
PC,T,Y15-74,ED3_4,DK,2013-01-01,6
PC,T,Y15-74,ED3_4,DK,2014-01-01,5
PC,T,Y15-74,ED3_4,DK,2015-01-01,5
PC,T,Y15-74,ED3_4,DK,2016-01-01,5
PC,T,Y15-74,ED3_4,DK,2017-01-01,4
PC,T,Y15-74,ED3_4,EA18,2005-01-01,8
PC,T,Y15-74,ED3_4,EA18,2006-01-01,8
PC,T,Y15-74,ED3_4,EA18,2007-01-01,7
PC,T,Y15-74,ED3_4,EA18,2008-01-01,6
PC,T,Y15-74,ED3_4,EA18,2009-01-01,8
PC,T,Y15-74,ED3_4,EA18,2010-01-01,8
PC,T,Y15-74,ED3_4,EA18,2011-01-01,8
PC,T,Y15-74,ED3_4,EA18,2012-01-01,
PC,T,Y15-74,ED3_4,EA18,2013-01-01,10
PC,T,Y15-74,ED3_4,EA18,2014-01-01,10
PC,T,Y15-74,ED3_4,EA18,2015-01-01,9
PC,T,Y15-74,ED3_4,EA18,2016-01-01,8
PC,T,Y15-74,ED3_4,EA18,2017-01-01,8
PC,T,Y15-74,ED3_4,EA19,2005-01-01,8
PC,T,Y15-74,ED3_4,EA19,2006-01-01,8
PC,T,Y15-74,ED3_4,EA19,2007-01-01,7
PC,T,Y15-74,ED3_4,EA19,2008-01-01,6
PC,T,Y15-74,ED3_4,EA19,2009-01-01,8
PC,T,Y15-74,ED3_4,EA19,2010-01-01,9
PC,T,Y15-74,ED3_4,EA19,2011-01-01,8
PC,T,Y15-74,ED3_4,EA19,2012-01-01,
PC,T,Y15-74,ED3_4,EA19,2013-01-01,10
PC,T,Y15-74,ED3_4,EA19,2014-01-01,10
PC,T,Y15-74,ED3_4,EA19,2015-01-01,9
PC,T,Y15-74,ED3_4,EA19,2016-01-01,8
PC,T,Y15-74,ED3_4,EA19,2017-01-01,8
PC,T,Y15-74,ED3_4,EE,2005-01-01,9
PC,T,Y15-74,ED3_4,EE,2006-01-01,6
PC,T,Y15-74,ED3_4,EE,2007-01-01,4
PC,T,Y15-74,ED3_4,EE,2008-01-01,5
PC,T,Y15-74,ED3_4,EE,2009-01-01,15
