hhtyp,incgrp,unit,geo\time,date,value
TOTAL,TOTAL,PC,LV,2014-01-01,15.3 
TOTAL,TOTAL,PC,LV,2015-01-01,14.6
TOTAL,TOTAL,PC,LV,2016-01-01,13.3 
TOTAL,TOTAL,PC,LV,2017-01-01,14.1 
TOTAL,TOTAL,PC,MK,2003-01-01,: 
TOTAL,TOTAL,PC,MK,2004-01-01,: 
TOTAL,TOTAL,PC,MK,2005-01-01,: 
TOTAL,TOTAL,PC,MK,2006-01-01,: 
TOTAL,TOTAL,PC,MK,2007-01-01,: 
TOTAL,TOTAL,PC,MK,2008-01-01,: 
TOTAL,TOTAL,PC,MK,2009-01-01,: 
TOTAL,TOTAL,PC,MK,2010-01-01,13.1 
TOTAL,TOTAL,PC,MK,2011-01-01,11.7 
TOTAL,TOTAL,PC,MK,2012-01-01,9.7 
TOTAL,TOTAL,PC,MK,2013-01-01,7.7
TOTAL,TOTAL,PC,MK,2014-01-01,7.7 
TOTAL,TOTAL,PC,MK,2015-01-01,7.5
TOTAL,TOTAL,PC,MK,2016-01-01,7.4 
TOTAL,TOTAL,PC,MK,2017-01-01,: 
TOTAL,TOTAL,PC,MT,2003-01-01,: 
TOTAL,TOTAL,PC,MT,2004-01-01,: 
TOTAL,TOTAL,PC,MT,2005-01-01,23.9 
TOTAL,TOTAL,PC,MT,2006-01-01,25.9 
TOTAL,TOTAL,PC,MT,2007-01-01,24.1 
TOTAL,TOTAL,PC,MT,2008-01-01,24.5 
TOTAL,TOTAL,PC,MT,2009-01-01,28.2 
TOTAL,TOTAL,PC,MT,2010-01-01,27.5 
TOTAL,TOTAL,PC,MT,2011-01-01,30.1 
TOTAL,TOTAL,PC,MT,2012-01-01,29.7 
TOTAL,TOTAL,PC,MT,2013-01-01,31.2
TOTAL,TOTAL,PC,MT,2014-01-01,30.3 
TOTAL,TOTAL,PC,MT,2015-01-01,24.8
TOTAL,TOTAL,PC,MT,2016-01-01,26.2 
TOTAL,TOTAL,PC,MT,2017-01-01,25.0 
TOTAL,TOTAL,PC,NL,2003-01-01,: 
TOTAL,TOTAL,PC,NL,2004-01-01,: 
TOTAL,TOTAL,PC,NL,2005-01-01,33.1 
TOTAL,TOTAL,PC,NL,2006-01-01,31.3 
TOTAL,TOTAL,PC,NL,2007-01-01,32.1 
TOTAL,TOTAL,PC,NL,2008-01-01,29.3 
TOTAL,TOTAL,PC,NL,2009-01-01,25.3 b
TOTAL,TOTAL,PC,NL,2010-01-01,23.6 
TOTAL,TOTAL,PC,NL,2011-01-01,23.6 
TOTAL,TOTAL,PC,NL,2012-01-01,24.2 
TOTAL,TOTAL,PC,NL,2013-01-01,24.1
TOTAL,TOTAL,PC,NL,2014-01-01,25.0 
TOTAL,TOTAL,PC,NL,2015-01-01,24.7
TOTAL,TOTAL,PC,NL,2016-01-01,24.9 b
TOTAL,TOTAL,PC,NL,2017-01-01,25.6 
TOTAL,TOTAL,PC,NO,2003-01-01,12.8 
TOTAL,TOTAL,PC,NO,2004-01-01,11.8 
TOTAL,TOTAL,PC,NO,2005-01-01,11.6 
TOTAL,TOTAL,PC,NO,2006-01-01,11.9 
TOTAL,TOTAL,PC,NO,2007-01-01,12.1 
TOTAL,TOTAL,PC,NO,2008-01-01,12.5 
TOTAL,TOTAL,PC,NO,2009-01-01,11.9 
TOTAL,TOTAL,PC,NO,2010-01-01,11.3 
TOTAL,TOTAL,PC,NO,2011-01-01,12.1 
TOTAL,TOTAL,PC,NO,2012-01-01,10.8 
TOTAL,TOTAL,PC,NO,2013-01-01,11.7
TOTAL,TOTAL,PC,NO,2014-01-01,10.1 
TOTAL,TOTAL,PC,NO,2015-01-01,10.2
TOTAL,TOTAL,PC,NO,2016-01-01,10.1 
TOTAL,TOTAL,PC,NO,2017-01-01,10.7 
TOTAL,TOTAL,PC,PL,2003-01-01,: 
TOTAL,TOTAL,PC,PL,2004-01-01,: 
TOTAL,TOTAL,PC,PL,2005-01-01,21.4 
TOTAL,TOTAL,PC,PL,2006-01-01,19.7 
TOTAL,TOTAL,PC,PL,2007-01-01,19.3 
TOTAL,TOTAL,PC,PL,2008-01-01,18.7 
TOTAL,TOTAL,PC,PL,2009-01-01,17.7 
TOTAL,TOTAL,PC,PL,2010-01-01,16.2 
TOTAL,TOTAL,PC,PL,2011-01-01,14.5 
TOTAL,TOTAL,PC,PL,2012-01-01,14.2 
TOTAL,TOTAL,PC,PL,2013-01-01,14.0
TOTAL,TOTAL,PC,PL,2014-01-01,13.4 
TOTAL,TOTAL,PC,PL,2015-01-01,12.4
TOTAL,TOTAL,PC,PL,2016-01-01,13.0 
TOTAL,TOTAL,PC,PL,2017-01-01,12.4 
TOTAL,TOTAL,PC,PT,2003-01-01,: 
TOTAL,TOTAL,PC,PT,2004-01-01,24.7 
TOTAL,TOTAL,PC,PT,2005-01-01,25.9 
TOTAL,TOTAL,PC,PT,2006-01-01,25.3 
TOTAL,TOTAL,PC,PT,2007-01-01,27.5 
TOTAL,TOTAL,PC,PT,2008-01-01,24.2 
TOTAL,TOTAL,PC,PT,2009-01-01,23.9 
TOTAL,TOTAL,PC,PT,2010-01-01,22.9 
TOTAL,TOTAL,PC,PT,2011-01-01,23.1 
TOTAL,TOTAL,PC,PT,2012-01-01,23.8 
TOTAL,TOTAL,PC,PT,2013-01-01,22.7
TOTAL,TOTAL,PC,PT,2014-01-01,23.6 
TOTAL,TOTAL,PC,PT,2015-01-01,23.0
TOTAL,TOTAL,PC,PT,2016-01-01,23.1 
TOTAL,TOTAL,PC,PT,2017-01-01,23.5 
TOTAL,TOTAL,PC,RO,2003-01-01,: 
TOTAL,TOTAL,PC,RO,2004-01-01,: 
TOTAL,TOTAL,PC,RO,2005-01-01,: 
TOTAL,TOTAL,PC,RO,2006-01-01,: 
TOTAL,TOTAL,PC,RO,2007-01-01,34.4 
TOTAL,TOTAL,PC,RO,2008-01-01,31.3 
TOTAL,TOTAL,PC,RO,2009-01-01,35.1 
TOTAL,TOTAL,PC,RO,2010-01-01,31.6 
TOTAL,TOTAL,PC,RO,2011-01-01,28.3 
TOTAL,TOTAL,PC,RO,2012-01-01,26.4 
TOTAL,TOTAL,PC,RO,2013-01-01,26.4
TOTAL,TOTAL,PC,RO,2014-01-01,23.6 
TOTAL,TOTAL,PC,RO,2015-01-01,22.2
TOTAL,TOTAL,PC,RO,2016-01-01,20.3 
TOTAL,TOTAL,PC,RO,2017-01-01,19.3 
TOTAL,TOTAL,PC,RS,2003-01-01,: 
TOTAL,TOTAL,PC,RS,2004-01-01,: 
TOTAL,TOTAL,PC,RS,2005-01-01,: 
TOTAL,TOTAL,PC,RS,2006-01-01,: 
TOTAL,TOTAL,PC,RS,2007-01-01,: 
TOTAL,TOTAL,PC,RS,2008-01-01,: 
TOTAL,TOTAL,PC,RS,2009-01-01,: 
TOTAL,TOTAL,PC,RS,2010-01-01,: 
TOTAL,TOTAL,PC,RS,2011-01-01,: 
TOTAL,TOTAL,PC,RS,2012-01-01,: 
TOTAL,TOTAL,PC,RS,2013-01-01,12.7
TOTAL,TOTAL,PC,RS,2014-01-01,12.4 
TOTAL,TOTAL,PC,RS,2015-01-01,13.1
TOTAL,TOTAL,PC,RS,2016-01-01,12.2 
TOTAL,TOTAL,PC,RS,2017-01-01,: 
TOTAL,TOTAL,PC,SE,2003-01-01,: 
TOTAL,TOTAL,PC,SE,2004-01-01,11.4 
TOTAL,TOTAL,PC,SE,2005-01-01,11.1 
TOTAL,TOTAL,PC,SE,2006-01-01,12.6 
TOTAL,TOTAL,PC,SE,2007-01-01,12.7 
TOTAL,TOTAL,PC,SE,2008-01-01,14.4 b
TOTAL,TOTAL,PC,SE,2009-01-01,14.3 
TOTAL,TOTAL,PC,SE,2010-01-01,13.1 
TOTAL,TOTAL,PC,SE,2011-01-01,14.1 
TOTAL,TOTAL,PC,SE,2012-01-01,13.8 
TOTAL,TOTAL,PC,SE,2013-01-01,12.9
TOTAL,TOTAL,PC,SE,2014-01-01,13.2 
TOTAL,TOTAL,PC,SE,2015-01-01,12.6
TOTAL,TOTAL,PC,SE,2016-01-01,17.1 
TOTAL,TOTAL,PC,SE,2017-01-01,16.9 
TOTAL,TOTAL,PC,SI,2003-01-01,: 
TOTAL,TOTAL,PC,SI,2004-01-01,: 
TOTAL,TOTAL,PC,SI,2005-01-01,19.8 
TOTAL,TOTAL,PC,SI,2006-01-01,17.5 
TOTAL,TOTAL,PC,SI,2007-01-01,18.7 
TOTAL,TOTAL,PC,SI,2008-01-01,18.7 
TOTAL,TOTAL,PC,SI,2009-01-01,16.7 
TOTAL,TOTAL,PC,SI,2010-01-01,16.5 
TOTAL,TOTAL,PC,SI,2011-01-01,17.2 
TOTAL,TOTAL,PC,SI,2012-01-01,13.8 
TOTAL,TOTAL,PC,SI,2013-01-01,12.3
TOTAL,TOTAL,PC,SI,2014-01-01,13.2 
TOTAL,TOTAL,PC,SI,2015-01-01,12.9
TOTAL,TOTAL,PC,SI,2016-01-01,13.4 
TOTAL,TOTAL,PC,SI,2017-01-01,13.3 
TOTAL,TOTAL,PC,SK,2003-01-01,: 
TOTAL,TOTAL,PC,SK,2004-01-01,: 
TOTAL,TOTAL,PC,SK,2005-01-01,22.8 
TOTAL,TOTAL,PC,SK,2006-01-01,19.4 
TOTAL,TOTAL,PC,SK,2007-01-01,18.9 
TOTAL,TOTAL,PC,SK,2008-01-01,19.3 
TOTAL,TOTAL,PC,SK,2009-01-01,21.9 b
TOTAL,TOTAL,PC,SK,2010-01-01,18.3 
TOTAL,TOTAL,PC,SK,2011-01-01,16.3 
TOTAL,TOTAL,PC,SK,2012-01-01,16.0 
TOTAL,TOTAL,PC,SK,2013-01-01,15.1
TOTAL,TOTAL,PC,SK,2014-01-01,14.0 
TOTAL,TOTAL,PC,SK,2015-01-01,12.8
TOTAL,TOTAL,PC,SK,2016-01-01,12.1 
TOTAL,TOTAL,PC,SK,2017-01-01,12.8 
TOTAL,TOTAL,PC,TR,2003-01-01,: 
TOTAL,TOTAL,PC,TR,2004-01-01,: 
TOTAL,TOTAL,PC,TR,2005-01-01,: 
TOTAL,TOTAL,PC,TR,2006-01-01,25.2 
TOTAL,TOTAL,PC,TR,2007-01-01,23.3 
TOTAL,TOTAL,PC,TR,2008-01-01,21.2 
TOTAL,TOTAL,PC,TR,2009-01-01,20.5 
TOTAL,TOTAL,PC,TR,2010-01-01,: 
TOTAL,TOTAL,PC,TR,2011-01-01,16.3 
TOTAL,TOTAL,PC,TR,2012-01-01,16.0 
TOTAL,TOTAL,PC,TR,2013-01-01,16.4
TOTAL,TOTAL,PC,TR,2014-01-01,15.5 
TOTAL,TOTAL,PC,TR,2015-01-01,16.8
TOTAL,TOTAL,PC,TR,2016-01-01,: 
TOTAL,TOTAL,PC,TR,2017-01-01,: 
TOTAL,TOTAL,PC,UK,2003-01-01,: 
TOTAL,TOTAL,PC,UK,2004-01-01,: 
TOTAL,TOTAL,PC,UK,2005-01-01,23.8 
TOTAL,TOTAL,PC,UK,2006-01-01,22.3 
TOTAL,TOTAL,PC,UK,2007-01-01,19.9 
TOTAL,TOTAL,PC,UK,2008-01-01,19.8 
TOTAL,TOTAL,PC,UK,2009-01-01,20.5 
TOTAL,TOTAL,PC,UK,2010-01-01,20.1 
TOTAL,TOTAL,PC,UK,2011-01-01,19.8 
TOTAL,TOTAL,PC,UK,2012-01-01,18.2 b
TOTAL,TOTAL,PC,UK,2013-01-01,17.0
TOTAL,TOTAL,PC,UK,2014-01-01,17.4 
TOTAL,TOTAL,PC,UK,2015-01-01,16.5
TOTAL,TOTAL,PC,UK,2016-01-01,17.0 
TOTAL,TOTAL,PC,UK,2017-01-01,: 
