lcstruct,nace_r2,unit,geotime,date,value
D1_D4_MD5,B-S,PCH_Q1_SCA,BG,2018-04-01,3.3
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2015-07-01,0.0
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2015-10-01,0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2016-01-01,0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2016-04-01,0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2016-07-01,0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2016-10-01,-0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2017-01-01,0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2017-04-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2017-07-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2017-10-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2018-01-01,0.0
D1_D4_MD5,B-S,PCH_Q1_SCA,CY,2018-04-01,1.4
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2015-07-01,0.9
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2015-10-01,1.8
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2016-01-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2016-04-01,1.0
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2016-07-01,1.9
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2016-10-01,1.3
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2017-01-01,1.5
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2017-04-01,2.2
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2017-07-01,1.9
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2017-10-01,1.6
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2018-01-01,2.9
D1_D4_MD5,B-S,PCH_Q1_SCA,CZ,2018-04-01,2.2
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2015-07-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2015-10-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2016-01-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2016-04-01,-0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2016-07-01,0.9
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2016-10-01,1.3
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2017-01-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2017-04-01,0.3
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2017-07-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2017-10-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2018-01-01,0.9
D1_D4_MD5,B-S,PCH_Q1_SCA,DE,2018-04-01,0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2015-07-01,0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2015-10-01,0.3
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2016-01-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2016-04-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2016-07-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2016-10-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2017-01-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2017-04-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2017-07-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2017-10-01,0.3
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2018-01-01,0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,DK,2018-04-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2015-07-01,0.3
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2015-10-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2016-01-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2016-04-01,0.3
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2016-07-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2016-10-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2017-01-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2017-04-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2017-07-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2017-10-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2018-01-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,EA,2018-04-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2015-07-01,0.3
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2015-10-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2016-01-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2016-04-01,0.3
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2016-07-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2016-10-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2017-01-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2017-04-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2017-07-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2017-10-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2018-01-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,EA19,2018-04-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2015-07-01,1.3
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2015-10-01,1.0
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2016-01-01,2.2
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2016-04-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2016-07-01,1.3
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2016-10-01,1.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2017-01-01,2.1
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2017-04-01,3.0
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2017-07-01,1.7
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2017-10-01,1.0
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2018-01-01,1.0
D1_D4_MD5,B-S,PCH_Q1_SCA,EE,2018-04-01,1.1
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2015-07-01,6.7
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2015-10-01,0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2016-01-01,-2.9
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2016-04-01,2.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2016-07-01,0.8
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2016-10-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2017-01-01,-0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2017-04-01,0.8
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2017-07-01,1.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2017-10-01,1.1
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2018-01-01,1.2
D1_D4_MD5,B-S,PCH_Q1_SCA,EL,2018-04-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2015-07-01,0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2015-10-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2016-01-01,-0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2016-04-01,0.0
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2016-07-01,0.2
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2016-10-01,-0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2017-01-01,0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2017-04-01,0.3
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2017-07-01,-0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2017-10-01,0.9
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2018-01-01,0.0
D1_D4_MD5,B-S,PCH_Q1_SCA,ES,2018-04-01,0.1
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2015-07-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2015-10-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2016-01-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2016-04-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2016-07-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2016-10-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2017-01-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2017-04-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2017-07-01,0.6
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2017-10-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2018-01-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,EU,2018-04-01,0.7
D1_D4_MD5,B-S,PCH_Q1_SCA,EU28,2015-07-01,0.5
D1_D4_MD5,B-S,PCH_Q1_SCA,EU28,2015-10-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EU28,2016-01-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EU28,2016-04-01,0.4
D1_D4_MD5,B-S,PCH_Q1_SCA,EU28,2016-07-01,0.5
