unit,nace_r2,geotime,date,value
RT_INC,TOTAL,HR,2016-01-01,2
RT_INC,TOTAL,HU,2008-01-01,3
RT_INC,TOTAL,HU,2009-01-01,2
RT_INC,TOTAL,HU,2010-01-01,2
RT_INC,TOTAL,HU,2011-01-01,
RT_INC,TOTAL,HU,2012-01-01,
RT_INC,TOTAL,HU,2013-01-01,1
RT_INC,TOTAL,HU,2014-01-01,2
RT_INC,TOTAL,HU,2015-01-01,2
RT_INC,TOTAL,HU,2016-01-01,2
RT_INC,TOTAL,IE,2008-01-01,2
RT_INC,TOTAL,IE,2009-01-01,1
RT_INC,TOTAL,IE,2010-01-01,2
RT_INC,TOTAL,IE,2011-01-01,
RT_INC,TOTAL,IE,2012-01-01,
RT_INC,TOTAL,IE,2013-01-01,2
RT_INC,TOTAL,IE,2014-01-01,2
RT_INC,TOTAL,IE,2015-01-01,2
RT_INC,TOTAL,IE,2016-01-01,2
RT_INC,TOTAL,IS,2008-01-01,
RT_INC,TOTAL,IS,2009-01-01,
RT_INC,TOTAL,IS,2010-01-01,
RT_INC,TOTAL,IS,2011-01-01,
RT_INC,TOTAL,IS,2012-01-01,
RT_INC,TOTAL,IS,2013-01-01,0
RT_INC,TOTAL,IS,2014-01-01,
RT_INC,TOTAL,IS,2015-01-01,
RT_INC,TOTAL,IS,2016-01-01,
RT_INC,TOTAL,IT,2008-01-01,3
RT_INC,TOTAL,IT,2009-01-01,3
RT_INC,TOTAL,IT,2010-01-01,3
RT_INC,TOTAL,IT,2011-01-01,
RT_INC,TOTAL,IT,2012-01-01,
RT_INC,TOTAL,IT,2013-01-01,2
RT_INC,TOTAL,IT,2014-01-01,2
RT_INC,TOTAL,IT,2015-01-01,2
RT_INC,TOTAL,IT,2016-01-01,2
RT_INC,TOTAL,LT,2008-01-01,6
RT_INC,TOTAL,LT,2009-01-01,4
RT_INC,TOTAL,LT,2010-01-01,4
RT_INC,TOTAL,LT,2011-01-01,
RT_INC,TOTAL,LT,2012-01-01,
RT_INC,TOTAL,LT,2013-01-01,4
RT_INC,TOTAL,LT,2014-01-01,4
RT_INC,TOTAL,LT,2015-01-01,3
RT_INC,TOTAL,LT,2016-01-01,3
RT_INC,TOTAL,LU,2008-01-01,2
RT_INC,TOTAL,LU,2009-01-01,1
RT_INC,TOTAL,LU,2010-01-01,3
RT_INC,TOTAL,LU,2011-01-01,
RT_INC,TOTAL,LU,2012-01-01,
RT_INC,TOTAL,LU,2013-01-01,1
RT_INC,TOTAL,LU,2014-01-01,2
RT_INC,TOTAL,LU,2015-01-01,3
RT_INC,TOTAL,LU,2016-01-01,6
RT_INC,TOTAL,LV,2008-01-01,4
