sitc06,partner,indic_et,geo\time,date,value
SITC3,WORLD,MIO_BAL_VAL,AT,2002-01-01,-1.7
SITC3,WORLD,MIO_BAL_VAL,AT,2003-01-01,-1.9
SITC3,WORLD,MIO_BAL_VAL,AT,2004-01-01,-2.1
SITC3,WORLD,MIO_BAL_VAL,AT,2005-01-01,-2.9
SITC3,WORLD,MIO_BAL_VAL,AT,2006-01-01,-3.5
SITC3,WORLD,MIO_BAL_VAL,AT,2007-01-01,-2.8
SITC3,WORLD,MIO_BAL_VAL,AT,2008-01-01,-3.5
SITC3,WORLD,MIO_BAL_VAL,AT,2009-01-01,-2.4
SITC3,WORLD,MIO_BAL_VAL,AT,2010-01-01,-2.9
SITC3,WORLD,MIO_BAL_VAL,AT,2011-01-01,-3.7 
SITC3,WORLD,MIO_BAL_VAL,AT,2012-01-01,-3.9 
SITC3,WORLD,MIO_BAL_VAL,AT,2013-01-01,-3.5 
SITC3,WORLD,MIO_BAL_VAL,AT,2014-01-01,-3.0 
SITC3,WORLD,MIO_BAL_VAL,AT,2015-01-01,-2.3 
SITC3,WORLD,MIO_BAL_VAL,AT,2016-01-01,-1.9 
SITC3,WORLD,MIO_BAL_VAL,AT,2017-01-01,-2.1 
SITC3,WORLD,MIO_BAL_VAL,BE,2002-01-01,-2.4
SITC3,WORLD,MIO_BAL_VAL,BE,2003-01-01,-2.1
SITC3,WORLD,MIO_BAL_VAL,BE,2004-01-01,-2.7
SITC3,WORLD,MIO_BAL_VAL,BE,2005-01-01,-4.3
SITC3,WORLD,MIO_BAL_VAL,BE,2006-01-01,-4.5
SITC3,WORLD,MIO_BAL_VAL,BE,2007-01-01,-3.6
SITC3,WORLD,MIO_BAL_VAL,BE,2008-01-01,-5.3
SITC3,WORLD,MIO_BAL_VAL,BE,2009-01-01,-3.2
SITC3,WORLD,MIO_BAL_VAL,BE,2010-01-01,-3.7
SITC3,WORLD,MIO_BAL_VAL,BE,2011-01-01,-4.6 
SITC3,WORLD,MIO_BAL_VAL,BE,2012-01-01,-5.0 
SITC3,WORLD,MIO_BAL_VAL,BE,2013-01-01,-4.5 
SITC3,WORLD,MIO_BAL_VAL,BE,2014-01-01,-3.8 
SITC3,WORLD,MIO_BAL_VAL,BE,2015-01-01,-2.7 
SITC3,WORLD,MIO_BAL_VAL,BE,2016-01-01,-2.2 
SITC3,WORLD,MIO_BAL_VAL,BE,2017-01-01,-2.5 
SITC3,WORLD,MIO_BAL_VAL,BG,2002-01-01,0.5
SITC3,WORLD,MIO_BAL_VAL,BG,2003-01-01,0.1
SITC3,WORLD,MIO_BAL_VAL,BG,2004-01-01,0.9
SITC3,WORLD,MIO_BAL_VAL,BG,2005-01-01,0.8
SITC3,WORLD,MIO_BAL_VAL,BG,2006-01-01,2.3
SITC3,WORLD,MIO_BAL_VAL,BG,2007-01-01,-7.3
SITC3,WORLD,MIO_BAL_VAL,BG,2008-01-01,-8.0
SITC3,WORLD,MIO_BAL_VAL,BG,2009-01-01,-5.0
SITC3,WORLD,MIO_BAL_VAL,BG,2010-01-01,-5.7
SITC3,WORLD,MIO_BAL_VAL,BG,2011-01-01,-6.3 
SITC3,WORLD,MIO_BAL_VAL,BG,2012-01-01,-6.9 
SITC3,WORLD,MIO_BAL_VAL,BG,2013-01-01,-6.2 
SITC3,WORLD,MIO_BAL_VAL,BG,2014-01-01,-5.6 
SITC3,WORLD,MIO_BAL_VAL,BG,2015-01-01,-3.8 
SITC3,WORLD,MIO_BAL_VAL,BG,2016-01-01,-2.4 
SITC3,WORLD,MIO_BAL_VAL,BG,2017-01-01,-4.2 
SITC3,WORLD,MIO_BAL_VAL,CY,2002-01-01,-3.3
SITC3,WORLD,MIO_BAL_VAL,CY,2003-01-01,-2.1
SITC3,WORLD,MIO_BAL_VAL,CY,2004-01-01,-3.2
SITC3,WORLD,MIO_BAL_VAL,CY,2005-01-01,-4.3
SITC3,WORLD,MIO_BAL_VAL,CY,2006-01-01,-5.0
SITC3,WORLD,MIO_BAL_VAL,CY,2007-01-01,-5.1
SITC3,WORLD,MIO_BAL_VAL,CY,2008-01-01,-6.4
SITC3,WORLD,MIO_BAL_VAL,CY,2009-01-01,-4.6
SITC3,WORLD,MIO_BAL_VAL,CY,2010-01-01,-6.0
SITC3,WORLD,MIO_BAL_VAL,CY,2011-01-01,-6.8 
SITC3,WORLD,MIO_BAL_VAL,CY,2012-01-01,-7.5 
