intrt,geotime,date,value
MCBY,AT,2017-10-01,0
MCBY,AT,2017-11-01,0
MCBY,AT,2017-12-01,0
MCBY,AT,2018-01-01,0
MCBY,AT,2018-02-01,0
MCBY,AT,2018-03-01,0
MCBY,AT,2018-04-01,0
MCBY,AT,2018-05-01,0
MCBY,AT,2018-06-01,0
MCBY,AT,2018-07-01,0
MCBY,AT,2018-08-01,0
MCBY,AT,2018-09-01,0
MCBY,BE,2017-10-01,0
MCBY,BE,2017-11-01,0
MCBY,BE,2017-12-01,0
MCBY,BE,2018-01-01,0
MCBY,BE,2018-02-01,0
MCBY,BE,2018-03-01,0
MCBY,BE,2018-04-01,0
MCBY,BE,2018-05-01,0
MCBY,BE,2018-06-01,0
MCBY,BE,2018-07-01,0
MCBY,BE,2018-08-01,0
MCBY,BE,2018-09-01,0
MCBY,BG,2017-10-01,1
MCBY,BG,2017-11-01,1
MCBY,BG,2017-12-01,1
MCBY,BG,2018-01-01,0
MCBY,BG,2018-02-01,0
MCBY,BG,2018-03-01,1
MCBY,BG,2018-04-01,1
MCBY,BG,2018-05-01,1
MCBY,BG,2018-06-01,0
MCBY,BG,2018-07-01,0
MCBY,BG,2018-08-01,0
MCBY,BG,2018-09-01,0
MCBY,CY,2017-10-01,1
MCBY,CY,2017-11-01,1
MCBY,CY,2017-12-01,1
MCBY,CY,2018-01-01,1
MCBY,CY,2018-02-01,1
MCBY,CY,2018-03-01,1
MCBY,CY,2018-04-01,2
MCBY,CY,2018-05-01,2
MCBY,CY,2018-06-01,2
MCBY,CY,2018-07-01,2
MCBY,CY,2018-08-01,2
MCBY,CY,2018-09-01,2
MCBY,CZ,2017-10-01,1
MCBY,CZ,2017-11-01,1
MCBY,CZ,2017-12-01,1
MCBY,CZ,2018-01-01,1
MCBY,CZ,2018-02-01,1
MCBY,CZ,2018-03-01,1
MCBY,CZ,2018-04-01,1
MCBY,CZ,2018-05-01,1
MCBY,CZ,2018-06-01,2
MCBY,CZ,2018-07-01,2
MCBY,CZ,2018-08-01,2
MCBY,CZ,2018-09-01,2
MCBY,DE,2017-10-01,0
MCBY,DE,2017-11-01,0
MCBY,DE,2017-12-01,0
MCBY,DE,2018-01-01,0
MCBY,DE,2018-02-01,0
MCBY,DE,2018-03-01,0
MCBY,DE,2018-04-01,0
MCBY,DE,2018-05-01,0
MCBY,DE,2018-06-01,0
MCBY,DE,2018-07-01,0
MCBY,DE,2018-08-01,0
MCBY,DE,2018-09-01,0
MCBY,DK,2017-10-01,0
MCBY,DK,2017-11-01,0
MCBY,DK,2017-12-01,0
MCBY,DK,2018-01-01,0
MCBY,DK,2018-02-01,0
MCBY,DK,2018-03-01,0
MCBY,DK,2018-04-01,0
MCBY,DK,2018-05-01,0
MCBY,DK,2018-06-01,0
MCBY,DK,2018-07-01,0
MCBY,DK,2018-08-01,0
MCBY,DK,2018-09-01,0
MCBY,EA,2017-10-01,1
MCBY,EA,2017-11-01,0
MCBY,EA,2017-12-01,0
MCBY,EA,2018-01-01,1
MCBY,EA,2018-02-01,1
MCBY,EA,2018-03-01,1
MCBY,EA,2018-04-01,0
MCBY,EA,2018-05-01,1
MCBY,EA,2018-06-01,1
MCBY,EA,2018-07-01,1
MCBY,EA,2018-08-01,1
MCBY,EA,2018-09-01,1
MCBY,EE,2017-10-01,
MCBY,EE,2017-11-01,
MCBY,EE,2017-12-01,
MCBY,EE,2018-01-01,
MCBY,EE,2018-02-01,
MCBY,EE,2018-03-01,
MCBY,EE,2018-04-01,
MCBY,EE,2018-05-01,
MCBY,EE,2018-06-01,
MCBY,EE,2018-07-01,
MCBY,EE,2018-08-01,
MCBY,EE,2018-09-01,
MCBY,EL,2017-10-01,5
MCBY,EL,2017-11-01,5
MCBY,EL,2017-12-01,4
MCBY,EL,2018-01-01,3
MCBY,EL,2018-02-01,4
MCBY,EL,2018-03-01,4
MCBY,EL,2018-04-01,4
MCBY,EL,2018-05-01,4
MCBY,EL,2018-06-01,4
MCBY,EL,2018-07-01,3
MCBY,EL,2018-08-01,4
MCBY,EL,2018-09-01,4
MCBY,ES,2017-10-01,1
MCBY,ES,2017-11-01,1
MCBY,ES,2017-12-01,1
MCBY,ES,2018-01-01,1
MCBY,ES,2018-02-01,1
MCBY,ES,2018-03-01,1
MCBY,ES,2018-04-01,1
MCBY,ES,2018-05-01,1
MCBY,ES,2018-06-01,1
MCBY,ES,2018-07-01,1
MCBY,ES,2018-08-01,1
MCBY,ES,2018-09-01,1
MCBY,EU28,2017-10-01,1
MCBY,EU28,2017-11-01,1
MCBY,EU28,2017-12-01,1
MCBY,EU28,2018-01-01,1
MCBY,EU28,2018-02-01,1
MCBY,EU28,2018-03-01,1
MCBY,EU28,2018-04-01,1
MCBY,EU28,2018-05-01,1
MCBY,EU28,2018-06-01,1
MCBY,EU28,2018-07-01,1
MCBY,EU28,2018-08-01,1
MCBY,EU28,2018-09-01,1
MCBY,FI,2017-10-01,0
MCBY,FI,2017-11-01,0
MCBY,FI,2017-12-01,0
MCBY,FI,2018-01-01,0
MCBY,FI,2018-02-01,0
MCBY,FI,2018-03-01,0
MCBY,FI,2018-04-01,0
MCBY,FI,2018-05-01,0
MCBY,FI,2018-06-01,0
MCBY,FI,2018-07-01,0
MCBY,FI,2018-08-01,0
MCBY,FI,2018-09-01,0
MCBY,FR,2017-10-01,0
MCBY,FR,2017-11-01,0
MCBY,FR,2017-12-01,0
MCBY,FR,2018-01-01,0
MCBY,FR,2018-02-01,0
MCBY,FR,2018-03-01,0
MCBY,FR,2018-04-01,0
MCBY,FR,2018-05-01,0
MCBY,FR,2018-06-01,0
MCBY,FR,2018-07-01,0
MCBY,FR,2018-08-01,0
MCBY,FR,2018-09-01,0
MCBY,HR,2017-10-01,2
MCBY,HR,2017-11-01,2
