coicop,unit,geo\time,date,value
CP06,I15,EA19,2018-03-01,102.44 
CP06,I15,EA19,2018-04-01,102.65 
CP06,I15,EA19,2018-05-01,102.71 
CP06,I15,EA19,2018-06-01,102.79 
CP06,I15,EA19,2018-07-01,102.84 
CP06,I15,EA19,2018-08-01,102.63 
CP06,I15,EA19,2018-09-01,102.81 
CP06,I15,EE,2017-10-01,103.15 
CP06,I15,EE,2017-11-01,102.98 
CP06,I15,EE,2017-12-01,103.21 
CP06,I15,EE,2018-01-01,105.51 
CP06,I15,EE,2018-02-01,106.38 
CP06,I15,EE,2018-03-01,106.60 
CP06,I15,EE,2018-04-01,107.75 
CP06,I15,EE,2018-05-01,107.73 
CP06,I15,EE,2018-06-01,108.09 
CP06,I15,EE,2018-07-01,108.23 
CP06,I15,EE,2018-08-01,108.41 
CP06,I15,EE,2018-09-01,107.84 
CP06,I15,EL,2017-10-01,99.57 
CP06,I15,EL,2017-11-01,99.56 
CP06,I15,EL,2017-12-01,99.57 
CP06,I15,EL,2018-01-01,99.91 
CP06,I15,EL,2018-02-01,99.92 
CP06,I15,EL,2018-03-01,99.45 
CP06,I15,EL,2018-04-01,99.80 
CP06,I15,EL,2018-05-01,99.78 
CP06,I15,EL,2018-06-01,99.80 
CP06,I15,EL,2018-07-01,99.80 
CP06,I15,EL,2018-08-01,100.24 
CP06,I15,EL,2018-09-01,100.29 
CP06,I15,ES,2017-10-01,101.12 
CP06,I15,ES,2017-11-01,101.03 
CP06,I15,ES,2017-12-01,101.08 
CP06,I15,ES,2018-01-01,101.12 
CP06,I15,ES,2018-02-01,101.09 
CP06,I15,ES,2018-03-01,101.17 
CP06,I15,ES,2018-04-01,101.27 
CP06,I15,ES,2018-05-01,101.54 
CP06,I15,ES,2018-06-01,101.59 
CP06,I15,ES,2018-07-01,101.48 
CP06,I15,ES,2018-08-01,101.31 
CP06,I15,ES,2018-09-01,101.36 
CP06,I15,EU,2017-10-01,102.22 
CP06,I15,EU,2017-11-01,102.24 
CP06,I15,EU,2017-12-01,102.30 
CP06,I15,EU,2018-01-01,102.54 
CP06,I15,EU,2018-02-01,102.70 
CP06,I15,EU,2018-03-01,102.75 
CP06,I15,EU,2018-04-01,103.03 
CP06,I15,EU,2018-05-01,103.13 
CP06,I15,EU,2018-06-01,103.22 
CP06,I15,EU,2018-07-01,103.26 
CP06,I15,EU,2018-08-01,103.16 r
CP06,I15,EU,2018-09-01,103.31 
CP06,I15,EU28,2017-10-01,102.22 
CP06,I15,EU28,2017-11-01,102.24 
CP06,I15,EU28,2017-12-01,102.30 
CP06,I15,EU28,2018-01-01,102.54 
CP06,I15,EU28,2018-02-01,102.70 
CP06,I15,EU28,2018-03-01,102.75 
CP06,I15,EU28,2018-04-01,103.03 
CP06,I15,EU28,2018-05-01,103.13 
CP06,I15,EU28,2018-06-01,103.22 
CP06,I15,EU28,2018-07-01,103.26 
CP06,I15,EU28,2018-08-01,103.16 r
CP06,I15,EU28,2018-09-01,103.31 
CP06,I15,FI,2017-10-01,107.49 
CP06,I15,FI,2017-11-01,107.49 
CP06,I15,FI,2017-12-01,107.61 
CP06,I15,FI,2018-01-01,107.69 
CP06,I15,FI,2018-02-01,107.76 
CP06,I15,FI,2018-03-01,107.78 
CP06,I15,FI,2018-04-01,112.35 
CP06,I15,FI,2018-05-01,112.32 
CP06,I15,FI,2018-06-01,112.43 
CP06,I15,FI,2018-07-01,110.89 
CP06,I15,FI,2018-08-01,110.67 
CP06,I15,FI,2018-09-01,110.82 
CP06,I15,FR,2017-10-01,99.99 
CP06,I15,FR,2017-11-01,99.69 
CP06,I15,FR,2017-12-01,99.94 
