unit,vehicle,geo\time,date,value
PC,BUS_TOT,AT,1990-01-01,11 b
PC,BUS_TOT,AT,1991-01-01,10.6 
PC,BUS_TOT,AT,1992-01-01,10.5 
PC,BUS_TOT,AT,1993-01-01,10.7 
PC,BUS_TOT,AT,1994-01-01,10.6 
PC,BUS_TOT,AT,1995-01-01,10.9 
PC,BUS_TOT,AT,1996-01-01,10.7 
PC,BUS_TOT,AT,1997-01-01,10.9 
PC,BUS_TOT,AT,1998-01-01,10.9 
PC,BUS_TOT,AT,1999-01-01,10.7 
PC,BUS_TOT,AT,2000-01-01,11.3 e
PC,BUS_TOT,AT,2001-01-01,11.2 e
PC,BUS_TOT,AT,2002-01-01,11.2 e
PC,BUS_TOT,AT,2003-01-01,11.2 e
PC,BUS_TOT,AT,2004-01-01,11.3 e
PC,BUS_TOT,AT,2005-01-01,10.9 e
PC,BUS_TOT,AT,2006-01-01,10.7 e
PC,BUS_TOT,AT,2007-01-01,11.1 e
PC,BUS_TOT,AT,2008-01-01,10.6 e
PC,BUS_TOT,AT,2009-01-01,10 e
PC,BUS_TOT,AT,2010-01-01,10.6 e
PC,BUS_TOT,AT,2011-01-01,10.4 e
PC,BUS_TOT,AT,2012-01-01,10.4 e
PC,BUS_TOT,AT,2013-01-01,10.3 e
PC,BUS_TOT,AT,2014-01-01,10.3 e
PC,BUS_TOT,AT,2015-01-01,10.2 e
PC,BUS_TOT,AT,2016-01-01,10.2 e
PC,BUS_TOT,BE,1990-01-01,10.6 
PC,BUS_TOT,BE,1991-01-01,10.7 
PC,BUS_TOT,BE,1992-01-01,10.7 
PC,BUS_TOT,BE,1993-01-01,10.9 
PC,BUS_TOT,BE,1994-01-01,11.8 
PC,BUS_TOT,BE,1995-01-01,11.3 
PC,BUS_TOT,BE,1996-01-01,11.3 
PC,BUS_TOT,BE,1997-01-01,11.1 
PC,BUS_TOT,BE,1998-01-01,11 
PC,BUS_TOT,BE,1999-01-01,10.9 e
PC,BUS_TOT,BE,2000-01-01,10.8 
PC,BUS_TOT,BE,2001-01-01,11 
PC,BUS_TOT,BE,2002-01-01,11.7 
PC,BUS_TOT,BE,2003-01-01,13 
PC,BUS_TOT,BE,2004-01-01,13.2 
PC,BUS_TOT,BE,2005-01-01,13.6 
PC,BUS_TOT,BE,2006-01-01,13.9 
PC,BUS_TOT,BE,2007-01-01,14.1 
PC,BUS_TOT,BE,2008-01-01,13 
PC,BUS_TOT,BE,2009-01-01,13 
PC,BUS_TOT,BE,2010-01-01,12.7 
PC,BUS_TOT,BE,2011-01-01,12.8 
PC,BUS_TOT,BE,2012-01-01,12.9 
PC,BUS_TOT,BE,2013-01-01,11.9 b
PC,BUS_TOT,BE,2014-01-01,11.4 
PC,BUS_TOT,BE,2015-01-01,10.9 
PC,BUS_TOT,BE,2016-01-01,10.5 
PC,BUS_TOT,BG,1990-01-01,: 
PC,BUS_TOT,BG,1991-01-01,: 
PC,BUS_TOT,BG,1992-01-01,: 
PC,BUS_TOT,BG,1993-01-01,: 
PC,BUS_TOT,BG,1994-01-01,: 
PC,BUS_TOT,BG,1995-01-01,29.3 
PC,BUS_TOT,BG,1996-01-01,25.3 
PC,BUS_TOT,BG,1997-01-01,24 
PC,BUS_TOT,BG,1998-01-01,24.5 
PC,BUS_TOT,BG,1999-01-01,21.9 
PC,BUS_TOT,BG,2000-01-01,31.4 b
PC,BUS_TOT,BG,2001-01-01,32 
PC,BUS_TOT,BG,2002-01-01,33.4 
PC,BUS_TOT,BG,2003-01-01,28.1 
PC,BUS_TOT,BG,2004-01-01,25 
PC,BUS_TOT,BG,2005-01-01,24.3 
PC,BUS_TOT,BG,2006-01-01,22.7 
PC,BUS_TOT,BG,2007-01-01,21.8 
PC,BUS_TOT,BG,2008-01-01,20.8 r
PC,BUS_TOT,BG,2009-01-01,16.8 
PC,BUS_TOT,BG,2010-01-01,16.4 
PC,BUS_TOT,BG,2011-01-01,15.9 
PC,BUS_TOT,BG,2012-01-01,14.8 
PC,BUS_TOT,BG,2013-01-01,14 
PC,BUS_TOT,BG,2014-01-01,15.1 
PC,BUS_TOT,BG,2015-01-01,14.6 
PC,BUS_TOT,BG,2016-01-01,14.1 
PC,BUS_TOT,CH,1990-01-01,3.7 
PC,BUS_TOT,CH,1991-01-01,3.9 
PC,BUS_TOT,CH,1992-01-01,4 
PC,BUS_TOT,CH,1993-01-01,3.9 
PC,BUS_TOT,CH,1994-01-01,3.9 
PC,BUS_TOT,CH,1995-01-01,3.6 
PC,BUS_TOT,CH,1996-01-01,3.5 
PC,BUS_TOT,CH,1997-01-01,3.4 
PC,BUS_TOT,CH,1998-01-01,5.1 
PC,BUS_TOT,CH,1999-01-01,5 
PC,BUS_TOT,CH,2000-01-01,5.2 
PC,BUS_TOT,CH,2001-01-01,5.2 
PC,BUS_TOT,CH,2002-01-01,5.1 
PC,BUS_TOT,CH,2003-01-01,5.2 
PC,BUS_TOT,CH,2004-01-01,5.2 
PC,BUS_TOT,CH,2005-01-01,5.3 
PC,BUS_TOT,CH,2006-01-01,5.6 
PC,BUS_TOT,CH,2007-01-01,5.5 
PC,BUS_TOT,CH,2008-01-01,5.2 
PC,BUS_TOT,CH,2009-01-01,5.1 
PC,BUS_TOT,CH,2010-01-01,5.1 
PC,BUS_TOT,CH,2011-01-01,5.7 
PC,BUS_TOT,CH,2012-01-01,5.7 
PC,BUS_TOT,CH,2013-01-01,5.7 
PC,BUS_TOT,CH,2014-01-01,5.8 
PC,BUS_TOT,CH,2015-01-01,5.9 
PC,BUS_TOT,CH,2016-01-01,5.9 
PC,BUS_TOT,CY,1990-01-01,: 
PC,BUS_TOT,CY,1991-01-01,: 
PC,BUS_TOT,CY,1992-01-01,: 
PC,BUS_TOT,CY,1993-01-01,: 
PC,BUS_TOT,CY,1994-01-01,: 
PC,BUS_TOT,CY,1995-01-01,22.7 e
PC,BUS_TOT,CY,1996-01-01,22.9 e
PC,BUS_TOT,CY,1997-01-01,22.6 e
PC,BUS_TOT,CY,1998-01-01,22.3 e
PC,BUS_TOT,CY,1999-01-01,22.1 e
PC,BUS_TOT,CY,2000-01-01,22.3 e
PC,BUS_TOT,CY,2001-01-01,22.5 e
PC,BUS_TOT,CY,2002-01-01,22.6 e
PC,BUS_TOT,CY,2003-01-01,23.6 e
PC,BUS_TOT,CY,2004-01-01,21.2 e
PC,BUS_TOT,CY,2005-01-01,20.8 e
PC,BUS_TOT,CY,2006-01-01,20.4 e
PC,BUS_TOT,CY,2007-01-01,19.7 e
PC,BUS_TOT,CY,2008-01-01,18.8 e
PC,BUS_TOT,CY,2009-01-01,17.6 e
PC,BUS_TOT,CY,2010-01-01,18.1 e
PC,BUS_TOT,CY,2011-01-01,18.3 e
PC,BUS_TOT,CY,2012-01-01,18.7 e
PC,BUS_TOT,CY,2013-01-01,18.5 e
PC,BUS_TOT,CY,2014-01-01,18.2 e
PC,BUS_TOT,CY,2015-01-01,18.7 e
PC,BUS_TOT,CY,2016-01-01,18.6 e
PC,BUS_TOT,CZ,1990-01-01,: 
PC,BUS_TOT,CZ,1991-01-01,: 
PC,BUS_TOT,CZ,1992-01-01,: 
PC,BUS_TOT,CZ,1993-01-01,19.1 
PC,BUS_TOT,CZ,1994-01-01,17 
PC,BUS_TOT,CZ,1995-01-01,15.8 
PC,BUS_TOT,CZ,1996-01-01,20.1 
PC,BUS_TOT,CZ,1997-01-01,19 
PC,BUS_TOT,CZ,1998-01-01,18.7 
PC,BUS_TOT,CZ,1999-01-01,18.2 
PC,BUS_TOT,CZ,2000-01-01,18.6 
PC,BUS_TOT,CZ,2001-01-01,19.9 
PC,BUS_TOT,CZ,2002-01-01,18.7 
PC,BUS_TOT,CZ,2003-01-01,17.2 
PC,BUS_TOT,CZ,2004-01-01,16 
PC,BUS_TOT,CZ,2005-01-01,17.2 
PC,BUS_TOT,CZ,2006-01-01,17.3 
PC,BUS_TOT,CZ,2007-01-01,17 r
PC,BUS_TOT,CZ,2008-01-01,16.9 
PC,BUS_TOT,CZ,2009-01-01,16.9 
PC,BUS_TOT,CZ,2010-01-01,19.5 
PC,BUS_TOT,CZ,2011-01-01,18 
PC,BUS_TOT,CZ,2012-01-01,17.7 
PC,BUS_TOT,CZ,2013-01-01,17.9 
PC,BUS_TOT,CZ,2014-01-01,18.5 
PC,BUS_TOT,CZ,2015-01-01,17.3 
PC,BUS_TOT,CZ,2016-01-01,17.1 
PC,BUS_TOT,DE,1990-01-01,9.1 
PC,BUS_TOT,DE,1991-01-01,8.5 
PC,BUS_TOT,DE,1992-01-01,8.3 
PC,BUS_TOT,DE,1993-01-01,8.1 
PC,BUS_TOT,DE,1994-01-01,7.3 
PC,BUS_TOT,DE,1995-01-01,7.2 
PC,BUS_TOT,DE,1996-01-01,7.1 
PC,BUS_TOT,DE,1997-01-01,7.1 
PC,BUS_TOT,DE,1998-01-01,7 
PC,BUS_TOT,DE,1999-01-01,6.9 
PC,BUS_TOT,DE,2000-01-01,7.1 
PC,BUS_TOT,DE,2001-01-01,6.9 
PC,BUS_TOT,DE,2002-01-01,6.7 
PC,BUS_TOT,DE,2003-01-01,6.8 
PC,BUS_TOT,DE,2004-01-01,6.7 
PC,BUS_TOT,DE,2005-01-01,6.7 
PC,BUS_TOT,DE,2006-01-01,6.6 
PC,BUS_TOT,DE,2007-01-01,6.5 
PC,BUS_TOT,DE,2008-01-01,6.3 
PC,BUS_TOT,DE,2009-01-01,6.1 
PC,BUS_TOT,DE,2010-01-01,6 
PC,BUS_TOT,DE,2011-01-01,5.8 
PC,BUS_TOT,DE,2012-01-01,5.6 
PC,BUS_TOT,DE,2013-01-01,5.7 
PC,BUS_TOT,DE,2014-01-01,5.8 
PC,BUS_TOT,DE,2015-01-01,6 
PC,BUS_TOT,DE,2016-01-01,5.8 
PC,BUS_TOT,DK,1990-01-01,11.3 
PC,BUS_TOT,DK,1991-01-01,11.1 
PC,BUS_TOT,DK,1992-01-01,11.1 
PC,BUS_TOT,DK,1993-01-01,11.2 
PC,BUS_TOT,DK,1994-01-01,11.3 
PC,BUS_TOT,DK,1995-01-01,12 
PC,BUS_TOT,DK,1996-01-01,12.5 
PC,BUS_TOT,DK,1997-01-01,12.1 
PC,BUS_TOT,DK,1998-01-01,11.9 
PC,BUS_TOT,DK,1999-01-01,11.6 
PC,BUS_TOT,DK,2000-01-01,11.7 
PC,BUS_TOT,DK,2001-01-01,11.7 
PC,BUS_TOT,DK,2002-01-01,11.7 
PC,BUS_TOT,DK,2003-01-01,11.6 
PC,BUS_TOT,DK,2004-01-01,11.4 
PC,BUS_TOT,DK,2005-01-01,11.4 
PC,BUS_TOT,DK,2006-01-01,11.2 
PC,BUS_TOT,DK,2007-01-01,10.7 
PC,BUS_TOT,DK,2008-01-01,10.5 
PC,BUS_TOT,DK,2009-01-01,10.4 
PC,BUS_TOT,DK,2010-01-01,10.5 
PC,BUS_TOT,DK,2011-01-01,10.1 
PC,BUS_TOT,DK,2012-01-01,9.8 
PC,BUS_TOT,DK,2013-01-01,9.8 
PC,BUS_TOT,DK,2014-01-01,9.7 
PC,BUS_TOT,DK,2015-01-01,9.8 
PC,BUS_TOT,DK,2016-01-01,9.8 
PC,BUS_TOT,EE,1990-01-01,: 
PC,BUS_TOT,EE,1991-01-01,: 
PC,BUS_TOT,EE,1992-01-01,: 
PC,BUS_TOT,EE,1993-01-01,: 
PC,BUS_TOT,EE,1994-01-01,: 
PC,BUS_TOT,EE,1995-01-01,: 
PC,BUS_TOT,EE,1996-01-01,: 
PC,BUS_TOT,EE,1997-01-01,: 
PC,BUS_TOT,EE,1998-01-01,24 
PC,BUS_TOT,EE,1999-01-01,22.2 
PC,BUS_TOT,EE,2000-01-01,27.5 
PC,BUS_TOT,EE,2001-01-01,26 
PC,BUS_TOT,EE,2002-01-01,24.4 
PC,BUS_TOT,EE,2003-01-01,22.6 
PC,BUS_TOT,EE,2004-01-01,23.6 
PC,BUS_TOT,EE,2005-01-01,21.1 
PC,BUS_TOT,EE,2006-01-01,22 
PC,BUS_TOT,EE,2007-01-01,20.7 
PC,BUS_TOT,EE,2008-01-01,18.5 
PC,BUS_TOT,EE,2009-01-01,16.4 
PC,BUS_TOT,EE,2010-01-01,16.6 
PC,BUS_TOT,EE,2011-01-01,16.3 
PC,BUS_TOT,EE,2012-01-01,16.8 
PC,BUS_TOT,EE,2013-01-01,17.4 
PC,BUS_TOT,EE,2014-01-01,16.5 
PC,BUS_TOT,EE,2015-01-01,20 
PC,BUS_TOT,EE,2016-01-01,17.9 
PC,BUS_TOT,EL,1990-01-01,32.4 
PC,BUS_TOT,EL,1991-01-01,31.8 
PC,BUS_TOT,EL,1992-01-01,32.2 
PC,BUS_TOT,EL,1993-01-01,31.7 
PC,BUS_TOT,EL,1994-01-01,31.1 
PC,BUS_TOT,EL,1995-01-01,30.7 
PC,BUS_TOT,EL,1996-01-01,29.6 
PC,BUS_TOT,EL,1997-01-01,28.5 
