s_adj,nace_r2,unit,indic_bt,geotime,date,value
SCA,B-E36,I2015_SCA,EMPL,DE,2017-10-01,102
SCA,B-E36,I2015_SCA,EMPL,DE,2018-01-01,104
SCA,B-E36,I2015_SCA,EMPL,DE,2018-04-01,104
SCA,B-E36,I2015_SCA,EMPL,DK,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,DK,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,DK,2016-01-01,101
SCA,B-E36,I2015_SCA,EMPL,DK,2016-04-01,101
SCA,B-E36,I2015_SCA,EMPL,DK,2016-07-01,102
SCA,B-E36,I2015_SCA,EMPL,DK,2016-10-01,102
SCA,B-E36,I2015_SCA,EMPL,DK,2017-01-01,102
SCA,B-E36,I2015_SCA,EMPL,DK,2017-04-01,103
SCA,B-E36,I2015_SCA,EMPL,DK,2017-07-01,103
SCA,B-E36,I2015_SCA,EMPL,DK,2017-10-01,104
SCA,B-E36,I2015_SCA,EMPL,DK,2018-01-01,104
SCA,B-E36,I2015_SCA,EMPL,DK,2018-04-01,104
SCA,B-E36,I2015_SCA,EMPL,EA19,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,EA19,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,EA19,2016-01-01,100
SCA,B-E36,I2015_SCA,EMPL,EA19,2016-04-01,100
SCA,B-E36,I2015_SCA,EMPL,EA19,2016-07-01,100
SCA,B-E36,I2015_SCA,EMPL,EA19,2016-10-01,101
SCA,B-E36,I2015_SCA,EMPL,EA19,2017-01-01,101
SCA,B-E36,I2015_SCA,EMPL,EA19,2017-04-01,101
SCA,B-E36,I2015_SCA,EMPL,EA19,2017-07-01,102
SCA,B-E36,I2015_SCA,EMPL,EA19,2017-10-01,102
SCA,B-E36,I2015_SCA,EMPL,EA19,2018-01-01,103
SCA,B-E36,I2015_SCA,EMPL,EA19,2018-04-01,103
SCA,B-E36,I2015_SCA,EMPL,EE,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,EE,2015-10-01,99
SCA,B-E36,I2015_SCA,EMPL,EE,2016-01-01,99
SCA,B-E36,I2015_SCA,EMPL,EE,2016-04-01,99
SCA,B-E36,I2015_SCA,EMPL,EE,2016-07-01,98
SCA,B-E36,I2015_SCA,EMPL,EE,2016-10-01,99
SCA,B-E36,I2015_SCA,EMPL,EE,2017-01-01,100
SCA,B-E36,I2015_SCA,EMPL,EE,2017-04-01,101
SCA,B-E36,I2015_SCA,EMPL,EE,2017-07-01,101
SCA,B-E36,I2015_SCA,EMPL,EE,2017-10-01,101
SCA,B-E36,I2015_SCA,EMPL,EE,2018-01-01,102
SCA,B-E36,I2015_SCA,EMPL,EE,2018-04-01,102
SCA,B-E36,I2015_SCA,EMPL,EL,2015-07-01,101
SCA,B-E36,I2015_SCA,EMPL,EL,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,EL,2016-01-01,103
SCA,B-E36,I2015_SCA,EMPL,EL,2016-04-01,102
SCA,B-E36,I2015_SCA,EMPL,EL,2016-07-01,101
SCA,B-E36,I2015_SCA,EMPL,EL,2016-10-01,103
SCA,B-E36,I2015_SCA,EMPL,EL,2017-01-01,105
SCA,B-E36,I2015_SCA,EMPL,EL,2017-04-01,104
SCA,B-E36,I2015_SCA,EMPL,EL,2017-07-01,106
SCA,B-E36,I2015_SCA,EMPL,EL,2017-10-01,105
SCA,B-E36,I2015_SCA,EMPL,EL,2018-01-01,108
SCA,B-E36,I2015_SCA,EMPL,EL,2018-04-01,106
SCA,B-E36,I2015_SCA,EMPL,ES,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,ES,2015-10-01,99
SCA,B-E36,I2015_SCA,EMPL,ES,2016-01-01,101
SCA,B-E36,I2015_SCA,EMPL,ES,2016-04-01,101
SCA,B-E36,I2015_SCA,EMPL,ES,2016-07-01,102
SCA,B-E36,I2015_SCA,EMPL,ES,2016-10-01,104
SCA,B-E36,I2015_SCA,EMPL,ES,2017-01-01,105
SCA,B-E36,I2015_SCA,EMPL,ES,2017-04-01,106
SCA,B-E36,I2015_SCA,EMPL,ES,2017-07-01,107
SCA,B-E36,I2015_SCA,EMPL,ES,2017-10-01,109
SCA,B-E36,I2015_SCA,EMPL,ES,2018-01-01,109
SCA,B-E36,I2015_SCA,EMPL,ES,2018-04-01,109
SCA,B-E36,I2015_SCA,EMPL,EU28,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,EU28,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,EU28,2016-01-01,100
SCA,B-E36,I2015_SCA,EMPL,EU28,2016-04-01,101
SCA,B-E36,I2015_SCA,EMPL,EU28,2016-07-01,101
SCA,B-E36,I2015_SCA,EMPL,EU28,2016-10-01,101
SCA,B-E36,I2015_SCA,EMPL,EU28,2017-01-01,102
SCA,B-E36,I2015_SCA,EMPL,EU28,2017-04-01,102
SCA,B-E36,I2015_SCA,EMPL,EU28,2017-07-01,102
SCA,B-E36,I2015_SCA,EMPL,EU28,2017-10-01,103
SCA,B-E36,I2015_SCA,EMPL,EU28,2018-01-01,103
SCA,B-E36,I2015_SCA,EMPL,EU28,2018-04-01,104
SCA,B-E36,I2015_SCA,EMPL,FI,2015-07-01,101
SCA,B-E36,I2015_SCA,EMPL,FI,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,FI,2016-01-01,99
SCA,B-E36,I2015_SCA,EMPL,FI,2016-04-01,101
SCA,B-E36,I2015_SCA,EMPL,FI,2016-07-01,99
SCA,B-E36,I2015_SCA,EMPL,FI,2016-10-01,102
SCA,B-E36,I2015_SCA,EMPL,FI,2017-01-01,97
SCA,B-E36,I2015_SCA,EMPL,FI,2017-04-01,98
SCA,B-E36,I2015_SCA,EMPL,FI,2017-07-01,101
SCA,B-E36,I2015_SCA,EMPL,FI,2017-10-01,100
SCA,B-E36,I2015_SCA,EMPL,FI,2018-01-01,101
SCA,B-E36,I2015_SCA,EMPL,FI,2018-04-01,100
SCA,B-E36,I2015_SCA,EMPL,FR,2015-07-01,99
SCA,B-E36,I2015_SCA,EMPL,FR,2015-10-01,99
SCA,B-E36,I2015_SCA,EMPL,FR,2016-01-01,99
SCA,B-E36,I2015_SCA,EMPL,FR,2016-04-01,99
SCA,B-E36,I2015_SCA,EMPL,FR,2016-07-01,99
SCA,B-E36,I2015_SCA,EMPL,FR,2016-10-01,98
SCA,B-E36,I2015_SCA,EMPL,FR,2017-01-01,98
SCA,B-E36,I2015_SCA,EMPL,FR,2017-04-01,98
SCA,B-E36,I2015_SCA,EMPL,FR,2017-07-01,98
SCA,B-E36,I2015_SCA,EMPL,FR,2017-10-01,98
SCA,B-E36,I2015_SCA,EMPL,FR,2018-01-01,98
SCA,B-E36,I2015_SCA,EMPL,FR,2018-04-01,98
SCA,B-E36,I2015_SCA,EMPL,HR,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,HR,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,HR,2016-01-01,99
SCA,B-E36,I2015_SCA,EMPL,HR,2016-04-01,98
SCA,B-E36,I2015_SCA,EMPL,HR,2016-07-01,98
SCA,B-E36,I2015_SCA,EMPL,HR,2016-10-01,99
SCA,B-E36,I2015_SCA,EMPL,HR,2017-01-01,100
SCA,B-E36,I2015_SCA,EMPL,HR,2017-04-01,100
SCA,B-E36,I2015_SCA,EMPL,HR,2017-07-01,100
SCA,B-E36,I2015_SCA,EMPL,HR,2017-10-01,100
SCA,B-E36,I2015_SCA,EMPL,HR,2018-01-01,98
SCA,B-E36,I2015_SCA,EMPL,HR,2018-04-01,98
SCA,B-E36,I2015_SCA,EMPL,HU,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,HU,2015-10-01,101
SCA,B-E36,I2015_SCA,EMPL,HU,2016-01-01,104
SCA,B-E36,I2015_SCA,EMPL,HU,2016-04-01,104
SCA,B-E36,I2015_SCA,EMPL,HU,2016-07-01,104
SCA,B-E36,I2015_SCA,EMPL,HU,2016-10-01,105
SCA,B-E36,I2015_SCA,EMPL,HU,2017-01-01,106
SCA,B-E36,I2015_SCA,EMPL,HU,2017-04-01,107
SCA,B-E36,I2015_SCA,EMPL,HU,2017-07-01,108
SCA,B-E36,I2015_SCA,EMPL,HU,2017-10-01,108
SCA,B-E36,I2015_SCA,EMPL,HU,2018-01-01,110
SCA,B-E36,I2015_SCA,EMPL,HU,2018-04-01,111
SCA,B-E36,I2015_SCA,EMPL,IE,2015-07-01,99
SCA,B-E36,I2015_SCA,EMPL,IE,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,IE,2016-01-01,101
SCA,B-E36,I2015_SCA,EMPL,IE,2016-04-01,104
SCA,B-E36,I2015_SCA,EMPL,IE,2016-07-01,106
SCA,B-E36,I2015_SCA,EMPL,IE,2016-10-01,104
SCA,B-E36,I2015_SCA,EMPL,IE,2017-01-01,107
SCA,B-E36,I2015_SCA,EMPL,IE,2017-04-01,107
SCA,B-E36,I2015_SCA,EMPL,IE,2017-07-01,109
SCA,B-E36,I2015_SCA,EMPL,IE,2017-10-01,107
SCA,B-E36,I2015_SCA,EMPL,IE,2018-01-01,107
SCA,B-E36,I2015_SCA,EMPL,IE,2018-04-01,104
SCA,B-E36,I2015_SCA,EMPL,IS,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,IS,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,IS,2016-01-01,101
SCA,B-E36,I2015_SCA,EMPL,IS,2016-04-01,101
SCA,B-E36,I2015_SCA,EMPL,IS,2016-07-01,101
SCA,B-E36,I2015_SCA,EMPL,IS,2016-10-01,102
SCA,B-E36,I2015_SCA,EMPL,IS,2017-01-01,99
SCA,B-E36,I2015_SCA,EMPL,IS,2017-04-01,101
SCA,B-E36,I2015_SCA,EMPL,IS,2017-07-01,101
SCA,B-E36,I2015_SCA,EMPL,IS,2017-10-01,101
SCA,B-E36,I2015_SCA,EMPL,IS,2018-01-01,103
SCA,B-E36,I2015_SCA,EMPL,IS,2018-04-01,102
SCA,B-E36,I2015_SCA,EMPL,IT,2015-07-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2015-10-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2016-01-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2016-04-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2016-07-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2016-10-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2017-01-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2017-04-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2017-07-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2017-10-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2018-01-01,
SCA,B-E36,I2015_SCA,EMPL,IT,2018-04-01,
SCA,B-E36,I2015_SCA,EMPL,LT,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,LT,2015-10-01,99
SCA,B-E36,I2015_SCA,EMPL,LT,2016-01-01,100
SCA,B-E36,I2015_SCA,EMPL,LT,2016-04-01,100
SCA,B-E36,I2015_SCA,EMPL,LT,2016-07-01,100
SCA,B-E36,I2015_SCA,EMPL,LT,2016-10-01,101
SCA,B-E36,I2015_SCA,EMPL,LT,2017-01-01,99
SCA,B-E36,I2015_SCA,EMPL,LT,2017-04-01,100
SCA,B-E36,I2015_SCA,EMPL,LT,2017-07-01,100
SCA,B-E36,I2015_SCA,EMPL,LT,2017-10-01,101
SCA,B-E36,I2015_SCA,EMPL,LT,2018-01-01,100
SCA,B-E36,I2015_SCA,EMPL,LT,2018-04-01,100
SCA,B-E36,I2015_SCA,EMPL,LU,2015-07-01,99
SCA,B-E36,I2015_SCA,EMPL,LU,2015-10-01,99
SCA,B-E36,I2015_SCA,EMPL,LU,2016-01-01,99
SCA,B-E36,I2015_SCA,EMPL,LU,2016-04-01,99
SCA,B-E36,I2015_SCA,EMPL,LU,2016-07-01,100
SCA,B-E36,I2015_SCA,EMPL,LU,2016-10-01,100
SCA,B-E36,I2015_SCA,EMPL,LU,2017-01-01,100
SCA,B-E36,I2015_SCA,EMPL,LU,2017-04-01,101
SCA,B-E36,I2015_SCA,EMPL,LU,2017-07-01,101
SCA,B-E36,I2015_SCA,EMPL,LU,2017-10-01,101
SCA,B-E36,I2015_SCA,EMPL,LU,2018-01-01,102
SCA,B-E36,I2015_SCA,EMPL,LU,2018-04-01,102
SCA,B-E36,I2015_SCA,EMPL,LV,2015-07-01,99
SCA,B-E36,I2015_SCA,EMPL,LV,2015-10-01,99
SCA,B-E36,I2015_SCA,EMPL,LV,2016-01-01,99
SCA,B-E36,I2015_SCA,EMPL,LV,2016-04-01,100
SCA,B-E36,I2015_SCA,EMPL,LV,2016-07-01,100
SCA,B-E36,I2015_SCA,EMPL,LV,2016-10-01,100
SCA,B-E36,I2015_SCA,EMPL,LV,2017-01-01,99
SCA,B-E36,I2015_SCA,EMPL,LV,2017-04-01,99
SCA,B-E36,I2015_SCA,EMPL,LV,2017-07-01,100
SCA,B-E36,I2015_SCA,EMPL,LV,2017-10-01,100
SCA,B-E36,I2015_SCA,EMPL,LV,2018-01-01,100
SCA,B-E36,I2015_SCA,EMPL,LV,2018-04-01,100
SCA,B-E36,I2015_SCA,EMPL,ME,2015-07-01,99
SCA,B-E36,I2015_SCA,EMPL,ME,2015-10-01,98
SCA,B-E36,I2015_SCA,EMPL,ME,2016-01-01,97
SCA,B-E36,I2015_SCA,EMPL,ME,2016-04-01,97
SCA,B-E36,I2015_SCA,EMPL,ME,2016-07-01,96
SCA,B-E36,I2015_SCA,EMPL,ME,2016-10-01,97
SCA,B-E36,I2015_SCA,EMPL,ME,2017-01-01,98
SCA,B-E36,I2015_SCA,EMPL,ME,2017-04-01,99
SCA,B-E36,I2015_SCA,EMPL,ME,2017-07-01,101
SCA,B-E36,I2015_SCA,EMPL,ME,2017-10-01,101
SCA,B-E36,I2015_SCA,EMPL,ME,2018-01-01,101
SCA,B-E36,I2015_SCA,EMPL,ME,2018-04-01,102
SCA,B-E36,I2015_SCA,EMPL,MK,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,MK,2015-10-01,101
SCA,B-E36,I2015_SCA,EMPL,MK,2016-01-01,101
SCA,B-E36,I2015_SCA,EMPL,MK,2016-04-01,99
SCA,B-E36,I2015_SCA,EMPL,MK,2016-07-01,99
SCA,B-E36,I2015_SCA,EMPL,MK,2016-10-01,100
SCA,B-E36,I2015_SCA,EMPL,MK,2017-01-01,101
SCA,B-E36,I2015_SCA,EMPL,MK,2017-04-01,100
SCA,B-E36,I2015_SCA,EMPL,MK,2017-07-01,102
SCA,B-E36,I2015_SCA,EMPL,MK,2017-10-01,105
SCA,B-E36,I2015_SCA,EMPL,MK,2018-01-01,
SCA,B-E36,I2015_SCA,EMPL,MK,2018-04-01,
SCA,B-E36,I2015_SCA,EMPL,MT,2015-07-01,99
SCA,B-E36,I2015_SCA,EMPL,MT,2015-10-01,99
SCA,B-E36,I2015_SCA,EMPL,MT,2016-01-01,99
SCA,B-E36,I2015_SCA,EMPL,MT,2016-04-01,99
SCA,B-E36,I2015_SCA,EMPL,MT,2016-07-01,98
SCA,B-E36,I2015_SCA,EMPL,MT,2016-10-01,98
SCA,B-E36,I2015_SCA,EMPL,MT,2017-01-01,98
SCA,B-E36,I2015_SCA,EMPL,MT,2017-04-01,98
SCA,B-E36,I2015_SCA,EMPL,MT,2017-07-01,98
