s_adj,age,sex,unit,geotime,date,value
SA,Y25-74,F,THS_PER,AT,2017-10-01,
SA,Y25-74,F,THS_PER,AT,2017-11-01,
SA,Y25-74,F,THS_PER,AT,2017-12-01,
SA,Y25-74,F,THS_PER,AT,2018-01-01,
SA,Y25-74,F,THS_PER,AT,2018-02-01,
SA,Y25-74,F,THS_PER,AT,2018-03-01,
SA,Y25-74,F,THS_PER,AT,2018-04-01,
SA,Y25-74,F,THS_PER,AT,2018-05-01,
SA,Y25-74,F,THS_PER,AT,2018-06-01,
SA,Y25-74,F,THS_PER,AT,2018-07-01,81
SA,Y25-74,F,THS_PER,AT,2018-08-01,82
SA,Y25-74,F,THS_PER,AT,2018-09-01,
SA,Y25-74,F,THS_PER,BE,2017-10-01,
SA,Y25-74,F,THS_PER,BE,2017-11-01,
SA,Y25-74,F,THS_PER,BE,2017-12-01,
SA,Y25-74,F,THS_PER,BE,2018-01-01,
SA,Y25-74,F,THS_PER,BE,2018-02-01,
SA,Y25-74,F,THS_PER,BE,2018-03-01,
SA,Y25-74,F,THS_PER,BE,2018-04-01,
SA,Y25-74,F,THS_PER,BE,2018-05-01,
SA,Y25-74,F,THS_PER,BE,2018-06-01,
SA,Y25-74,F,THS_PER,BE,2018-07-01,115
SA,Y25-74,F,THS_PER,BE,2018-08-01,113
SA,Y25-74,F,THS_PER,BE,2018-09-01,
SA,Y25-74,F,THS_PER,BG,2017-10-01,
SA,Y25-74,F,THS_PER,BG,2017-11-01,
SA,Y25-74,F,THS_PER,BG,2017-12-01,
SA,Y25-74,F,THS_PER,BG,2018-01-01,
SA,Y25-74,F,THS_PER,BG,2018-02-01,
SA,Y25-74,F,THS_PER,BG,2018-03-01,
SA,Y25-74,F,THS_PER,BG,2018-04-01,
SA,Y25-74,F,THS_PER,BG,2018-05-01,
SA,Y25-74,F,THS_PER,BG,2018-06-01,
SA,Y25-74,F,THS_PER,BG,2018-07-01,64
SA,Y25-74,F,THS_PER,BG,2018-08-01,62
SA,Y25-74,F,THS_PER,BG,2018-09-01,
SA,Y25-74,F,THS_PER,CY,2017-10-01,
SA,Y25-74,F,THS_PER,CY,2017-11-01,
SA,Y25-74,F,THS_PER,CY,2017-12-01,
SA,Y25-74,F,THS_PER,CY,2018-01-01,
SA,Y25-74,F,THS_PER,CY,2018-02-01,
SA,Y25-74,F,THS_PER,CY,2018-03-01,
SA,Y25-74,F,THS_PER,CY,2018-04-01,
SA,Y25-74,F,THS_PER,CY,2018-05-01,
SA,Y25-74,F,THS_PER,CY,2018-06-01,
SA,Y25-74,F,THS_PER,CY,2018-07-01,14
SA,Y25-74,F,THS_PER,CY,2018-08-01,14
SA,Y25-74,F,THS_PER,CY,2018-09-01,
SA,Y25-74,F,THS_PER,CZ,2017-10-01,
SA,Y25-74,F,THS_PER,CZ,2017-11-01,
SA,Y25-74,F,THS_PER,CZ,2017-12-01,
SA,Y25-74,F,THS_PER,CZ,2018-01-01,
SA,Y25-74,F,THS_PER,CZ,2018-02-01,
SA,Y25-74,F,THS_PER,CZ,2018-03-01,
SA,Y25-74,F,THS_PER,CZ,2018-04-01,
SA,Y25-74,F,THS_PER,CZ,2018-05-01,
SA,Y25-74,F,THS_PER,CZ,2018-06-01,
SA,Y25-74,F,THS_PER,CZ,2018-07-01,62
SA,Y25-74,F,THS_PER,CZ,2018-08-01,68
SA,Y25-74,F,THS_PER,CZ,2018-09-01,
SA,Y25-74,F,THS_PER,DE,2017-10-01,
SA,Y25-74,F,THS_PER,DE,2017-11-01,
SA,Y25-74,F,THS_PER,DE,2017-12-01,
SA,Y25-74,F,THS_PER,DE,2018-01-01,
SA,Y25-74,F,THS_PER,DE,2018-02-01,
SA,Y25-74,F,THS_PER,DE,2018-03-01,
SA,Y25-74,F,THS_PER,DE,2018-04-01,
SA,Y25-74,F,THS_PER,DE,2018-05-01,
SA,Y25-74,F,THS_PER,DE,2018-06-01,
SA,Y25-74,F,THS_PER,DE,2018-07-01,485
SA,Y25-74,F,THS_PER,DE,2018-08-01,479
SA,Y25-74,F,THS_PER,DE,2018-09-01,
SA,Y25-74,F,THS_PER,DK,2017-10-01,
SA,Y25-74,F,THS_PER,DK,2017-11-01,
SA,Y25-74,F,THS_PER,DK,2017-12-01,
SA,Y25-74,F,THS_PER,DK,2018-01-01,
