coicop,unit,geotime,date,value
CP00,I15,EA19,2018-08-01,103.77
CP00,I15,EA19,2018-09-01,104.25
CP00,I15,EE,2017-10-01,105.16
CP00,I15,EE,2017-11-01,105.56
CP00,I15,EE,2017-12-01,105.15
CP00,I15,EE,2018-01-01,105.28
CP00,I15,EE,2018-02-01,106.37
CP00,I15,EE,2018-03-01,106.44
CP00,I15,EE,2018-04-01,107.04
CP00,I15,EE,2018-05-01,107.61
CP00,I15,EE,2018-06-01,108.65
CP00,I15,EE,2018-07-01,108.87
CP00,I15,EE,2018-08-01,109.55
CP00,I15,EE,2018-09-01,109.26
CP00,I15,EL,2017-10-01,101.8
CP00,I15,EL,2017-11-01,100.9
CP00,I15,EL,2017-12-01,101.24
CP00,I15,EL,2018-01-01,100.0
CP00,I15,EL,2018-02-01,100.09
CP00,I15,EL,2018-03-01,101.26
CP00,I15,EL,2018-04-01,102.23
CP00,I15,EL,2018-05-01,102.33
CP00,I15,EL,2018-06-01,103.29
CP00,I15,EL,2018-07-01,101.87
CP00,I15,EL,2018-08-01,101.66
CP00,I15,EL,2018-09-01,103.08
CP00,I15,ES,2017-10-01,102.4
CP00,I15,ES,2017-11-01,102.73
CP00,I15,ES,2017-12-01,102.74
CP00,I15,ES,2018-01-01,101.22
CP00,I15,ES,2018-02-01,101.37
CP00,I15,ES,2018-03-01,102.59
CP00,I15,ES,2018-04-01,103.36
CP00,I15,ES,2018-05-01,104.32
CP00,I15,ES,2018-06-01,104.56
CP00,I15,ES,2018-07-01,103.31
CP00,I15,ES,2018-08-01,103.41
CP00,I15,ES,2018-09-01,104.06
CP00,I15,EU,2017-10-01,102.48
CP00,I15,EU,2017-11-01,102.62
CP00,I15,EU,2017-12-01,102.96
CP00,I15,EU,2018-01-01,102.27
CP00,I15,EU,2018-02-01,102.49
CP00,I15,EU,2018-03-01,103.25
CP00,I15,EU,2018-04-01,103.6
CP00,I15,EU,2018-05-01,104.07
CP00,I15,EU,2018-06-01,104.18
CP00,I15,EU,2018-07-01,103.95
CP00,I15,EU,2018-08-01,104.16
CP00,I15,EU,2018-09-01,104.58
CP00,I15,EU28,2017-10-01,102.48
CP00,I15,EU28,2017-11-01,102.62
CP00,I15,EU28,2017-12-01,102.96
CP00,I15,EU28,2018-01-01,102.27
CP00,I15,EU28,2018-02-01,102.49
CP00,I15,EU28,2018-03-01,103.25
CP00,I15,EU28,2018-04-01,103.6
CP00,I15,EU28,2018-05-01,104.07
CP00,I15,EU28,2018-06-01,104.18
CP00,I15,EU28,2018-07-01,103.95
CP00,I15,EU28,2018-08-01,104.16
CP00,I15,EU28,2018-09-01,104.58
CP00,I15,FI,2017-10-01,101.32
CP00,I15,FI,2017-11-01,101.67
CP00,I15,FI,2017-12-01,101.59
CP00,I15,FI,2018-01-01,101.26
CP00,I15,FI,2018-02-01,101.74
CP00,I15,FI,2018-03-01,101.98
CP00,I15,FI,2018-04-01,102.32
CP00,I15,FI,2018-05-01,102.37
CP00,I15,FI,2018-06-01,102.55
CP00,I15,FI,2018-07-01,102.36
CP00,I15,FI,2018-08-01,102.51
CP00,I15,FI,2018-09-01,102.78
CP00,I15,FR,2017-10-01,101.7
CP00,I15,FR,2017-11-01,101.8
CP00,I15,FR,2017-12-01,102.16
CP00,I15,FR,2018-01-01,102.06
CP00,I15,FR,2018-02-01,102.05
CP00,I15,FR,2018-03-01,103.22
CP00,I15,FR,2018-04-01,103.43
CP00,I15,FR,2018-05-01,103.92
CP00,I15,FR,2018-06-01,103.93
CP00,I15,FR,2018-07-01,103.8
CP00,I15,FR,2018-08-01,104.35
CP00,I15,FR,2018-09-01,104.12
CP00,I15,HR,2017-10-01,101.43
CP00,I15,HR,2017-11-01,101.29
CP00,I15,HR,2017-12-01,100.95
CP00,I15,HR,2018-01-01,100.75
CP00,I15,HR,2018-02-01,100.62
CP00,I15,HR,2018-03-01,101.09
CP00,I15,HR,2018-04-01,102.0
CP00,I15,HR,2018-05-01,102.27
CP00,I15,HR,2018-06-01,103.06
CP00,I15,HR,2018-07-01,103.2
CP00,I15,HR,2018-08-01,103.16
CP00,I15,HR,2018-09-01,102.96
CP00,I15,HU,2017-10-01,103.34
CP00,I15,HU,2017-11-01,103.66
CP00,I15,HU,2017-12-01,103.68
CP00,I15,HU,2018-01-01,104.01
CP00,I15,HU,2018-02-01,104.18
CP00,I15,HU,2018-03-01,104.29
CP00,I15,HU,2018-04-01,105.06
CP00,I15,HU,2018-05-01,105.75
CP00,I15,HU,2018-06-01,106.11
CP00,I15,HU,2018-07-01,106.44
CP00,I15,HU,2018-08-01,106.49
CP00,I15,HU,2018-09-01,106.82
CP00,I15,IE,2017-10-01,100.1
CP00,I15,IE,2017-11-01,100.0
CP00,I15,IE,2017-12-01,99.9
CP00,I15,IE,2018-01-01,99.2
CP00,I15,IE,2018-02-01,100.1
CP00,I15,IE,2018-03-01,100.5
CP00,I15,IE,2018-04-01,100.3
CP00,I15,IE,2018-05-01,100.9
CP00,I15,IE,2018-06-01,101.0
CP00,I15,IE,2018-07-01,101.4
CP00,I15,IE,2018-08-01,101.7
CP00,I15,IE,2018-09-01,101.4
CP00,I15,IS,2017-10-01,99.16
CP00,I15,IS,2017-11-01,97.41
CP00,I15,IS,2017-12-01,98.73
CP00,I15,IS,2018-01-01,97.86
CP00,I15,IS,2018-02-01,98.09
CP00,I15,IS,2018-03-01,98.8
CP00,I15,IS,2018-04-01,98.7
CP00,I15,IS,2018-05-01,99.03
CP00,I15,IS,2018-06-01,101.25
CP00,I15,IS,2018-07-01,102.8
CP00,I15,IS,2018-08-01,102.31
CP00,I15,IS,2018-09-01,99.87
CP00,I15,IT,2017-10-01,102.0
CP00,I15,IT,2017-11-01,101.8
