na_item,s_adj,unit,geo\time,date,value
D1,CA,CP_MNAC,CZ,1995-01-01,137355.0 
D1,CA,CP_MNAC,CZ,1995-04-01,149428.0 
D1,CA,CP_MNAC,CZ,1995-07-01,155042.0 
D1,CA,CP_MNAC,CZ,1995-10-01,178270.0 
D1,CA,CP_MNAC,CZ,1996-01-01,159502.0 
D1,CA,CP_MNAC,CZ,1996-04-01,182540.0 
D1,CA,CP_MNAC,CZ,1996-07-01,179109.0 
D1,CA,CP_MNAC,CZ,1996-10-01,207278.0 
D1,CA,CP_MNAC,CZ,1997-01-01,177890.0 
D1,CA,CP_MNAC,CZ,1997-04-01,204622.0 
D1,CA,CP_MNAC,CZ,1997-07-01,196825.0 
D1,CA,CP_MNAC,CZ,1997-10-01,217985.0 
D1,CA,CP_MNAC,CZ,1998-01-01,191881.0 
D1,CA,CP_MNAC,CZ,1998-04-01,210192.0 
D1,CA,CP_MNAC,CZ,1998-07-01,204887.0 
D1,CA,CP_MNAC,CZ,1998-10-01,230169.0 
D1,CA,CP_MNAC,CZ,1999-01-01,196188.0 
D1,CA,CP_MNAC,CZ,1999-04-01,215793.0 
D1,CA,CP_MNAC,CZ,1999-07-01,210803.0 
D1,CA,CP_MNAC,CZ,1999-10-01,239182.0 
D1,CA,CP_MNAC,CZ,2000-01-01,208176.0 
D1,CA,CP_MNAC,CZ,2000-04-01,226951.0
D1,CA,CP_MNAC,CZ,2000-07-01,224366.0
D1,CA,CP_MNAC,CZ,2000-10-01,255692.0
D1,CA,CP_MNAC,CZ,2001-01-01,224775.0
D1,CA,CP_MNAC,CZ,2001-04-01,246626.0
D1,CA,CP_MNAC,CZ,2001-07-01,243364.0
D1,CA,CP_MNAC,CZ,2001-10-01,273673.0
D1,CA,CP_MNAC,CZ,2002-01-01,243106.0
D1,CA,CP_MNAC,CZ,2002-04-01,266124.0
D1,CA,CP_MNAC,CZ,2002-07-01,259641.0
D1,CA,CP_MNAC,CZ,2002-10-01,292068.0
D1,CA,CP_MNAC,CZ,2003-01-01,257101.0
D1,CA,CP_MNAC,CZ,2003-04-01,278034.0
D1,CA,CP_MNAC,CZ,2003-07-01,274827.0
D1,CA,CP_MNAC,CZ,2003-10-01,308623.0
D1,CA,CP_MNAC,CZ,2004-01-01,280125.0
D1,CA,CP_MNAC,CZ,2004-04-01,295814.0
D1,CA,CP_MNAC,CZ,2004-07-01,300225.0
D1,CA,CP_MNAC,CZ,2004-10-01,336169.0
D1,CA,CP_MNAC,CZ,2005-01-01,301027.0
D1,CA,CP_MNAC,CZ,2005-04-01,319682.0
D1,CA,CP_MNAC,CZ,2005-07-01,323485.0
D1,CA,CP_MNAC,CZ,2005-10-01,354989.0
D1,CA,CP_MNAC,CZ,2006-01-01,323369.0
D1,CA,CP_MNAC,CZ,2006-04-01,343007.0
D1,CA,CP_MNAC,CZ,2006-07-01,345414.0
D1,CA,CP_MNAC,CZ,2006-10-01,382214.0
D1,CA,CP_MNAC,CZ,2007-01-01,353542.0
D1,CA,CP_MNAC,CZ,2007-04-01,371421.0
D1,CA,CP_MNAC,CZ,2007-07-01,374669.0
D1,CA,CP_MNAC,CZ,2007-10-01,413425.0
D1,CA,CP_MNAC,CZ,2008-01-01,390393.0
D1,CA,CP_MNAC,CZ,2008-04-01,401124.0
D1,CA,CP_MNAC,CZ,2008-07-01,397537.0
D1,CA,CP_MNAC,CZ,2008-10-01,427683.0
D1,CA,CP_MNAC,CZ,2009-01-01,384187.0
D1,CA,CP_MNAC,CZ,2009-04-01,387739.0
D1,CA,CP_MNAC,CZ,2009-07-01,379638.0
D1,CA,CP_MNAC,CZ,2009-10-01,416838.0
D1,CA,CP_MNAC,CZ,2010-01-01,377565.0
D1,CA,CP_MNAC,CZ,2010-04-01,391912.0
D1,CA,CP_MNAC,CZ,2010-07-01,394145.0
D1,CA,CP_MNAC,CZ,2010-10-01,427484.0
D1,CA,CP_MNAC,CZ,2011-01-01,388159.0 
D1,CA,CP_MNAC,CZ,2011-04-01,402713.0 
D1,CA,CP_MNAC,CZ,2011-07-01,402562.0 
D1,CA,CP_MNAC,CZ,2011-10-01,432958.0 
D1,CA,CP_MNAC,CZ,2012-01-01,401568.0 
D1,CA,CP_MNAC,CZ,2012-04-01,410475.0 
D1,CA,CP_MNAC,CZ,2012-07-01,408621.0 
D1,CA,CP_MNAC,CZ,2012-10-01,444037.0 
D1,CA,CP_MNAC,CZ,2013-01-01,401651.0 
D1,CA,CP_MNAC,CZ,2013-04-01,415521.0 
D1,CA,CP_MNAC,CZ,2013-07-01,416070.0 
D1,CA,CP_MNAC,CZ,2013-10-01,442941.0 
D1,CA,CP_MNAC,CZ,2014-01-01,416920.0 
D1,CA,CP_MNAC,CZ,2014-04-01,429224.0 
D1,CA,CP_MNAC,CZ,2014-07-01,428359.0 
D1,CA,CP_MNAC,CZ,2014-10-01,460157.0 
D1,CA,CP_MNAC,CZ,2015-01-01,435757.0 
D1,CA,CP_MNAC,CZ,2015-04-01,451429.0 
D1,CA,CP_MNAC,CZ,2015-07-01,448993.0 
D1,CA,CP_MNAC,CZ,2015-10-01,484910.0 
D1,CA,CP_MNAC,CZ,2016-01-01,461746.0 
D1,CA,CP_MNAC,CZ,2016-04-01,475938.0 
D1,CA,CP_MNAC,CZ,2016-07-01,476532.0 
D1,CA,CP_MNAC,CZ,2016-10-01,513931.0 
D1,CA,CP_MNAC,CZ,2017-01-01,491825.0 
D1,CA,CP_MNAC,CZ,2017-04-01,517454.0 
D1,CA,CP_MNAC,CZ,2017-07-01,516902.0 
D1,CA,CP_MNAC,CZ,2017-10-01,562520.0 
D1,CA,CP_MNAC,CZ,2018-01-01,544482.0 
D1,CA,CP_MNAC,CZ,2018-04-01,569886.0 
D1,CA,CP_MNAC,FI,1995-01-01,10950.0 
D1,CA,CP_MNAC,FI,1995-04-01,11937.0 
D1,CA,CP_MNAC,FI,1995-07-01,12388.0 
D1,CA,CP_MNAC,FI,1995-10-01,12331.0 
D1,CA,CP_MNAC,FI,1996-01-01,11915.0 
D1,CA,CP_MNAC,FI,1996-04-01,12328.0 
D1,CA,CP_MNAC,FI,1996-07-01,12694.0 
D1,CA,CP_MNAC,FI,1996-10-01,12656.0 
D1,CA,CP_MNAC,FI,1997-01-01,12364.0 
D1,CA,CP_MNAC,FI,1997-04-01,12889.0 
D1,CA,CP_MNAC,FI,1997-07-01,13652.0 
D1,CA,CP_MNAC,FI,1997-10-01,13350.0 
D1,CA,CP_MNAC,FI,1998-01-01,13354.0 
D1,CA,CP_MNAC,FI,1998-04-01,13882.0 
D1,CA,CP_MNAC,FI,1998-07-01,14670.0 
D1,CA,CP_MNAC,FI,1998-10-01,14435.0 
D1,CA,CP_MNAC,FI,1999-01-01,14105.0 
D1,CA,CP_MNAC,FI,1999-04-01,14688.0 
D1,CA,CP_MNAC,FI,1999-07-01,15599.0 
D1,CA,CP_MNAC,FI,1999-10-01,15339.0 
D1,CA,CP_MNAC,FI,2000-01-01,15107.0 
D1,CA,CP_MNAC,FI,2000-04-01,15843.0
D1,CA,CP_MNAC,FI,2000-07-01,16482.0
D1,CA,CP_MNAC,FI,2000-10-01,16124.0
